,Unnamed: 0,pair_id,tm_score,identity_us_align,pro1,pro2,group
313532,313532,AF-P53270-F1-model_v3.pdb@@AF-Q12523-F1-model_v3.pdb.txt,0.529205,0.105,P53270,Q12523,pro_with_unknown_function
314282,314282,AF-Q3E832-F1-model_v3.pdb@@AF-P48232-F1-model_v3.pdb.txt,0.50767,0.062,Q3E832,P48232,pro_with_unknown_function
314495,314495,AF-Q8TGT1-F1-model_v3.pdb@@AF-P48606-F1-model_v3.pdb.txt,0.538035,0.073,Q8TGT1,P48606,pro_with_unknown_function
314624,314624,AF-P0C5R4-F1-model_v3.pdb@@AF-O74700-F1-model_v3.pdb.txt,0.56767,0.125,P0C5R4,O74700,pro_with_unknown_function
314707,314707,AF-Q3E758-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.566195,0.143,Q3E758,P0CX87,pro_with_unknown_function
315055,315055,AF-Q3E804-F1-model_v3.pdb@@AF-P05626-F1-model_v3.pdb.txt,0.51477,0.074,Q3E804,P05626,pro_with_unknown_function
315129,315129,AF-P0C5Q3-F1-model_v3.pdb@@AF-P48606-F1-model_v3.pdb.txt,0.536625,0.026,P0C5Q3,P48606,pro_with_unknown_function
315160,315160,AF-Q3E804-F1-model_v3.pdb@@AF-Q04005-F1-model_v3.pdb.txt,0.5301899999999999,0.018,Q3E804,Q04005,pro_with_unknown_function
315827,315827,AF-P0C5M8-F1-model_v3.pdb@@AF-Q92316-F1-model_v3.pdb.txt,0.572735,0.034,P0C5M8,Q92316,pro_with_unknown_function
316898,316898,AF-P0C5Q3-F1-model_v3.pdb@@AF-P40060-F1-model_v3.pdb.txt,0.576115,0.128,P0C5Q3,P40060,pro_with_unknown_function
317322,317322,AF-Q3E7B0-F1-model_v3.pdb@@AF-Q3E798-F1-model_v3.pdb.txt,0.52934,0.029,Q3E7B0,Q3E798,pro_with_unknown_function
317540,317540,AF-Q3E7A6-F1-model_v3.pdb@@AF-P69771-F1-model_v3.pdb.txt,0.5180899999999999,0.028,Q3E7A6,P69771,pro_with_unknown_function
318218,318218,AF-P53748-F1-model_v3.pdb@@AF-P39932-F1-model_v3.pdb.txt,0.5600849999999999,0.114,P53748,P39932,pro_with_unknown_function
318238,318238,AF-Q2V2P6-F1-model_v3.pdb@@AF-P0C270-F1-model_v3.pdb.txt,0.5079549999999999,0.088,Q2V2P6,P0C270,pro_with_unknown_function
318269,318269,AF-Q8TGS5-F1-model_v3.pdb@@AF-P41546-F1-model_v3.pdb.txt,0.541915,0.029,Q8TGS5,P41546,pro_with_unknown_function
318281,318281,AF-P0C5M8-F1-model_v3.pdb@@AF-P46998-F1-model_v3.pdb.txt,0.51408,0.138,P0C5M8,P46998,pro_with_unknown_function
318324,318324,AF-Q3E7Z5-F1-model_v3.pdb@@AF-Q06629-F1-model_v3.pdb.txt,0.501385,0.101,Q3E7Z5,Q06629,pro_with_unknown_function
318332,318332,AF-Q3E778-F1-model_v3.pdb@@AF-P26343-F1-model_v3.pdb.txt,0.521585,0.118,Q3E778,P26343,pro_with_unknown_function
318588,318588,AF-I2HB70-F1-model_v3.pdb@@AF-Q3E784-F1-model_v3.pdb.txt,0.56096,0.017,I2HB70,Q3E784,pro_with_unknown_function
318900,318900,AF-Q3E782-F1-model_v3.pdb@@AF-P0CY09-F1-model_v3.pdb.txt,0.50336,0.067,Q3E782,P0CY09,pro_with_unknown_function
318967,318967,AF-Q3E7A0-F1-model_v3.pdb@@AF-P50087-F1-model_v3.pdb.txt,0.51568,0.051,Q3E7A0,P50087,pro_with_unknown_function
319021,319021,AF-P0C5N1-F1-model_v3.pdb@@AF-Q01590-F1-model_v3.pdb.txt,0.53611,0.057,P0C5N1,Q01590,pro_with_unknown_function
319044,319044,AF-P38318-F1-model_v3.pdb@@AF-P25596-F1-model_v3.pdb.txt,0.5942099999999999,0.065,P38318,P25596,pro_with_unknown_function
319148,319148,AF-Q8TGT1-F1-model_v3.pdb@@AF-Q07451-F1-model_v3.pdb.txt,0.50004,0.022,Q8TGT1,Q07451,pro_with_unknown_function
319195,319195,AF-Q3E778-F1-model_v3.pdb@@AF-P53903-F1-model_v3.pdb.txt,0.57863,0.059,Q3E778,P53903,pro_with_unknown_function
319208,319208,AF-P0C5L4-F1-model_v3.pdb@@AF-P47167-F1-model_v3.pdb.txt,0.51338,0.135,P0C5L4,P47167,pro_with_unknown_function
319438,319438,AF-Q3E809-F1-model_v3.pdb@@AF-P47167-F1-model_v3.pdb.txt,0.520475,0.078,Q3E809,P47167,pro_with_unknown_function
319806,319806,AF-Q3E789-F1-model_v3.pdb@@AF-Q3E798-F1-model_v3.pdb.txt,0.51955,0.095,Q3E789,Q3E798,pro_with_unknown_function
319893,319893,AF-Q3E750-F1-model_v3.pdb@@AF-P32468-F1-model_v3.pdb.txt,0.5261100000000001,0.017,Q3E750,P32468,pro_with_unknown_function
320025,320025,AF-Q3E778-F1-model_v3.pdb@@AF-P40505-F1-model_v3.pdb.txt,0.520575,0.0,Q3E778,P40505,pro_with_unknown_function
320159,320159,AF-Q3E7Z5-F1-model_v3.pdb@@AF-P31385-F1-model_v3.pdb.txt,0.507735,0.043,Q3E7Z5,P31385,pro_with_unknown_function
321165,321165,AF-Q3E778-F1-model_v3.pdb@@AF-P36119-F1-model_v3.pdb.txt,0.501145,0.118,Q3E778,P36119,pro_with_unknown_function
321655,321655,AF-Q3E7Z9-F1-model_v3.pdb@@AF-P22289-F1-model_v3.pdb.txt,0.50163,0.065,Q3E7Z9,P22289,pro_with_unknown_function
321663,321663,AF-P0C5N1-F1-model_v3.pdb@@AF-P38789-F1-model_v3.pdb.txt,0.51589,0.075,P0C5N1,P38789,pro_with_unknown_function
322054,322054,AF-Q3E820-F1-model_v3.pdb@@AF-P39545-F1-model_v3.pdb.txt,0.50996,0.048,Q3E820,P39545,pro_with_unknown_function
322265,322265,AF-Q3E7A6-F1-model_v3.pdb@@AF-Q04338-F1-model_v3.pdb.txt,0.51938,0.028,Q3E7A6,Q04338,pro_with_unknown_function
322440,322440,AF-Q12169-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.511585,0.083,Q12169,P39103,pro_with_unknown_function
322727,322727,AF-P0C5M1-F1-model_v3.pdb@@AF-P49334-F1-model_v3.pdb.txt,0.5093099999999999,0.059,P0C5M1,P49334,pro_with_unknown_function
323279,323279,AF-P0C5P2-F1-model_v3.pdb@@AF-Q3E752-F1-model_v3.pdb.txt,0.5774349999999999,0.037,P0C5P2,Q3E752,pro_with_unknown_function
323303,323303,AF-Q3E7B4-F1-model_v3.pdb@@AF-Q06568-F1-model_v3.pdb.txt,0.60035,0.016,Q3E7B4,Q06568,pro_with_unknown_function
323313,323313,AF-P0C5M0-F1-model_v3.pdb@@AF-Q3E7Y6-F1-model_v3.pdb.txt,0.61862,0.068,P0C5M0,Q3E7Y6,pro_with_unknown_function
323334,323334,AF-P0C5Q3-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.733075,0.175,P0C5Q3,P32903,pro_with_unknown_function
323436,323436,AF-Q3E804-F1-model_v3.pdb@@AF-Q04477-F1-model_v3.pdb.txt,0.512255,0.036,Q3E804,Q04477,pro_with_unknown_function
323734,323734,AF-P47062-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.686035,0.103,P47062,P39103,pro_with_unknown_function
323910,323910,AF-P0C5R4-F1-model_v3.pdb@@AF-P40534-F1-model_v3.pdb.txt,0.50279,0.043,P0C5R4,P40534,pro_with_unknown_function
324026,324026,AF-P0C5R4-F1-model_v3.pdb@@AF-Q12328-F1-model_v3.pdb.txt,0.53258,0.093,P0C5R4,Q12328,pro_with_unknown_function
324360,324360,AF-P0C5M0-F1-model_v3.pdb@@AF-Q08687-F1-model_v3.pdb.txt,0.502575,0.095,P0C5M0,Q08687,pro_with_unknown_function
324956,324956,AF-Q3E820-F1-model_v3.pdb@@AF-Q3E7Y6-F1-model_v3.pdb.txt,0.54955,0.026,Q3E820,Q3E7Y6,pro_with_unknown_function
324966,324966,AF-P0C5K9-F1-model_v3.pdb@@AF-P40005-F1-model_v3.pdb.txt,0.576395,0.148,P0C5K9,P40005,pro_with_unknown_function
325089,325089,AF-Q8TGS2-F1-model_v3.pdb@@AF-Q03713-F1-model_v3.pdb.txt,0.513575,0.082,Q8TGS2,Q03713,pro_with_unknown_function
325248,325248,AF-P40097-F1-model_v3.pdb@@AF-Q9ZZW2-F1-model_v3.pdb.txt,0.5630649999999999,0.106,P40097,Q9ZZW2,pro_with_unknown_function
325436,325436,AF-Q3E809-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.72741,0.119,Q3E809,Q3E808,pro_with_unknown_function
325505,325505,AF-P10356-F1-model_v3.pdb@@AF-P52892-F1-model_v3.pdb.txt,0.7312350000000001,0.189,P10356,P52892,pro_with_unknown_function
325865,325865,AF-P0C5P6-F1-model_v3.pdb@@AF-P40568-F1-model_v3.pdb.txt,0.506465,0.135,P0C5P6,P40568,pro_with_unknown_function
326039,326039,AF-P0C5M8-F1-model_v3.pdb@@AF-P0C5R9-F1-model_v3.pdb.txt,0.557845,0.069,P0C5M8,P0C5R9,pro_with_unknown_function
326136,326136,AF-Q3E7A2-F1-model_v3.pdb@@AF-P39103-F1-model_v3.pdb.txt,0.5677350000000001,0.114,Q3E7A2,P39103,pro_with_unknown_function
326171,326171,AF-Q3E821-F1-model_v3.pdb@@AF-Q03322-F1-model_v3.pdb.txt,0.54742,0.065,Q3E821,Q03322,pro_with_unknown_function
327193,327193,AF-P46996-F1-model_v3.pdb@@AF-P50080-F1-model_v3.pdb.txt,0.626505,0.107,P46996,P50080,pro_with_unknown_function
327226,327226,AF-Q3E778-F1-model_v3.pdb@@AF-P25515-F1-model_v3.pdb.txt,0.504625,0.088,Q3E778,P25515,pro_with_unknown_function
327329,327329,AF-P0C5P6-F1-model_v3.pdb@@AF-Q04329-F1-model_v3.pdb.txt,0.50317,0.056,P0C5P6,Q04329,pro_with_unknown_function
327623,327623,AF-Q8TGU0-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.6010949999999999,0.056,Q8TGU0,P0CX86,pro_with_unknown_function
327939,327939,AF-P0C5K9-F1-model_v3.pdb@@AF-P53903-F1-model_v3.pdb.txt,0.55855,0.0,P0C5K9,P53903,pro_with_unknown_function
328289,328289,AF-P0C5R4-F1-model_v3.pdb@@AF-Q02651-F1-model_v3.pdb.txt,0.55058,0.065,P0C5R4,Q02651,pro_with_unknown_function
328500,328500,AF-Q3E809-F1-model_v3.pdb@@AF-P38801-F1-model_v3.pdb.txt,0.515215,0.143,Q3E809,P38801,pro_with_unknown_function
328797,328797,AF-Q8TGT2-F1-model_v3.pdb@@AF-P69852-F1-model_v3.pdb.txt,0.6399900000000001,0.082,Q8TGT2,P69852,pro_with_unknown_function
328803,328803,AF-P0C5K9-F1-model_v3.pdb@@AF-P32610-F1-model_v3.pdb.txt,0.508865,0.0,P0C5K9,P32610,pro_with_unknown_function
329103,329103,AF-Q3E778-F1-model_v3.pdb@@AF-P07255-F1-model_v3.pdb.txt,0.58794,0.03,Q3E778,P07255,pro_with_unknown_function
329415,329415,AF-Q03795-F1-model_v3.pdb@@AF-P38731-F1-model_v3.pdb.txt,0.5731649999999999,0.093,Q03795,P38731,pro_with_unknown_function
329437,329437,AF-P0C5P3-F1-model_v3.pdb@@AF-P36064-F1-model_v3.pdb.txt,0.5213949999999999,0.071,P0C5P3,P36064,pro_with_unknown_function
330248,330248,AF-P0C5S1-F1-model_v3.pdb@@AF-Q9ZZW2-F1-model_v3.pdb.txt,0.5803349999999999,0.038,P0C5S1,Q9ZZW2,pro_with_unknown_function
330292,330292,AF-Q8TGS5-F1-model_v3.pdb@@AF-Q12328-F1-model_v3.pdb.txt,0.50577,0.086,Q8TGS5,Q12328,pro_with_unknown_function
330299,330299,AF-P0C5P6-F1-model_v3.pdb@@AF-P35723-F1-model_v3.pdb.txt,0.53432,0.108,P0C5P6,P35723,pro_with_unknown_function
330597,330597,AF-P40058-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.5116850000000001,0.04,P40058,P0CX86,pro_with_unknown_function
330648,330648,AF-P53231-F1-model_v3.pdb@@AF-P0CX86-F1-model_v3.pdb.txt,0.508935,0.08,P53231,P0CX86,pro_with_unknown_function
331055,331055,AF-P0C5K9-F1-model_v3.pdb@@AF-P01098-F1-model_v3.pdb.txt,0.582755,0.0,P0C5K9,P01098,pro_with_unknown_function
331119,331119,AF-Q8TGT8-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.5337449999999999,0.125,Q8TGT8,Q3E808,pro_with_unknown_function
331328,331328,AF-I2HB70-F1-model_v3.pdb@@AF-P43682-F1-model_v3.pdb.txt,0.5878399999999999,0.066,I2HB70,P43682,pro_with_unknown_function
332101,332101,AF-Q8TGU0-F1-model_v3.pdb@@AF-P0C270-F1-model_v3.pdb.txt,0.52871,0.118,Q8TGU0,P0C270,pro_with_unknown_function
332263,332263,AF-Q3E7Z5-F1-model_v3.pdb@@AF-P46988-F1-model_v3.pdb.txt,0.530375,0.082,Q3E7Z5,P46988,pro_with_unknown_function
332576,332576,AF-Q3E7Z5-F1-model_v3.pdb@@AF-Q02796-F1-model_v3.pdb.txt,0.51245,0.09,Q3E7Z5,Q02796,pro_with_unknown_function
332800,332800,AF-P0C5K9-F1-model_v3.pdb@@AF-O13516-F1-model_v3.pdb.txt,0.51446,0.0,P0C5K9,O13516,pro_with_unknown_function
333057,333057,AF-Q8TGJ0-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.64217,0.061,Q8TGJ0,Q99380,pro_with_unknown_function
333337,333337,AF-P0C5Q3-F1-model_v3.pdb@@AF-Q12248-F1-model_v3.pdb.txt,0.675065,0.042,P0C5Q3,Q12248,pro_with_unknown_function
333372,333372,AF-Q3E7Z3-F1-model_v3.pdb@@AF-P35727-F1-model_v3.pdb.txt,0.546805,0.026,Q3E7Z3,P35727,pro_with_unknown_function
333545,333545,AF-Q3E7B4-F1-model_v3.pdb@@AF-P38819-F1-model_v3.pdb.txt,0.527955,0.117,Q3E7B4,P38819,pro_with_unknown_function
333614,333614,AF-Q8TGT2-F1-model_v3.pdb@@AF-Q08245-F1-model_v3.pdb.txt,0.52034,0.091,Q8TGT2,Q08245,pro_with_unknown_function
333720,333720,AF-Q8TGT3-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.57101,0.12,Q8TGT3,Q99380,pro_with_unknown_function
334053,334053,AF-Q8TGS5-F1-model_v3.pdb@@AF-P38749-F1-model_v3.pdb.txt,0.516545,0.029,Q8TGS5,P38749,pro_with_unknown_function
334258,334258,AF-Q3E7B4-F1-model_v3.pdb@@AF-P40917-F1-model_v3.pdb.txt,0.510595,0.068,Q3E7B4,P40917,pro_with_unknown_function
334619,334619,AF-Q3E7Z9-F1-model_v3.pdb@@AF-Q04401-F1-model_v3.pdb.txt,0.51136,0.065,Q3E7Z9,Q04401,pro_with_unknown_function
335147,335147,AF-Q3E750-F1-model_v3.pdb@@AF-Q04005-F1-model_v3.pdb.txt,0.557675,0.033,Q3E750,Q04005,pro_with_unknown_function
335342,335342,AF-Q3E778-F1-model_v3.pdb@@AF-P53146-F1-model_v3.pdb.txt,0.543145,0.029,Q3E778,P53146,pro_with_unknown_function
335464,335464,AF-Q07589-F1-model_v3.pdb@@AF-Q12202-F1-model_v3.pdb.txt,0.5937250000000001,0.154,Q07589,Q12202,pro_with_unknown_function
335934,335934,AF-Q03795-F1-model_v3.pdb@@AF-P38125-F1-model_v3.pdb.txt,0.645885,0.123,Q03795,P38125,pro_with_unknown_function
336536,336536,AF-Q3E736-F1-model_v3.pdb@@AF-P0CX87-F1-model_v3.pdb.txt,0.527085,0.0,Q3E736,P0CX87,pro_with_unknown_function
336961,336961,AF-Q8TGR9-F1-model_v3.pdb@@AF-P07255-F1-model_v3.pdb.txt,0.512745,0.125,Q8TGR9,P07255,pro_with_unknown_function
337035,337035,AF-Q3E778-F1-model_v3.pdb@@AF-Q06505-F1-model_v3.pdb.txt,0.513915,0.059,Q3E778,Q06505,pro_with_unknown_function
337245,337245,AF-Q3E7Z5-F1-model_v3.pdb@@AF-P49334-F1-model_v3.pdb.txt,0.57507,0.059,Q3E7Z5,P49334,pro_with_unknown_function
337299,337299,AF-P0C5M0-F1-model_v3.pdb@@AF-Q92316-F1-model_v3.pdb.txt,0.5143,0.059,P0C5M0,Q92316,pro_with_unknown_function
337348,337348,AF-Q04436-F1-model_v3.pdb@@AF-Q99380-F1-model_v3.pdb.txt,0.52946,0.118,Q04436,Q99380,pro_with_unknown_function
337417,337417,AF-Q04897-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.574735,0.095,Q04897,Q3E808,pro_with_unknown_function
337535,337535,AF-Q8TGS5-F1-model_v3.pdb@@AF-P33419-F1-model_v3.pdb.txt,0.52268,0.057,Q8TGS5,P33419,pro_with_unknown_function
337878,337878,AF-Q2V2P6-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.59953,0.15,Q2V2P6,P32903,pro_with_unknown_function
338025,338025,AF-Q3E762-F1-model_v3.pdb@@AF-Q04005-F1-model_v3.pdb.txt,0.55085,0.061,Q3E762,Q04005,pro_with_unknown_function
338422,338422,AF-Q8TGT0-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.724535,0.1,Q8TGT0,P32903,pro_with_unknown_function
338637,338637,AF-P0C5P6-F1-model_v3.pdb@@AF-Q3E772-F1-model_v3.pdb.txt,0.663495,0.081,P0C5P6,Q3E772,pro_with_unknown_function
338644,338644,AF-Q3E778-F1-model_v3.pdb@@AF-P40540-F1-model_v3.pdb.txt,0.572015,0.059,Q3E778,P40540,pro_with_unknown_function
338648,338648,AF-Q12486-F1-model_v3.pdb@@AF-P38812-F1-model_v3.pdb.txt,0.523095,0.194,Q12486,P38812,pro_with_unknown_function
338660,338660,AF-Q3E7Z9-F1-model_v3.pdb@@AF-Q02774-F1-model_v3.pdb.txt,0.5016149999999999,0.032,Q3E7Z9,Q02774,pro_with_unknown_function
338934,338934,AF-Q07746-F1-model_v3.pdb@@AF-P40975-F1-model_v3.pdb.txt,0.5652349999999999,0.073,Q07746,P40975,pro_with_unknown_function
339128,339128,AF-Q8TGU5-F1-model_v3.pdb@@AF-P53507-F1-model_v3.pdb.txt,0.5088699999999999,0.086,Q8TGU5,P53507,pro_with_unknown_function
339671,339671,AF-Q45U18-F1-model_v3.pdb@@AF-P00856-F1-model_v3.pdb.txt,0.70256,0.085,Q45U18,P00856,pro_with_unknown_function
339728,339728,AF-Q8TGS5-F1-model_v3.pdb@@AF-P39704-F1-model_v3.pdb.txt,0.51596,0.057,Q8TGS5,P39704,pro_with_unknown_function
339878,339878,AF-P53906-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.5035050000000001,0.057,P53906,P32903,pro_with_unknown_function
340036,340036,AF-P38318-F1-model_v3.pdb@@AF-P54854-F1-model_v3.pdb.txt,0.6140950000000001,0.097,P38318,P54854,pro_with_unknown_function
340081,340081,AF-P0C5M0-F1-model_v3.pdb@@AF-P52553-F1-model_v3.pdb.txt,0.5736,0.044,P0C5M0,P52553,pro_with_unknown_function
340463,340463,AF-P0C5N1-F1-model_v3.pdb@@AF-P47822-F1-model_v3.pdb.txt,0.59119,0.12,P0C5N1,P47822,pro_with_unknown_function
340627,340627,AF-Q03795-F1-model_v3.pdb@@AF-Q08902-F1-model_v3.pdb.txt,0.614695,0.098,Q03795,Q08902,pro_with_unknown_function
340632,340632,AF-Q8TGT8-F1-model_v3.pdb@@AF-Q3E787-F1-model_v3.pdb.txt,0.55211,0.107,Q8TGT8,Q3E787,pro_with_unknown_function
340754,340754,AF-P0C269-F1-model_v3.pdb@@AF-P69851-F1-model_v3.pdb.txt,0.551595,0.026,P0C269,P69851,pro_with_unknown_function
340771,340771,AF-Q3E744-F1-model_v3.pdb@@AF-Q3E7Y6-F1-model_v3.pdb.txt,0.52959,0.104,Q3E744,Q3E7Y6,pro_with_unknown_function
340911,340911,AF-P0C5P2-F1-model_v3.pdb@@AF-Q3E790-F1-model_v3.pdb.txt,0.522365,0.0,P0C5P2,Q3E790,pro_with_unknown_function
341184,341184,AF-P38311-F1-model_v3.pdb@@AF-P40414-F1-model_v3.pdb.txt,0.542115,0.047,P38311,P40414,pro_with_unknown_function
341869,341869,AF-Q8TGS5-F1-model_v3.pdb@@AF-P39515-F1-model_v3.pdb.txt,0.50919,0.029,Q8TGS5,P39515,pro_with_unknown_function
342134,342134,AF-P43610-F1-model_v3.pdb@@AF-Q03532-F1-model_v3.pdb.txt,0.500435,0.12,P43610,Q03532,pro_with_unknown_function
342300,342300,AF-Q3E778-F1-model_v3.pdb@@AF-P38374-F1-model_v3.pdb.txt,0.5186850000000001,0.071,Q3E778,P38374,pro_with_unknown_function
342889,342889,AF-P0C5N1-F1-model_v3.pdb@@AF-Q03390-F1-model_v3.pdb.txt,0.56183,0.057,P0C5N1,Q03390,pro_with_unknown_function
344468,344468,AF-Q3E750-F1-model_v3.pdb@@AF-P40219-F1-model_v3.pdb.txt,0.575005,0.067,Q3E750,P40219,pro_with_unknown_function
344690,344690,AF-Q3E778-F1-model_v3.pdb@@AF-Q2V2P8-F1-model_v3.pdb.txt,0.62306,0.088,Q3E778,Q2V2P8,pro_with_unknown_function
345120,345120,AF-Q3E805-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.72096,0.083,Q3E805,P32903,pro_with_unknown_function
345413,345413,AF-P42942-F1-model_v3.pdb@@AF-P53295-F1-model_v3.pdb.txt,0.54593,0.202,P42942,P53295,pro_with_unknown_function
345677,345677,AF-P0C5P3-F1-model_v3.pdb@@AF-P36532-F1-model_v3.pdb.txt,0.55062,0.143,P0C5P3,P36532,pro_with_unknown_function
346373,346373,AF-P47107-F1-model_v3.pdb@@AF-P42935-F1-model_v3.pdb.txt,0.50088,0.083,P47107,P42935,pro_with_unknown_function
346412,346412,AF-Q3E7A6-F1-model_v3.pdb@@AF-Q3E808-F1-model_v3.pdb.txt,0.720505,0.083,Q3E7A6,Q3E808,pro_with_unknown_function
346518,346518,AF-Q3E778-F1-model_v3.pdb@@AF-P40414-F1-model_v3.pdb.txt,0.55715,0.059,Q3E778,P40414,pro_with_unknown_function
346606,346606,AF-P0C5N1-F1-model_v3.pdb@@AF-Q03713-F1-model_v3.pdb.txt,0.54574,0.057,P0C5N1,Q03713,pro_with_unknown_function
346641,346641,AF-Q3E7Z7-F1-model_v3.pdb@@AF-P87275-F1-model_v3.pdb.txt,0.51101,0.079,Q3E7Z7,P87275,pro_with_unknown_function
346706,346706,AF-Q8TGS5-F1-model_v3.pdb@@AF-P18852-F1-model_v3.pdb.txt,0.634185,0.057,Q8TGS5,P18852,pro_with_unknown_function
347175,347175,AF-P0C5K9-F1-model_v3.pdb@@AF-Q06236-F1-model_v3.pdb.txt,0.50552,0.074,P0C5K9,Q06236,pro_with_unknown_function
347266,347266,AF-P0C5M0-F1-model_v3.pdb@@AF-P47155-F1-model_v3.pdb.txt,0.51163,0.044,P0C5M0,P47155,pro_with_unknown_function
348182,348182,AF-Q3E832-F1-model_v3.pdb@@AF-P07255-F1-model_v3.pdb.txt,0.519725,0.043,Q3E832,P07255,pro_with_unknown_function
348408,348408,AF-P47159-F1-model_v3.pdb@@AF-P39003-F1-model_v3.pdb.txt,0.6938,0.113,P47159,P39003,pro_with_unknown_function
348482,348482,AF-Q3E804-F1-model_v3.pdb@@AF-P38202-F1-model_v3.pdb.txt,0.51991,0.043,Q3E804,P38202,pro_with_unknown_function
348490,348490,AF-Q3E7B4-F1-model_v3.pdb@@AF-Q05359-F1-model_v3.pdb.txt,0.534995,0.083,Q3E7B4,Q05359,pro_with_unknown_function
348617,348617,AF-Q3E778-F1-model_v3.pdb@@AF-P54003-F1-model_v3.pdb.txt,0.5172,0.029,Q3E778,P54003,pro_with_unknown_function
349000,349000,AF-Q3E814-F1-model_v3.pdb@@AF-P32570-F1-model_v3.pdb.txt,0.5490349999999999,0.055,Q3E814,P32570,pro_with_unknown_function
349074,349074,AF-P0C5P6-F1-model_v3.pdb@@AF-P53159-F1-model_v3.pdb.txt,0.51496,0.108,P0C5P6,P53159,pro_with_unknown_function
349653,349653,AF-Q3E771-F1-model_v3.pdb@@AF-P32903-F1-model_v3.pdb.txt,0.563375,0.094,Q3E771,P32903,pro_with_unknown_function
349740,349740,AF-P0C5L4-F1-model_v3.pdb@@AF-Q04477-F1-model_v3.pdb.txt,0.560935,0.115,P0C5L4,Q04477,pro_with_unknown_function
349769,349769,AF-P38235-F1-model_v3.pdb@@AF-P26309-F1-model_v3.pdb.txt,0.5025000000000001,0.089,P38235,P26309,pro_with_unknown_function
349988,349988,AF-Q3E7Z7-F1-model_v3.pdb@@AF-P01097-F1-model_v3.pdb.txt,0.580245,0.025,Q3E7Z7,P01097,pro_with_unknown_function
350724,350724,AF-P47062-F1-model_v3.pdb@@AF-Q3E787-F1-model_v3.pdb.txt,0.58996,0.096,P47062,Q3E787,pro_with_unknown_function
350762,350762,AF-Q3E809-F1-model_v3.pdb@@AF-P36162-F1-model_v3.pdb.txt,0.56477,0.098,Q3E809,P36162,pro_with_unknown_function
350890,350890,AF-P0C5R4-F1-model_v3.pdb@@AF-Q04087-F1-model_v3.pdb.txt,0.515065,0.043,P0C5R4,Q04087,pro_with_unknown_function
351268,351268,AF-Q3E7Z7-F1-model_v3.pdb@@AF-P32799-F1-model_v3.pdb.txt,0.508935,0.1,Q3E7Z7,P32799,pro_with_unknown_function
351389,351389,AF-Q04413-F1-model_v3.pdb@@AF-P48836-F1-model_v3.pdb.txt,0.5399849999999999,0.092,Q04413,P48836,pro_with_unknown_function
351736,351736,AF-P10356-F1-model_v3.pdb@@AF-P06106-F1-model_v3.pdb.txt,0.570765,0.09,P10356,P06106,pro_with_unknown_function
351830,351830,AF-P46996-F1-model_v3.pdb@@AF-Q06451-F1-model_v3.pdb.txt,0.619855,0.12,P46996,Q06451,pro_with_unknown_function
352117,352117,AF-P0C5R4-F1-model_v3.pdb@@AF-P54003-F1-model_v3.pdb.txt,0.55018,0.043,P0C5R4,P54003,pro_with_unknown_function
352273,352273,AF-P0C5M8-F1-model_v3.pdb@@AF-Q12345-F1-model_v3.pdb.txt,0.5070600000000001,0.069,P0C5M8,Q12345,pro_with_unknown_function
352426,352426,AF-P0C5P6-F1-model_v3.pdb@@AF-Q02205-F1-model_v3.pdb.txt,0.544965,0.054,P0C5P6,Q02205,pro_with_unknown_function
352738,352738,AF-Q3E7Z5-F1-model_v3.pdb@@AF-P48363-F1-model_v3.pdb.txt,0.50996,0.061,Q3E7Z5,P48363,pro_with_unknown_function
352850,352850,AF-Q3E758-F1-model_v3.pdb@@AF-Q05451-F1-model_v3.pdb.txt,0.5637,0.132,Q3E758,Q05451,pro_with_unknown_function
352918,352918,AF-Q3E750-F1-model_v3.pdb@@AF-Q2V2Q1-F1-model_v3.pdb.txt,0.53582,0.062,Q3E750,Q2V2Q1,pro_with_unknown_function
353095,353095,AF-Q12251-F1-model_v3.pdb@@AF-P38152-F1-model_v3.pdb.txt,0.795185,0.251,Q12251,P38152,pro_with_unknown_function
353141,353141,AF-P43617-F1-model_v3.pdb@@AF-Q04013-F1-model_v3.pdb.txt,0.776675,0.143,P43617,Q04013,pro_with_unknown_function
353207,353207,AF-Q8TGT0-F1-model_v3.pdb@@AF-P00856-F1-model_v3.pdb.txt,0.6691499999999999,0.067,Q8TGT0,P00856,pro_with_unknown_function
