,molecular_weight,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P0AGC3,73288.81952,59,57,55,66,10.96,12.33,9.16,6.48
P0A9P6,70484.62084,470,289,187,119,8.32,1.31,6.91,8.56
P00888,38761.41858,1231,678,459,354,14.65,5.11,7.48,8.99
P77718,54920.70831,216,131,117,75,19.78,6.84,15.75,1.27
P0A9C0,58903.37347,29,17,20,10,9.07,19.52,2.41,6.33
P63389,71781.04306,77,50,45,38,16.26,5.06,15.34,7.57
P06993,103035.8991,197,196,158,107,9.78,6.01,10.04,9.07
P00448,23064.63928,23528,20650,17327,15728,5.22,9.87,11.89,7.43
P0AG55,18874.15082,15531,10364,8051,6966,0.67,1.69,6.73,7.01
P0A8M6,12751.74436,15333,11557,10540,9878,5.18,3.17,5.62,5.15
P0AFK9,38824.47978,2768,2411,2040,1446,6.58,9.09,7.19,6.62
P30125,39474.00703,5455,6185,6294,6906,2.5,0.55,2.1,0.78
P64451,24393.4873,1535,1951,2115,2398,23.23,14.74,5.65,8.29
P30859,26894.72093,2547,2416,2150,1907,5.39,4.85,1.95,4.4
P0AAI5,43000.55275,1890,1624,1399,1173,5.09,5.67,5.31,7.51
P06999,32417.84255,792,649,575,463,5.19,5.32,4.76,1.9
P76372,36414.16846,1332,1039,854,801,3.86,3.79,4.94,3.9
P06988,46063.61695,1702,1430,1485,1086,2.91,4.59,5.27,1.41
P63224,20783.61786,4311,4118,3865,2995,0.17,6.52,4.37,7.27
P0AEK2,25526.19579,2992,2481,1920,1747,10.17,0.95,2.41,4.48
P10121,54461.90734,845,904,686,719,10.93,10.79,4.02,13.85
P0A6D3,46048.45409,799,552,445,370,4.22,5.63,1.88,1.73
P76108,42250.08416,391,771,1004,1447,11.37,3.39,3.75,5.37
P0A6T5,24796.90762,5775,3189,2087,1294,11.62,4.5,5.07,3.06
P11557,46116.34117,602,519,475,488,3.1,6.22,2.26,4.76
P26646,34683.88067,1076,1234,1251,1207,8.71,0.36,6.53,2.76
P0AEE1,19757.12484,1286,1037,855,756,5.04,1.13,6.58,1.46
P0ADV7,23929.47447,1024,1031,984,870,8.25,4.63,9.03,2.63
P0ABC3,37608.49134,991,833,682,593,4.29,4.79,1.19,6.04
P00946,42804.99234,913,767,656,556,2.01,2.1,3.51,8.45
P0A993,36792.64622,979,914,803,608,5.03,6.5,4.81,3.23
P08622,41056.47202,667,582,451,366,9.03,1.31,8.82,2.61
P00954,37396.06115,1092,854,655,614,7.84,2.44,12.67,2.47
P0A8N5,57772.14117,434,328,284,267,17.15,4.52,6.48,12.48
P00904,56816.25068,1366,868,772,648,20.52,6.09,14.12,5.49
P0AG80,48400.01535,211,327,423,550,18.08,9.6,2.47,5.95
P06986,39317.28634,1443,1089,1139,777,15.89,4.17,3.41,8.67
P23839,33136.27252,748,634,586,571,5.46,5.01,5.77,4.5
D9IX93,56416.73288,249,232,206,172,6.08,13.73,3.64,1.85
P0A9J8,43066.38398,2020,2617,3141,3370,4.24,6.48,4.51,1.59
P0ACP7,38132.24798,851,796,680,699,9.87,2.03,5.12,6.28
P77211,50220.61396,830,744,547,511,10.32,6.82,3.94,3.48
P77674,50779.90527,974,1728,2296,2505,13.03,7.05,8.81,7.26
Q46851,38789.70115,520,628,618,795,4.06,10.73,15.37,0.99
P09147,37223.63088,547,643,549,451,5.78,6.73,6.02,2.32
P0A6V8,34682.97956,1035,852,952,888,7.3,6.78,6.04,5.6
P0A8F8,76160.43622,135,134,150,156,7.41,8.37,2.66,5.18
P0A847,42548.22854,369,243,186,206,3.91,3.23,7.04,22.03
P0A6T3,41397.83668,529,589,551,442,7.13,4.63,6.92,6.38
P0A8E1,21194.6877,753,726,694,699,9.01,3.62,6.85,6.23
P76015,38173.13622,997,991,869,970,5.02,1.99,8.05,6.19
P0ABQ0,43392.67021,451,395,343,418,9.18,9.59,9.85,5.31
P30011,32723.94863,431,400,311,291,4.59,1.93,7.29,2.03
P37747,42920.75887,653,531,364,301,0.81,3.3,5.99,3.17
P0A9U3,59802.32729,196,159,124,96,4.12,10.11,6.47,9.1
P08957,59251.50285,184,129,96,80,8.96,7.07,30.96,8.77
P0ACQ4,34235.73131,374,344,317,253,10.03,3.58,4.68,8.26
P0A6P5,54983.4506,349,264,234,196,11.03,11.43,5.51,12.54
P76403,51142.48352,220,166,122,119,7.8,14.36,9.16,2.76
P0AAG8,56361.45375,360,483,388,390,13.75,7.1,9.43,9.73
P69783,18221.73165,26225,24667,23750,23449,8.48,6.54,1.32,4.44
P0A8G6,20814.41143,5988,7169,7173,6977,14.9,4.59,1.76,5.46
P0ADE6,16035.27366,3994,4818,6192,9009,7.04,8.07,7.1,10.13
P0A7W7,14099.51014,14108,9130,7225,6233,2.34,3.35,6.21,3.75
P0A707,20533.04237,5871,4621,3623,3162,4.12,9.26,11.34,4.26
P45523,28846.14416,3020,2353,1993,1649,2.68,2.75,3.89,1.86
P0AAC0,35666.29663,1503,1526,1777,1924,9.49,6.29,7.26,3.67
P0ABA4,19301.95116,6781,5654,4332,3008,11.5,1.56,6.29,11.91
P0A805,20607.85322,3234,3015,2385,2064,6.1,4.95,6.64,3.61
P07003,61953.54994,431,470,616,865,13.31,7.82,10.39,3.04
P0AAI9,32378.37752,1708,1443,1351,1232,6.86,6.42,12.44,2.42
P0A6Y5,32495.88996,1852,1660,1411,1114,4.82,5.46,5.46,9.73
P31057,28201.38237,2465,2307,2033,2074,9.63,10.97,3.22,2.5
P31663,31559.67743,1108,932,902,817,0.31,2.4,3.01,5.52
P04425,35520.25741,1021,958,870,842,7.28,3.29,5.65,2.22
P07024,60767.7396,346,334,318,279,1.68,3.57,5.39,6.53
P06987,40234.25797,1608,1324,1326,967,9.94,7.02,2.21,0.52
P0A9K3,38996.53281,728,552,521,422,9.37,4.02,6.85,1.94
P0A6C8,27124.47333,2748,1761,1871,2263,0.47,3.37,7.65,9.44
P77689,46775.93929,187,131,94,84,15.32,0.71,7.69,3.9
P0AA16,27318.15933,825,870,859,840,4.12,2.69,1.61,5.31
P69811,39605.51132,266,224,206,178,7.04,2.51,1.36,5.38
P0AE12,53943.36241,487,391,403,337,13.47,3.58,6.29,1.8
P60560,37341.7954,1190,577,348,251,11.42,0.75,3.62,4.08
P09127,42918.90191,449,449,427,367,9.67,8.77,7.25,6.61
P0A6V1,48648.4803,427,382,374,398,5.89,10.02,9.52,2.98
P06721,43167.00941,1165,1017,925,778,14.59,1.93,19.92,11.64
P16456,36645.68535,692,611,520,463,3.69,7.34,1.46,3.88
P22188,53291.93557,337,277,222,203,4.81,1.89,3.66,6.42
P21888,52150.62339,335,253,228,186,3.32,4.01,9.91,7.86
P00935,41506.48419,1210,653,776,747,3.68,8.2,4.91,3.44
P25522,49182.62977,243,237,176,178,6.02,13.86,3.36,2.65
P02924,35500.25494,118,312,381,656,7.3,5.79,2.86,11.15
P05194,27431.21147,446,372,302,267,1.7,3.63,3.3,4.83
P37744,32654.70736,477,418,330,236,6.7,8.71,7.84,2.05
P39180,106742.9816,32,41,34,68,25.05,7.55,4.03,19.11
P24215,44791.5738,417,481,579,518,5.67,5.45,4.12,1.7
P25437,39315.85811,461,407,370,349,6.61,6.33,1.81,6.95
P69831,48315.16646,4826,6462,4783,3800,10.59,3.93,10.33,6.29
P38489,23872.20471,927,839,620,401,3.88,1.34,5.08,6.33
P0AG16,56434.59517,457,302,211,169,6.1,2.21,3.26,3.5
P0A7B1,80363.19065,115,94,101,97,13.19,3.47,7.63,7.42
P17854,27940.45168,849,609,436,346,5.88,5.7,6.05,6.28
P16676,41015.48876,768,529,350,264,14.09,1.35,3.91,3.77
P21156,35147.8827,871,476,360,233,8.29,11.25,7.01,2.74
P09394,40799.26496,108,88,70,65,8.17,5.97,14.71,8.02
P0A6C5,49146.47652,365,206,169,177,7.6,5.74,3.71,13.85
P36979,43039.98018,219,164,113,82,7.86,2.43,6.06,4.93
P09053,46662.96822,370,348,251,160,12.23,5.75,9.11,8.89
P14081,68806.64349,59,35,34,34,14.95,15.49,4.15,15.09
P0A862,17806.20497,25981,21681,19704,14888,2.08,2.03,6.57,2.09
P0ACF8,15512.02414,34713,32872,24207,24220,8.34,8.95,5.79,7.01
P0AEZ9,18635.49217,2201,1336,1294,1341,14.7,2.28,1.25,2.38
P0A9Q1,27256.91436,3704,4401,4363,4297,2.78,4.9,1.83,3.07
P68919,10668.70954,12683,9500,7645,5945,10.34,1.82,8.47,7.56
P0ABS1,17498.7338,5510,4733,4090,3294,3.88,2.53,8.35,5.56
P0AC59,24316.69694,1840,1474,1346,840,11.69,4.51,7.81,1.76
P10384,48493.51804,1630,3376,3808,3936,17.27,7.73,4.91,2.69
P0ABA0,17235.28982,7598,5943,4337,3471,5.15,8.59,6.68,2.34
P0ACJ0,18857.02597,8661,7875,7704,6712,6.23,8.18,7.82,1.38
P0A6X7,11328.95837,4395,3848,4423,4516,2.01,2.8,10.74,1.94
P37903,15988.50332,4004,5796,6788,6969,6.84,3.03,7.96,7.32
P0A7J7,14847.87444,7120,4953,3818,3029,9.4,5.17,7.03,9.87
P39177,15907.2748,981,1219,1460,1509,20.55,7.85,6.13,14.21
P0A7X3,14829.0118,8034,5261,3918,3184,6.18,3.2,4.82,3.31
P28304,35132.52887,907,1083,1256,1814,7.13,3.21,5.33,2.33
P0A6L2,31232.09735,3071,2301,1933,1205,9.01,7.83,13.85,4.7
P22255,27140.68135,612,633,721,968,8.63,2,2.31,1.84
P0ACG1,15319.95488,3106,2252,1416,904,5.2,2.45,7.69,11.82
P0ADN2,13107.43367,5251,3382,2892,2405,3.31,11.91,7.33,1.61
P39325,34304.83484,458,972,1363,1951,12.37,3.7,8.29,10.79
P0ADW3,14933.50295,4303,3335,3119,2422,1.03,1.69,2.4,5.09
P37051,31896.52381,1774,1205,960,754,10.24,6.39,9.34,2.26
P39831,27213.76185,1948,1665,1677,1245,7.4,2.92,13.36,0.97
P0A8K1,35893.65515,1163,1097,1026,1079,3.07,3.92,1.03,7.99
P25906,30668.76971,689,874,915,1411,4.54,13.65,7.19,12.32
P76113,37567.99556,506,567,747,1020,15.96,2.77,8.07,10.41
P30177,35008.05566,620,563,538,518,4.63,2.18,6.69,7.15
P77774,41843.31901,732,812,651,609,6.49,12.07,21.08,3.99
Q46845,32353.38694,872,1002,890,1077,8.23,9.89,2.11,6.06
P0A759,29737.06131,903,916,841,748,6.82,0.17,5.44,4.46
P77444,44387.51743,336,321,273,238,9.67,2.75,4.26,13.19
P16703,32625.48081,1167,776,534,490,4.53,4.27,8.48,5.84
P0A9Q5,33282.06852,1419,1223,1077,1107,1.49,3.45,7.91,5.5
P0AFL3,20400.38325,1143,1227,1028,1066,3.25,5.82,3.18,1.23
P30178,38854.31329,905,670,499,384,3.53,7.42,16.11,4.49
P69451,62274.45314,331,458,458,412,10.94,1.96,9.18,5.41
P45577,25858.62351,1992,1377,1060,825,3.74,0.8,3.24,3.71
P0AC02,27793.80498,773,591,485,401,4.83,4.72,1.58,3.13
P0AG84,31450.32209,108,124,229,294,27.87,4.92,8.3,10.05
P0AG14,39323.69358,502,349,274,279,4.88,2.04,12.9,7.73
P00909,49312.34103,572,464,359,312,11.53,4.77,6.39,4.48
P11446,35911.41235,1143,634,620,590,6.37,1.55,4,1.95
P29745,44876.79994,288,259,255,275,15.49,4.65,11.28,6.44
P36767,33953.48385,344,263,229,216,3.75,16.75,2.73,12.46
P0AES0,70469.40032,78,53,40,46,6.13,11.13,15.72,15.08
P0A8G3,53934.61332,215,202,228,215,3.27,8.4,15.56,1.41
P0AAB4,55550.30277,490,501,442,479,11.62,6.52,12.26,2.7
P69805,31264.58442,2547,1786,1340,809,7.71,7.02,8.04,2.01
P76268,29992.45783,553,516,431,427,4.34,1.67,7,3.53
P37349,51398.26995,157,93,80,66,7.63,10.4,3.48,9.13
P0AAG0,35803.4273,520,490,424,376,9.87,5.12,5.7,8.86
P39286,39150.93052,248,203,169,187,3.23,6.6,8.98,2.57
P08331,70769.81696,247,281,223,206,1.98,6.1,10.98,5.68
P0A821,50557.49581,199,160,134,138,4.37,7.04,9.69,4.97
P27249,102307.94,168,157,140,134,2.99,8.4,8.86,2.45
P0A6J8,39273.26165,83,60,39,34,8.99,7.41,2.77,2.59
P25519,48279.34506,262,211,184,180,14.44,3.88,11.11,3.47
P0A9F3,36109.85116,451,332,263,240,8.23,3.5,9.69,8.83
P0A9K7,27381.7359,412,348,311,272,8,11.85,4.43,17.04
P76536,33013.46217,533,529,406,357,6.53,4.24,6.09,11.26
P0AFD1,18560.16361,1076,1331,1291,1058,17.9,1.17,6.33,5.16
P37636,41147.45053,8,9,7,8,27.38,31.83,23.51,13.09
P24232,43822.01281,144,99,71,41,10.15,8.54,15.08,9.06
P77247,24296.69318,343,260,206,142,1.2,7.46,5.45,3
P0AG20,83805.0908,100,92,97,95,14.23,10.6,9.99,1.4
P37313,37518.44931,569,558,453,435,5.25,8.27,2.23,5.59
P13024,34706.33649,267,264,191,171,9.46,16.24,0.91,5.43
P69776,8300.2889,57441,59981,43689,41916,12.35,6.32,5.62,13.59
P0AED0,16038.13696,45855,48443,55625,53570,7.45,11.35,15.74,1.62
P0A912,18794.22893,18801,14039,8776,5889,4.38,0.36,4.41,1.17
P0A7R5,11710.39634,15959,11246,8437,7300,2.78,3.92,7.87,6.56
P60624,11291.29914,30075,19183,15098,11736,0.24,2.91,6,2.94
P60723,22054.85068,15362,9934,7428,7100,5.42,5.79,1.84,9.43
P0A8E7,18314.5428,8008,6578,5915,6386,6.37,5.04,2.11,6.23
P0AG44,14337.64689,11020,7258,5663,4821,1.7,2.25,3.89,1.98
P0A7A9,19673.02389,5921,5403,4449,4117,10.79,2.72,6.19,5.24
P0A7S9,13073.26157,20459,13509,9839,8541,7.97,1.66,8.02,0.84
P21367,23067.81755,1886,1952,2602,3213,11.61,8.77,2.98,1.1
P31133,40795.98173,2849,2764,2820,2949,4.27,4.45,2.79,7
P0ADY3,13514.43986,8878,5302,4289,3851,10.61,5.37,7.32,8.06
P30860,26794.65139,4403,3477,4719,5510,2.01,0.82,5.59,3.06
P31658,31152.59493,530,573,701,816,20.7,4.81,5.21,6.52
P0AEG4,23071.69653,2684,1913,1553,1202,6.69,2.96,7.3,6.33
P0ABI8,74300.34181,1466,1133,896,841,7.95,3.83,8.16,3.13
P24186,31006.32562,1397,1077,829,704,3.03,1.33,4.57,3.72
P0A7Z0,22827.97901,2774,2216,1905,1600,1.29,7.11,0.74,3.11
P0A8B5,11988.91312,4956,3480,2800,2590,1.6,5.36,6.86,8.5
P08178,36812.62949,2092,1223,986,710,1.48,5.75,10.06,4.83
P46130,46035.84719,916,716,652,551,11.26,6.93,12.5,12.12
P31142,30774.59912,1073,1070,1173,1304,2.88,5.03,7.66,2.57
P25714,61468.37581,1081,816,729,672,9.85,3.07,7.72,1.32
P77499,27547.12225,359,271,245,196,10.92,8.99,5.95,8.2
P08244,26315.46192,821,471,318,284,6.39,11.97,8.1,6.76
P0A8P3,10927.41601,2255,1955,1768,1519,5.68,5.28,3.95,2.67
P0ABJ9,58149.04843,747,772,883,1036,7.87,3.07,13.75,3.87
P77522,54692.59648,226,359,353,223,0.3,7.68,0.9,10.89
P0AAT9,18767.35743,386,493,615,690,15.17,9.9,6.3,3.5
P23882,34128.84631,574,425,432,362,3.59,18.16,11.02,7.97
P04846,29387.44815,1404,976,822,697,6.59,5.67,6.87,7.29
P0A9V1,26766.07681,1144,970,951,880,13.88,5.75,7.84,10.98
P17952,53574.3631,283,210,204,144,3,6.4,7.62,6.18
P12008,39094.99499,722,623,503,420,8.21,4.8,2.7,6.04
P0AF28,23893.68135,935,809,748,490,8.83,10.35,8.14,9.37
P06610,20438.34628,905,968,1021,867,11.65,0.72,5.5,2.99
P0ADG4,29135.97683,955,646,546,494,4.73,5.53,4.3,1.07
P33920,37781.14933,635,557,484,516,4.89,10.55,3.64,5.39
P0AFM6,25459.21011,740,631,516,429,11.6,10.01,22.8,11.76
P75913,35303.17335,951,809,706,546,4.86,9.11,8.8,5.39
P0A9D2,22835.83157,770,824,865,772,17.51,6.47,0.49,2.08
P76143,31854.09188,104,182,357,667,5.02,7.17,7.65,7.21
P00547,33583.89194,327,208,176,151,17.38,27.68,14.74,10.18
P11880,47399.59944,417,272,232,191,15.38,9.43,15.01,8.45
P46853,38722.71557,324,312,243,236,10.48,8.85,5.89,5.61
P0ADR8,50921.20064,247,238,208,193,5.92,2.09,10.3,8.69
P09030,30931.52872,414,487,417,426,1.44,6.2,3.36,7.66
P21151,40831.62496,578,1218,1463,1285,15.1,1.59,5.21,0.67
P0AG82,36983.0841,304,264,227,200,17.95,6.66,4.36,5.68
P0AEG6,25586.89691,404,273,235,193,9.18,4.45,23.26,2.9
P60390,34838.18791,232,185,163,165,2,14.67,6.79,2.28
P0AET8,26743.57852,217,255,303,272,10.12,2.97,3.32,7.49
P0A6D7,19508.09251,1064,767,591,467,7.35,5.45,7.19,7.77
P0ACA7,23680.16535,979,943,1035,804,11.98,15.1,12.69,4.99
P0AF20,44495.56096,162,137,143,140,1.8,5.32,4.36,6.58
P75823,36453.59645,384,438,435,343,3.37,1.52,6.27,3.57
P06983,33812.80201,165,167,161,118,9.82,3.36,9.06,7.92
P67087,31310.56676,224,187,155,132,5.56,5.95,5.62,7.7
P0ACB7,45198.8272,222,223,207,200,1.34,4.14,8.38,3.93
P02919,88815.91013,116,117,116,116,16.16,4.13,9.94,5.09
P0A6J5,47559.0476,193,119,63,64,16.99,9.69,11.87,4.93
P0A7C2,22325.88481,536,451,432,350,7.56,1.38,5.97,8.49
P17993,26520.48429,1032,796,659,423,6.18,4,7.05,4.28
P0ADF8,11080.60733,2551,2055,2011,2416,14.31,4.32,9.04,7.3
P0ACB0,52339.69889,130,125,82,75,10.14,22.5,27.22,12.64
P77399,77005.72935,268,116,210,191,52.89,72.45,44.21,8.25
P39401,85422.54757,97,93,76,57,8.4,8.12,10.88,6.48
P0A894,32453.73402,213,201,209,187,7.45,1.63,6.95,3.1
P30126,22455.24259,4035,5594,5439,6736,14.75,5.07,7.36,8.72
P43672,72004.14163,143,110,86,70,14.57,12.98,6.48,4.21
P76097,50992.62968,67,79,106,142,9.36,21.29,6.8,15.69
P42593,72614.31572,138,181,198,170,5.06,8.66,8.58,5.38
P0A8I3,29549.3024,462,366,290,183,4.61,5.63,7.39,9.95
P43329,148917.1694,37,28,28,24,10.04,3.99,7.64,7.42
P76027,37145.94441,178,172,127,135,2.54,16.49,12.05,4.7
P76503,46483.14049,124,153,157,147,9.74,1.23,8.79,2.89
P0AEJ2,42886.87981,94,64,32,20,10.91,23.68,28.86,21.6
P33940,60173.82383,10,10,14,9,27.75,9.04,34.1,25.87
P00926,47852.13812,29,20,29,20,20.62,13.76,29.5,19.36
P0AEI4,49532.38803,160,119,74,55,1.39,7.06,5.31,7.97
P76621,37318.85063,329,233,181,151,22.95,11.14,7.88,8.23
P77318,62745.09934,91,133,121,72,7.19,9.64,12.07,6.39
P11458,38198.18573,314,241,152,104,18.37,14.71,4.75,7.69
P04949,51246.56095,148,538,125,12,28.92,17.76,11.74,7.66
P0AFH8,21042.86046,5095,3150,3010,2452,29.57,4.81,5.51,4.24
P0A917,18572.91003,5305,3690,3364,2847,4.65,2.96,2.47,3.29
P0A7J3,17682.37957,22631,14446,12848,9878,3.64,3.92,9.02,3.07
P0AA10,15990.53156,21083,14032,10619,8508,5.17,9.08,4.26,4.07
P0A905,15574.05822,9203,8284,8146,8728,6.9,8.07,6.08,3.89
P0A7F3,17091.87674,21282,13699,8248,6717,6.63,5.97,7.09,3.16
P0ADB1,11994.89181,8216,8717,11727,11560,10.58,7.05,4.17,7.39
P0A6E6,15040.73788,8472,7101,5402,4130,3.59,6.85,9.56,1.33
P0A9A9,16766.34053,5207,4303,4175,3546,4.85,4.18,6.54,3.71
P61517,25062.79563,2151,1545,1276,1052,6.83,2.26,5.31,4.74
P0C0S1,30858.6734,3375,2039,1719,1422,10.74,5.45,8.6,3.01
P75874,14673.74948,1326,1366,1532,1353,6.96,2.3,31.31,5.36
P0AGE6,20344.58726,1944,1840,1746,1873,17.83,6.67,8.16,3.48
P0AAX8,33286.1605,2528,1918,1508,1221,0.93,5.88,3.91,4.82
P0A7K6,13107.18035,8207,5087,4070,3118,14.56,7.31,6.71,8.58
P62768,15068.91436,2202,2309,2316,2338,8.47,3.18,4.12,2.88
P39173,32627.64631,2142,1633,1095,739,1.25,4.58,6.57,5.4
P0ABF6,31501.89874,253,315,345,442,17.14,7.26,5.47,5.73
P0ABU5,22948.79863,1753,1849,1508,1555,10.2,2.9,1.83,6.14
P33232,42682.9454,369,337,309,373,2.4,34.99,3.3,6.55
P64604,19546.14199,691,540,470,521,2.58,15.02,36.96,6.92
P69407,23637.75191,1883,1557,1299,1259,7.73,2.04,8.61,7.33
P0AF08,39894.51587,797,576,470,414,11.37,7.76,4.85,2.29
P00960,34734.16,1218,987,822,701,2.43,9.73,9.18,2.95
P0AG78,36618.84053,646,413,374,313,5.67,0.42,1.42,6.66
P0AF18,40905.11211,354,413,462,449,8.9,5.62,7.31,9.28
P0A8H6,19029.67039,978,651,548,537,10.66,0.8,3.69,7.98
P0AA43,25831.22795,947,813,655,531,1.63,4.99,3.5,6.84
P0AF24,27127.68109,854,714,672,557,0.2,1.63,5.52,2.02
P45470,18828.85417,296,247,292,432,28.07,13.32,26.64,22.95
P0AC86,93096.09715,220,188,186,214,7.82,5.1,15.26,6.32
P0A6W5,17612.06622,2090,1808,1462,1390,5.04,14.79,6.41,19.18
P0A7F6,30347.05278,784,500,339,257,1.28,1.76,2.46,4.83
P0A8X2,20881.61917,1028,1033,1014,611,4.46,2.75,8.01,1.68
P00894,17947.67665,1078,855,826,715,5.94,11.78,1.65,2.51
P07623,35686.96076,893,701,589,501,3.66,2.83,5.25,2.47
P36649,56501.41538,724,627,516,426,4.19,6.99,10.84,3.26
P0A9M2,20084.39054,676,582,432,350,5.16,9.37,7.75,10.43
P69924,43471.70663,466,396,330,277,5.58,4.9,12.87,2.12
P0AFU8,23412.01845,610,464,435,290,19.43,3.66,8.88,12.31
P42620,37344.61414,69,94,140,180,22.34,7.11,15.61,4.57
P0AEN1,26207.32303,799,653,611,515,8.7,17.39,6.65,3.91
P0ACD4,13821.84619,10152,6805,4830,3123,11.77,9.13,1.79,4.32
P0A9W9,20214.2959,209,245,282,172,55.2,12.83,23.68,7
P0A8Y5,29684.23219,218,141,96,68,7.44,14.56,3.67,15.99
P37749,37715.06647,649,512,380,266,5.13,7.51,4.95,6.02
P15067,73512.46612,77,76,72,74,15.28,6.88,2.71,9.17
P0A746,15423.22096,1752,1588,1313,1245,8.62,5.77,5.16,6.85
P52647,128725.189,62,59,66,90,11.44,6.11,6.17,2.5
P0ADT5,44979.1626,220,207,177,159,14.01,5.07,7.34,4.44
P0ADI4,32515.26281,82,78,75,59,17.5,24.85,31.4,5.53
P31060,54484.31679,241,211,190,135,3.24,9.33,9.56,11.48
P02918,93559.40765,36,32,30,30,18.14,4.39,18.91,6.25
P77485,53686.03324,199,221,147,159,10.44,6.91,8.01,6.99
P0A6L9,20107.15818,593,424,295,313,2.6,13.52,19.88,11.24
P29131,35753.37745,182,177,180,191,7.75,8.39,5.87,5.59
P39172,33738.19213,91,95,63,52,11.11,8.83,2.52,6.05
P0A9S3,37348.25439,780,1321,1206,1282,2.01,6.05,11.68,1.86
P76397,44419.35351,70,62,53,54,7.94,17.45,4.62,5.12
P37440,27814.33763,389,454,416,441,8.84,10.16,2.49,4.01
P04983,54988.72377,90,117,114,173,8.59,5.95,21.72,10.12
P37626,38786.71563,206,188,135,105,6.94,2.9,10.31,2.64
P13445,37930.72627,316,305,271,182,19.44,6.82,20.34,13.2
P75914,26855.38893,207,201,166,129,9.72,12.97,10.4,7.49
P0A9S7,28390.87056,469,433,335,306,11.62,4.13,14.16,2.53
P0A8F4,24319.5763,239,167,136,106,3.06,8.13,7.4,2.89
P09099,52566.57799,36,44,48,59,14.47,6.51,5.42,12.31
P75863,40600.63921,160,159,161,172,3.33,17.23,0.85,6.17
P0A6U3,69459.73837,99,86,56,49,11.17,6.57,12.15,4.78
P37387,35693.7284,176,357,462,504,5.16,2.9,8.04,8.01
P60716,36030.34041,469,498,379,345,8.6,5.18,8.45,5.18
P0ABF1,53819.05532,81,55,40,28,17.68,3.95,23.27,15.12
P00363,65911.64933,86,100,94,120,11.71,2.74,1.12,8.36
P04391,36865.4917,472,354,444,605,7.5,3.67,4.25,5.96
P0AFC7,25021.38614,438,411,387,301,6.15,3.13,21.97,13.3
P68187,40946.59286,569,655,608,378,9.3,7.47,18.76,8.44
P12996,38605.23075,149,61,49,32,13.67,12.47,31.64,12.83
P77737,37155.62253,96,80,70,53,10.32,9.68,13.29,4.52
P0C0L2,15060.65425,6963,8625,13343,16056,14.15,3.79,4.79,2.95
P0A7K2,12269.50186,32000,21561,17286,14559,3.88,1.38,6.71,6.73
P0A7R1,15741.46941,19789,14342,11452,8298,6.3,3,8.13,10.74
P0A6N4,20560.41097,11292,8615,6563,5335,5.15,5.41,1.97,2.53
P0A6G7,23153.61161,6432,5355,5069,4031,8.24,9.7,9,3.19
P0A9K9,20821.68491,13684,10279,9264,7321,13.28,13.37,5.79,8.59
P63235,55022.52596,65,69,63,74,41.54,19.97,36.3,12.45
P0AB80,34054.10848,2366,1435,919,795,8.27,6.05,8.35,1.96
P0A729,21659.17378,2968,2837,3497,3266,4.44,10.89,2.59,1.67
P61714,16128.57221,5387,3848,2540,2135,2.97,7.03,7.85,5.59
P0A800,10212.37872,7208,5904,4427,4301,9.76,13.39,13.05,6.47
P23869,18123.88314,1998,1665,1465,1119,8.42,6.45,5.24,7.78
P77395,31753.32557,1829,1529,1205,897,11.65,4.42,2.52,15.01
P0A763,15435.78265,21146,16525,11996,8266,6.38,7.51,8.06,8.97
P0AGJ5,37743.03444,976,835,878,765,4.02,2.92,4.29,2.38
P27431,42534.03822,639,560,498,501,4.15,1.9,7.44,6.85
P60651,33517.55834,938,760,793,971,5.88,6.68,1.17,9.36
P45955,28196.1354,702,550,543,491,4.65,3.29,10.03,17.92
P76316,35113.19951,766,681,568,556,9.05,3.61,5.97,9.25
P31063,14955.68129,1316,1175,1043,865,6.9,9.22,3.64,5.24
P0AG51,6519.63478,5308,3215,2675,1959,12.47,0.83,2.29,4.86
P56262,29388.78696,1378,1172,1138,874,9.77,14.61,8.88,6.98
P0A7M2,8982.86292,9471,6518,4535,4289,10.77,25.26,11.79,3.42
P69503,19828.64708,1489,995,696,556,5.37,7.78,5.38,3.66
P12281,44021.5614,320,284,260,215,4.34,9.55,8.67,1.47
P15078,75037.56526,4408,5823,5893,5510,11.2,9.2,12.3,3.16
P60595,21620.82603,824,676,708,438,9.09,9.54,3.89,4.47
P77739,32420.23286,232,369,561,681,10.95,23.71,10.58,7.12
P10371,25998.573,989,884,837,566,9.5,2.38,2.56,7.47
P0A780,15661.27427,928,798,686,549,7.47,3.47,7.18,3.66
P0A6N8,21500.97054,1886,1357,1028,840,1.45,6.11,4.09,5.3
P0A9L8,28108.48308,711,708,713,781,12.1,6.82,2.29,4.88
P0A8S1,33432.49089,417,409,336,332,10.12,6.58,8.11,1.77
P75960,26681.42664,558,492,489,385,6.33,5.16,14.91,4.47
P0ACB2,35583.87097,338,269,257,222,4.79,1.34,0.8,3
P08192,45359.43089,234,180,148,114,1.99,6.01,3.4,7
P0A7E9,25935.5313,668,423,314,223,7.69,13.8,20.43,32.76
P36659,34415.7121,121,128,129,159,11.35,11.95,13.02,8.8
P69425,18391.55204,503,496,370,348,5.95,7.75,8.18,6.72
