Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
AF-P75894-F1-model_v2          22632.240         6198.672        16433.568            0.726  53972
AF-P76160-F1-model_v2          11967.724         2715.539         9252.185            0.773  34168
AF-P76208-F1-model_v2          21298.753         5541.447        15757.306            0.740  48846
AF-P76499-F1-model_v2          19382.393         4905.723        14476.670            0.747  48036
AF-P77699-F1-model_v2          21007.786         4805.549        16202.237            0.771  59829
AF-Q2EES0-F1-model_v2           8345.655         1481.907         6863.748            0.822  29429
AF-Q2M5U1-F1-model_v2           5228.333          858.209         4370.124            0.836  16945
AF-Q2M7R5-F1-model_v2           7854.852         1713.097         6141.754            0.782  23110
AF-Q46797-F1-model_v2          30584.677         8036.943        22547.734            0.737  86200
AF-Q47153-F1-model_v2          66573.006        18119.125        48453.881            0.728  215025
AF-P0A6L9-F1-model_v2          20991.667         5625.744        15365.923            0.732  53954
AF-P0A6X7-F1-model_v2          11127.037         2446.247         8680.790            0.780  38563
AF-P0A7G6-F1-model_v2          40899.254        11865.841        29033.414            0.710  92548
AF-P0A7J0-F1-model_v2          25453.213         7739.094        17714.119            0.696  55902
AF-P0A932-F1-model_v2          43468.334        11537.916        31930.417            0.735  113006
AF-P0A9V5-F1-model_v2          10946.756         2500.009         8446.748            0.772  281708
AF-P0AB03-F1-model_v2          37296.260        11000.322        26295.937            0.705  181203
AF-P0AB20-F1-model_v2          12010.337         3050.101         8960.235            0.746  40541
AF-P0AB38-F1-model_v2          22689.542         5510.966        17178.575            0.757  159087
AF-P0AD57-F1-model_v2          38441.926        11609.248        26832.677            0.698  130013
AF-P0ADJ8-F1-model_v2          16381.625         3936.552        12445.073            0.760  71649
AF-P0AED5-F1-model_v2          25915.081         7679.947        18235.134            0.704  64357
AF-P0CE55-F1-model_v2          40509.510        11628.043        28881.468            0.713  154317
AF-P0CF67-F1-model_v2          10977.131         2155.517         8821.614            0.804  45609
AF-P18133-F1-model_v2          51397.744        16345.861        35051.883            0.682  158973
AF-P21693-F1-model_v2          55080.368        17493.190        37587.177            0.682  148835
AF-P24077-F1-model_v2          47309.443        13795.354        33514.089            0.708  187055
AF-P24555-F1-model_v2          88926.989        28375.213        60551.777            0.681  225117
AF-P25552-F1-model_v2          60833.807        18902.543        41931.264            0.689  145859
AF-P25553-F1-model_v2          58279.905        18351.333        39928.571            0.685  166820
AF-P31660-F1-model_v2          46846.081        13938.413        32907.669            0.702  105118
AF-P33360-F1-model_v2          38050.961        11769.099        26281.862            0.691  97746
AF-P37648-F1-model_v2          59622.664        17269.746        42352.918            0.710  180887
AF-P37669-F1-model_v2          40850.487        11766.853        29083.633            0.712  113577
AF-P39309-F1-model_v2          12173.951         2778.004         9395.947            0.772  36124
AF-P39342-F1-model_v2          59757.406        18176.518        41580.888            0.696  161926
AF-P39368-F1-model_v2          21233.238         6011.731        15221.507            0.717  75601
AF-P40719-F1-model_v2          52199.268        13709.413        38489.855            0.737  296715
AF-P42632-F1-model_v2          98793.702        33285.376        65508.326            0.663  300499
AF-P64604-F1-model_v2          19536.956         4542.704        14994.252            0.767  61726
AF-P68644-F1-model_v2          50052.922        15099.357        34953.565            0.698  145531
AF-P69820-F1-model_v2          18825.628         5671.279        13154.349            0.699  44511
AF-P75679-F1-model_v2          14633.592         2994.106        11639.486            0.795  46387
AF-P75726-F1-model_v2          61536.402        19530.364        42006.038            0.683  144346
AF-P75770-F1-model_v2          39412.332        11509.172        27903.160            0.708  85931
AF-P75870-F1-model_v2          91055.977        28416.699        62639.278            0.688  213987
AF-P76137-F1-model_v2          42804.465        11229.527        31574.938            0.738  126258
AF-P76206-F1-model_v2          28859.674         7943.929        20915.745            0.725  69279
AF-P76223-F1-model_v2          47117.406        14406.235        32711.170            0.694  92546
AF-P76280-F1-model_v2          26372.193         7763.350        18608.843            0.706  58400
AF-P76516-F1-model_v2          11934.967         2677.122         9257.845            0.776  33847
AF-P76561-F1-model_v2          26974.673         8007.399        18967.273            0.703  54075
AF-P76641-F1-model_v2          57138.447        18821.318        38317.129            0.671  96116
AF-P77129-F1-model_v2          50906.071        16686.311        34219.760            0.672  78572
AF-P77156-F1-model_v2          36195.376         9505.815        26689.561            0.737  79209
AF-P77216-F1-model_v2          51951.483        15433.949        36517.534            0.703  96994
AF-P77567-F1-model_v2          35589.043        10979.217        24609.827            0.692  64744
AF-P77601-F1-model_v2          29806.047         8029.114        21776.933            0.731  69377
AF-P77733-F1-model_v2          33245.926         9686.276        23559.650            0.709  62528
AF-P77779-F1-model_v2          58258.287        16314.284        41944.004            0.720  135626
AF-Q46809-F1-model_v2          31586.548        10143.614        21442.934            0.679  53954
AF-Q46819-F1-model_v2          18573.766         5332.494        13241.272            0.713  39947
AF-Q47155-F1-model_v2          42700.142        12458.237        30241.905            0.708  81731
AF-P0A6X3-F1-model_v2          11091.784         2601.412         8490.373            0.765  37021
AF-P0A8D6-F1-model_v2          20504.891         6097.617        14407.274            0.703  42814
AF-P0A8U6-F1-model_v2          12176.639         2922.382         9254.257            0.760  36757
AF-P0A924-F1-model_v2          31656.461         9245.457        22411.004            0.708  69311
AF-P0A9R7-F1-model_v2          26817.376         8110.163        18707.213            0.698  61668
AF-P0AAK4-F1-model_v2          20281.093         5900.081        14381.012            0.709  54003
AF-P0AAQ2-F1-model_v2          13200.678         3044.449        10156.229            0.769  118643
AF-P0AB33-F1-model_v2           9236.450         1871.301         7365.149            0.797  58585
AF-P0ABW3-F1-model_v2           9860.142         2805.176         7054.966            0.716  23946
AF-P0AC44-F1-model_v2          13390.177         3330.189        10059.988            0.751  144060
AF-P0AE39-F1-model_v2          31013.283         8998.641        22014.643            0.710  150566
AF-P0AES0-F1-model_v2          78616.548        24758.266        53858.282            0.685  385261
AF-P00550-F1-model_v2          73485.126        21243.157        52241.968            0.711  164440
AF-P05704-F1-model_v2          58598.332        13704.526        44893.806            0.766  163913
AF-P07821-F1-model_v2          31868.746         9768.545        22100.201            0.693  210642
AF-P0A7I0-F1-model_v2          42912.701        12187.765        30724.936            0.716  195562
AF-P0A814-F1-model_v2          19941.553         5576.176        14365.377            0.720  107571
AF-P0A8U2-F1-model_v2          33363.765        10413.481        22950.284            0.688  97935
AF-P0A8Z3-F1-model_v2          16564.132         4650.657        11913.475            0.719  43478
AF-P0AAB2-F1-model_v2          18119.687         5415.560        12704.126            0.701  39773
AF-P0AAY4-F1-model_v2           8999.038         1335.881         7663.158            0.852  37657
AF-P0ACX5-F1-model_v2           7921.851         1867.235         6054.616            0.764  24558
AF-P0ADD9-F1-model_v2           4656.108          886.885         3769.223            0.810  16339
AF-P0AFN6-F1-model_v2          31786.111         9615.524        22170.586            0.697  153824
AF-P0AG07-F1-model_v2          27137.091         8340.940        18796.151            0.693  106372
AF-P0AGM0-F1-model_v2          40101.875        10150.219        29951.655            0.747  222689
AF-P0CF44-F1-model_v2          12972.355         2644.531        10327.823            0.796  49479
AF-P0CF66-F1-model_v2          10987.297         2163.811         8823.485            0.803  38048
AF-P15640-F1-model_v2          51455.029        16414.272        35040.757            0.681  143909
AF-P17846-F1-model_v2          71942.357        23160.723        48781.634            0.678  157829
AF-P23721-F1-model_v2          44762.114        14382.119        30379.995            0.679  147028
AF-P24182-F1-model_v2          55608.219        17976.015        37632.204            0.677  126745
AF-P24251-F1-model_v2          16605.604         4625.845        11979.759            0.721  62303
AF-P24255-F1-model_v2          56119.118        14966.641        41152.477            0.733  201388
AF-P24554-F1-model_v2          54498.337        16730.340        37767.997            0.693  243439
AF-P25960-F1-model_v2          26651.672         7260.352        19391.320            0.728  68795
AF-P26646-F1-model_v2          38754.154        12227.809        26526.345            0.684  105311
AF-P28905-F1-model_v2          17890.819         5207.256        12683.563            0.709  38159
AF-P29010-F1-model_v2           6698.444         1466.259         5232.185            0.781  19269
AF-P30844-F1-model_v2          42343.215        10915.229        31427.986            0.742  136733
AF-P33650-F1-model_v2          92825.816        27893.427        64932.389            0.700  311838
AF-P33937-F1-model_v2         107765.487        36836.944        70928.543            0.658  304281
AF-P36677-F1-model_v2          13519.596         2851.874        10667.722            0.789  43250
AF-P37621-F1-model_v2          46602.072        13902.239        32699.833            0.702  246422
AF-P37745-F1-model_v2          23136.688         6869.129        16267.559            0.703  67697
AF-P37902-F1-model_v2          36281.022        10757.372        25523.650            0.703  85135
AF-P38392-F1-model_v2          19915.739         5019.895        14895.844            0.748  52682
AF-P46142-F1-model_v2          38928.951         9599.977        29328.974            0.753  117161
AF-P62617-F1-model_v2          18352.104         5399.934        12952.170            0.706  38762
AF-P64455-F1-model_v2           8663.087         1981.262         6681.825            0.771  24261
AF-P64488-F1-model_v2          14197.649         3790.065        10407.583            0.733  32568
AF-P75718-F1-model_v2           6853.292         1345.299         5507.993            0.804  22354
AF-P75843-F1-model_v2          52716.085        16298.364        36417.721            0.691  123902
AF-P75936-F1-model_v2          23695.931         5801.984        17893.947            0.755  62273
AF-P75979-F1-model_v2           5974.175          987.623         4986.552            0.835  20049
AF-P76491-F1-model_v2          23889.253         6513.441        17375.812            0.727  68013
AF-P76509-F1-model_v2          10459.931         2585.257         7874.674            0.753  27381
AF-P76555-F1-model_v2          26226.689         6815.282        19411.407            0.740  73174
AF-P77171-F1-model_v2          35645.337        10090.428        25554.909            0.717  86105
AF-P77212-F1-model_v2          53378.003        16537.005        36840.998            0.690  119655
AF-P77219-F1-model_v2          17969.381         4637.826        13331.555            0.742  42206
AF-P77541-F1-model_v2          35198.311        10647.348        24550.963            0.698  70892
AF-P77619-F1-model_v2          53013.207        16588.522        36424.684            0.687  94252
AF-Q46927-F1-model_v2          30686.456         8883.081        21803.374            0.711  64160
AF-Q47538-F1-model_v2          31557.041         9842.842        21714.199            0.688  59362
AF-P04846-F1-model_v2          31776.533         9244.216        22532.317            0.709  74011
AF-P0A6W3-F1-model_v2          44460.370        13500.694        30959.675            0.696  89531
AF-P0A7L3-F1-model_v2          13658.016         3211.073        10446.943            0.765  42164
AF-P0A9H5-F1-model_v2          23109.627         6349.485        16760.142            0.725  60294
AF-P0AAC6-F1-model_v2          24540.370         6465.043        18075.327            0.737  66422
AF-P0AAP7-F1-model_v2          10610.708         1750.414         8860.294            0.835  317789
AF-P0AAS5-F1-model_v2          32533.791         9902.364        22631.428            0.696  145954
AF-P0AAV6-F1-model_v2          11344.663         1676.594         9668.069            0.852  54490
AF-P0AB40-F1-model_v2           8694.574         1963.717         6730.857            0.774  30176
AF-P0ACN4-F1-model_v2          30851.114         8467.904        22383.210            0.726  158161
AF-P0ADF6-F1-model_v2          73348.057        24125.534        49222.523            0.671  194685
AF-P0A6U3-F1-model_v2          77571.074        24588.025        52983.049            0.683  149609
AF-P0A6W5-F1-model_v2          18393.115         4930.502        13462.613            0.732  46522
AF-P0A7S3-F1-model_v2          14161.707         3654.014        10507.693            0.742  41816
AF-P0A8V0-F1-model_v2          36372.191        11222.225        25149.966            0.691  76173
AF-P0A978-F1-model_v2           7995.914         2062.789         5933.124            0.742  33647
AF-P05804-F1-model_v2          77068.419        24989.283        52079.136            0.676  135108
AF-P0A6X1-F1-model_v2          50688.681        15367.317        35321.364            0.697  112735
AF-P0A703-F1-model_v2          13268.438         3620.228         9648.210            0.727  34376
AF-P0A799-F1-model_v2          46467.284        14957.151        31510.133            0.678  166456
AF-P0A800-F1-model_v2          10198.367         2402.780         7795.588            0.764  65574
AF-P0A8K8-F1-model_v2          34060.133         8600.305        25459.828            0.747  222812
AF-P0A9A2-F1-model_v2          20276.275         5921.874        14354.401            0.708  64408
AF-P0A9P9-F1-model_v2          30184.941         9086.545        21098.395            0.699  189519
AF-P0A9T0-F1-model_v2          48511.234        14690.959        33820.276            0.697  182630
AF-P0AA63-F1-model_v2          25778.326         6692.187        19086.139            0.740  83061
AF-P0AAJ8-F1-model_v2          37918.425        10593.566        27324.859            0.721  208195
AF-P0AB85-F1-model_v2          41314.013        11890.033        29423.980            0.712  148209
AF-P0ABE2-F1-model_v2          12532.003         3369.037         9162.966            0.731  32966
AF-P0ACI0-F1-model_v2          36419.630        11100.026        25319.603            0.695  151309
AF-P0AF06-F1-model_v2          34381.757         8291.492        26090.265            0.759  174465
AF-P0AFJ7-F1-model_v2          59696.985        18609.686        41087.299            0.688  190557
AF-P0AFS7-F1-model_v2          41219.839        10262.316        30957.523            0.751  194933
AF-P0DPP0-F1-model_v2           2978.410          498.069         2480.340            0.833  10502
AF-P0DPP3-F1-model_v2           6363.152         1102.090         5261.061            0.827  20767
AF-P0DSF4-F1-model_v2           6275.007         1444.168         4830.839            0.770  19662
AF-P0DSH3-F1-model_v2           8468.135         1749.083         6719.052            0.793  28353
AF-P10907-F1-model_v2          43549.339        13380.997        30168.342            0.693  143463
AF-P13656-F1-model_v2         101464.704        27904.051        73560.654            0.725  342713
AF-P14407-F1-model_v2          67346.235        21477.723        45868.512            0.681  141411
AF-P21345-F1-model_v2          52807.290        16266.461        36540.830            0.692  149346
AF-P27245-F1-model_v2          16367.835         4020.915        12346.920            0.754  60347
AF-P28903-F1-model_v2          89541.866        28648.922        60892.944            0.680  308809
AF-P31450-F1-model_v2          25326.914         7168.308        18158.606            0.717  115786
AF-P33128-F1-model_v2          28457.161         7774.236        20682.926            0.727  91343
AF-P37309-F1-model_v2          13969.860         3817.094        10152.766            0.727  46529
AF-P37596-F1-model_v2          45705.832        14114.502        31591.330            0.691  163304
AF-P37634-F1-model_v2          35651.592        11190.486        24461.106            0.686  85269
AF-P37685-F1-model_v2          63570.348        20559.897        43010.451            0.677  180315
AF-P39161-F1-model_v2          31099.286         8762.853        22336.433            0.718  116880
AF-P39264-F1-model_v2          19715.377         4887.151        14828.225            0.752  62284
AF-P39306-F1-model_v2          27207.386         7921.802        19285.584            0.709  63117
AF-P39332-F1-model_v2          15471.405         4349.330        11122.075            0.719  36723
AF-P39382-F1-model_v2          35230.333        10818.632        24411.701            0.693  127662
AF-P45570-F1-model_v2          20985.887         5841.482        15144.405            0.722  62150
AF-P52043-F1-model_v2          60659.461        19642.402        41017.059            0.676  163867
AF-P60995-F1-model_v2           1807.547          226.871         1580.675            0.874  9103
AF-P69506-F1-model_v2          26819.722         7842.286        18977.436            0.708  64295
AF-P69829-F1-model_v2          19471.068         5768.377        13702.692            0.704  44990
AF-P75800-F1-model_v2          96773.639        27653.218        69120.421            0.714  243148
AF-P75898-F1-model_v2          47396.805        15259.188        32137.617            0.678  85440
AF-P76079-F1-model_v2          30586.645         9332.638        21254.006            0.695  57957
AF-P76134-F1-model_v2          48867.146        14889.252        33977.894            0.695  92001
AF-P76143-F1-model_v2          34901.315        10571.149        24330.166            0.697  67502
AF-P77249-F1-model_v2          26938.013         7374.578        19563.434            0.726  61697
AF-P77658-F1-model_v2          35015.012         6733.758        28281.254            0.808  103965
AF-Q46889-F1-model_v2          45235.218        13698.497        31536.721            0.697  84290
AF-Q46911-F1-model_v2          59387.439        18406.383        40981.057            0.690  105091
AF-Q46916-F1-model_v2          54477.887        16514.347        37963.541            0.697  96136
AF-P04395-F1-model_v2          34478.933        10438.009        24040.924            0.697  73492
AF-P07639-F1-model_v2          44018.062        14259.169        29758.893            0.676  84338
AF-P09833-F1-model_v2          43826.512        13834.203        29992.308            0.684  98870
AF-P0A712-F1-model_v2          36664.700        10596.109        26068.591            0.711  93457
AF-P08957-F1-model_v2          65141.015        20058.016        45083.000            0.692  132357
AF-P08997-F1-model_v2          68027.686        22066.980        45960.706            0.676  118151
AF-P09154-F1-model_v2          15670.911         3890.961        11779.949            0.752  41639
AF-P0A6W0-F1-model_v2          37799.368        12204.176        25595.192            0.677  84780
AF-P0A749-F1-model_v2          51205.698        16945.987        34259.711            0.669  624855
AF-P0A7P5-F1-model_v2           5158.110         1031.863         4126.247            0.800  51240
AF-P0A9V1-F1-model_v2          29549.811         9082.312        20467.499            0.693  115108
AF-P0AAC0-F1-model_v2          38762.619        11453.128        27309.491            0.705  188702
AF-P0AAD4-F1-model_v2          47915.814        14709.107        33206.706            0.693  190835
AF-P0AAI9-F1-model_v2          36103.345        11358.993        24744.352            0.685  158242
AF-P0ABG7-F1-model_v2          44651.982        13235.991        31415.992            0.704  221563
AF-P0ABS5-F1-model_v2          70858.664        20859.344        49999.320            0.706  343308
AF-P0ACG1-F1-model_v2          14646.145         2927.066        11719.079            0.800  69957
AF-P0AD01-F1-model_v2          29022.460         8020.805        21001.654            0.724  127148
AF-P0AD03-F1-model_v2          53179.086        15991.580        37187.506            0.699  226021
AF-P0ADF3-F1-model_v2           3166.020          349.397         2816.623            0.890  18782
AF-P0AE98-F1-model_v2          14203.115         2729.453        11473.662            0.808  65665
AF-P0AFL9-F1-model_v2          51640.167        15884.881        35755.286            0.692  174466
AF-P0AGM9-F1-model_v2          54293.345        16612.195        37681.150            0.694  206345
AF-P0C960-F1-model_v2          23557.051         6559.508        16997.543            0.722  75039
AF-P0CF41-F1-model_v2          12998.672         2668.548        10330.124            0.795  42458
AF-P0DPO3-F1-model_v2           5589.875          669.555         4920.320            0.880  23289
AF-P10443-F1-model_v2         146202.227        46938.383        99263.844            0.679  560545
AF-P15877-F1-model_v2          98620.427        32381.530        66238.897            0.672  256457
AF-P17446-F1-model_v2          22930.042         6283.095        16646.947            0.726  70996
AF-P23367-F1-model_v2          71848.166        19887.704        51960.462            0.723  251259
AF-P24197-F1-model_v2          33391.960        10545.455        22846.505            0.684  126193
AF-P27434-F1-model_v2          34904.236         7324.212        27580.024            0.790  172920
AF-P31991-F1-model_v2          19812.305         5293.894        14518.412            0.733  58628
AF-P32167-F1-model_v2          24740.680         6979.529        17761.151            0.718  55833
AF-P36659-F1-model_v2          35420.327         9082.862        26337.465            0.744  106530
AF-P37747-F1-model_v2          47357.581        14447.208        32910.373            0.695  101353
AF-P37774-F1-model_v2          30998.727         9786.659        21212.068            0.684  61199
AF-P37903-F1-model_v2          17031.622         4743.443        12288.180            0.721  40605
AF-P38055-F1-model_v2          56773.249        17791.228        38982.022            0.687  120334
AF-P38393-F1-model_v2           8808.190         2337.966         6470.224            0.735  20703
AF-P39283-F1-model_v2          12558.121         3539.283         9018.838            0.718  26632
AF-P45807-F1-model_v2           5639.691         1019.653         4620.039            0.819  17906
AF-P50456-F1-model_v2          48797.554        14876.901        33920.653            0.695  99424
AF-P52097-F1-model_v2          51905.776        15054.332        36851.444            0.710  111140
AF-P64496-F1-model_v2           6383.827         1374.686         5009.141            0.785  17125
AF-P75829-F1-model_v2          42024.325        12712.823        29311.502            0.697  87864
AF-P75989-F1-model_v2          30507.781         8909.084        21598.697            0.708  64055
AF-P76014-F1-model_v2          24836.765         7631.283        17205.483            0.693  45038
AF-P76111-F1-model_v2          15711.369         3374.622        12336.747            0.785  43369
AF-P76308-F1-model_v2          11839.715         2881.008         8958.708            0.757  29563
AF-P76397-F1-model_v2          45635.897        11664.673        33971.224            0.744  111178
AF-P76422-F1-model_v2          31551.132         9725.103        21826.029            0.692  56244
AF-P77326-F1-model_v2          12282.223         2635.391         9646.833            0.785  32729
AF-P77455-F1-model_v2          81746.644        26012.618        55734.026            0.682  153836
AF-P77499-F1-model_v2          30920.530         9841.451        21079.079            0.682  55178
AF-Q46866-F1-model_v2          18718.587         5110.838        13607.750            0.727  39323
AF-Q47272-F1-model_v2           5143.135          902.121         4241.014            0.825  15895
AF-P08401-F1-model_v2          54411.744        14381.193        40030.551            0.736  136215
AF-P09153-F1-model_v2          21802.289         5355.612        16446.677            0.754  58341
AF-P09158-F1-model_v2          35567.582        10953.477        24614.105            0.692  71488
AF-P0A6D5-F1-model_v2          34547.699        10676.702        23870.998            0.691  77951
AF-P0A6P1-F1-model_v2          32140.321         8859.005        23281.316            0.724  540696
AF-P0A6P7-F1-model_v2          25617.126         7651.119        17966.007            0.701  129018
AF-P0A6S3-F1-model_v2          40394.895        11357.648        29037.247            0.719  192252
AF-P0A8G3-F1-model_v2          60443.497        19342.542        41100.955            0.680  166597
AF-P0A8I8-F1-model_v2          18753.012         5464.744        13288.269            0.709  80226
AF-P0AAJ5-F1-model_v2          35443.489        10324.866        25118.623            0.709  154698
AF-P0ABJ1-F1-model_v2          36393.131         9603.838        26789.293            0.736  170577
AF-P0ABN9-F1-model_v2          53473.258        16363.977        37109.282            0.694  164569
AF-P0ACC7-F1-model_v2          54321.119        16756.992        37564.127            0.692  299154
AF-P0ADC8-F1-model_v2           7223.027         1347.956         5875.071            0.813  36776
AF-P0ADV9-F1-model_v2          22609.833         6040.572        16569.261            0.733  130660
AF-P0AEI1-F1-model_v2          59205.074        18346.337        40858.737            0.690  232171
AF-P0AEJ2-F1-model_v2          47143.212        14447.220        32695.992            0.694  139369
AF-P0AEP7-F1-model_v2          73574.705        24142.561        49432.144            0.672  209295
AF-P0AEX5-F1-model_v2          35180.417        10445.620        24734.796            0.703  108484
AF-P0AEY3-F1-model_v2          30678.956         7506.284        23172.672            0.755  100346
AF-P0DPN5-F1-model_v2           3540.267          606.903         2933.364            0.829  13596
AF-P0DSI0-F1-model_v2           3208.767          462.743         2746.024            0.856  13199
AF-P10371-F1-model_v2          29130.437         9241.979        19888.458            0.683  67674
AF-P16678-F1-model_v2          30594.362         9339.599        21254.762            0.695  188932
AF-P21361-F1-model_v2           5269.469          775.038         4494.432            0.853  21433
AF-P25526-F1-model_v2          59107.680        19581.455        39526.225            0.669  254901
AF-P25748-F1-model_v2          40325.276        11870.428        28454.848            0.706  160250
AF-P31131-F1-model_v2          19752.012         5777.145        13974.867            0.708  44796
AF-P31463-F1-model_v2          40318.474        12082.370        28236.104            0.700  100478
AF-P32136-F1-model_v2          57430.748        17581.667        39849.081            0.694  189373
AF-P32144-F1-model_v2          31175.938         9437.013        21738.924            0.697  74952
AF-P33195-F1-model_v2         120552.798        41015.335        79537.463            0.660  292518
AF-P36675-F1-model_v2           7509.453         1240.037         6269.416            0.835  29324
AF-P37127-F1-model_v2          79137.795        24610.888        54526.906            0.689  228265
AF-P37636-F1-model_v2          42731.973        11317.353        31414.621            0.735  125610
AF-P37760-F1-model_v2          35959.932        10970.776        24989.156            0.695  66598
AF-P43672-F1-model_v2          78526.647        23526.472        55000.175            0.700  175128
AF-P45548-F1-model_v2          36752.632        11734.965        25017.667            0.681  67778
AF-P46141-F1-model_v2          11852.200         2532.285         9319.916            0.786  33901
AF-P52007-F1-model_v2          23171.191         7017.264        16153.927            0.697  46165
AF-P52130-F1-model_v2          15018.417         4564.479        10453.938            0.696  28285
AF-P69425-F1-model_v2          16590.777         2485.694        14105.083            0.850  56303
AF-P75826-F1-model_v2          36065.992        10961.073        25104.919            0.696  70119
AF-P75919-F1-model_v2          60613.449        19527.202        41086.247            0.678  110898
AF-P75967-F1-model_v2          27409.409         8166.038        19243.371            0.702  53110
AF-P75993-F1-model_v2          10031.807         2626.455         7405.352            0.738  23283
AF-P76221-F1-model_v2          27368.922         7072.604        20296.318            0.742  65005
AF-P76419-F1-model_v2          38248.323        11972.290        26276.034            0.687  70835
AF-P77161-F1-model_v2          33642.829        10078.495        23564.335            0.700  61825
AF-P77260-F1-model_v2          60585.286        19601.269        40984.017            0.676  102304
AF-P77263-F1-model_v2          27850.582         7535.749        20314.833            0.729  60971
AF-P77726-F1-model_v2          54642.826        16940.787        37702.039            0.690  99528
AF-P77737-F1-model_v2          41178.101        12667.757        28510.344            0.692  77809
AF-P06968-F1-model_v2          16946.327         4487.406        12458.921            0.735  47854
AF-P0A7A2-F1-model_v2          26031.884         7778.199        18253.686            0.701  54202
AF-P0A8H8-F1-model_v2           6881.758         1348.972         5532.785            0.804  25110
AF-P0A8Y5-F1-model_v2          33232.843        10478.926        22753.917            0.685  62257
AF-P0A955-F1-model_v2          24727.774         7594.481        17133.293            0.693  53098
AF-P0A9H1-F1-model_v2          20310.997         6014.669        14296.329            0.704  47496
AF-P0AA91-F1-model_v2          21691.649         5657.422        16034.226            0.739  137525
AF-P0AA93-F1-model_v2          68607.757        20395.392        48212.365            0.703  386453
AF-P0AAG8-F1-model_v2          62279.287        19123.298        43155.989            0.693  248086
AF-P0AB71-F1-model_v2          43089.968        13227.702        29862.266            0.693  106478
AF-P0AC23-F1-model_v2          33897.134         9983.067        23914.068            0.705  83982
AF-P0ACG4-F1-model_v2           4958.044          719.521         4238.522            0.855  21757
AF-P0ADB1-F1-model_v2          11728.997         2597.140         9131.856            0.779  41337
AF-P0AE74-F1-model_v2          60073.636        18957.957        41115.679            0.684  206241
AF-P0AEU3-F1-model_v2          28830.727         7997.777        20832.949            0.723  113093
AF-P0AEZ1-F1-model_v2          35862.471        10596.765        25265.707            0.705  121048
AF-P0AF78-F1-model_v2          24375.385         5051.869        19323.516            0.793  103773
AF-P0AGL2-F1-model_v2          15219.194         4495.143        10724.051            0.705  47869
AF-P10903-F1-model_v2          55383.347        17031.528        38351.819            0.692  130937
AF-P11667-F1-model_v2          25104.365         7150.994        17953.371            0.715  76495
AF-P15031-F1-model_v2          31088.583         9614.763        21473.820            0.691  75515
AF-P16700-F1-model_v2          41108.494        12368.519        28739.974            0.699  157291
AF-P21418-F1-model_v2           7699.307         1316.847         6382.460            0.829  29644
AF-P22731-F1-model_v2          29145.649         9033.967        20111.682            0.690  107672
AF-P23842-F1-model_v2          92578.464        28203.700        64374.763            0.695  343230
AF-P24203-F1-model_v2          39675.077        12428.774        27246.303            0.687  105361
AF-P27832-F1-model_v2          26173.949         7692.818        18481.131            0.706  68817
AF-P28722-F1-model_v2          27205.655         7826.156        19379.499            0.712  82001
AF-P29217-F1-model_v2          25305.161         6905.771        18399.389            0.727  80414
AF-P30850-F1-model_v2          79352.226        23975.509        55376.717            0.698  242243
AF-P30979-F1-model_v2          38058.224        10485.798        27572.426            0.724  194941
AF-P37050-F1-model_v2          21114.928         5827.788        15287.140            0.724  69370
AF-P37646-F1-model_v2          31864.636         9198.464        22666.172            0.711  80104
AF-P37661-F1-model_v2          70213.535        21446.554        48766.981            0.695  282778
AF-P38035-F1-model_v2          64803.964        18785.164        46018.801            0.710  183083
AF-P39386-F1-model_v2          49700.203        15065.056        34635.146            0.697  152392
AF-P39408-F1-model_v2          32461.677        10362.959        22098.718            0.681  78295
AF-P42628-F1-model_v2          53789.517        16404.511        37385.006            0.695  158273
AF-P64564-F1-model_v2          22930.628         6405.933        16524.695            0.721  99178
AF-P64624-F1-model_v2          27596.845         7137.855        20458.990            0.741  91758
AF-P69831-F1-model_v2          54136.128        16707.220        37428.908            0.691  129730
AF-P69874-F1-model_v2          47191.037        14361.906        32829.130            0.696  122042
AF-P75617-F1-model_v2          28374.189         7971.473        20402.717            0.719  65617
AF-P76161-F1-model_v2          29028.927         7688.184        21340.744            0.735  69067
AF-P76227-F1-model_v2           9314.632         1731.666         7582.966            0.814  29728
AF-P76268-F1-model_v2          32351.653         9400.400        22951.252            0.709  68434
AF-P76512-F1-model_v2          13244.903         3256.749         9988.153            0.754  35582
AF-P77245-F1-model_v2          33589.588         9748.100        23841.488            0.710  71880
AF-P77334-F1-model_v2          80842.281        23800.216        57042.065            0.706  189396
AF-P77360-F1-model_v2          41950.335        12959.532        28990.803            0.691  74755
AF-P77489-F1-model_v2          88330.019        28916.961        59413.058            0.673  149806
AF-P77795-F1-model_v2          40762.293        12466.535        28295.758            0.694  78743
AF-Q79E92-F1-model_v2          12373.871         2550.113         9823.758            0.794  33471
AF-P07363-F1-model_v2          75374.553        20834.178        54540.375            0.724  191723
AF-P08203-F1-model_v2          27412.670         7956.908        19455.762            0.710  62209
AF-P04994-F1-model_v2          52477.315        12889.281        39588.033            0.754  143678
AF-P08200-F1-model_v2          50550.918        15532.462        35018.456            0.693  103965
AF-P08660-F1-model_v2          53909.148        16785.881        37123.267            0.689  111364
AF-P0A7M2-F1-model_v2           9366.552         2474.103         6892.449            0.736  189056
AF-P0A7W1-F1-model_v2          18694.655         5225.480        13469.175            0.720  116125
