Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
P12686	RT13_YEAST	37S ribosomal protein MRP13, mitochondrial (Mitochondrial small ribosomal subunit protein mS44) (YmS-A)	MRP13 YGR084C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	339	38,988		MRP13		YGR084C			Mitochondrion-specific ribosomal protein mS44 family	Electron microscopy (3)
P53236	RSC1_YEAST	Chromatin structure-remodeling complex subunit RSC1 (RSC complex subunit RSC1) (Remodel the structure of chromatin complex subunit 1)	RSC1 YGR056W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	928	106,669		RSC1		YGR056W	PF01426;PF00439;	SSF47370;	RSC1 family	
Q06488	RSC2_YEAST	Chromatin structure-remodeling complex subunit RSC2 (RSC complex subunit RSC2) (Remodel the structure of chromatin complex subunit 2)	RSC2 YLR357W L9638.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	889	102,300		RSC2	L9638.1	YLR357W	PF01426;PF00439;	SSF47370;	RSC1 family	Electron microscopy (6); X-ray crystallography (1)
P38781	RSC30_YEAST	Chromatin structure-remodeling complex protein RSC30 (Remodel the structure of chromatin complex subunit 30)	RSC30 YHR056C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	883	101,335		RSC30		YHR056C	PF00172;	SSF57701;		Electron microscopy (6)
Q06639	RSC3_YEAST	Chromatin structure-remodeling complex protein RSC3 (Remodel the structure of chromatin complex subunit 3)	RSC3 YDR303C D9740.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	885	101,720		RSC3	D9740.13	YDR303C	PF00172;	SSF57701;		Electron microscopy (6)
Q02206	RSC4_YEAST	Chromatin structure-remodeling complex subunit RSC4 (RSC complex subunit RSC4) (Remodel the structure of chromatin complex subunit 4)	RSC4 YKR008W YK107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	625	72,291		RSC4	YK107	YKR008W	PF00439;	SSF47370;		Electron microscopy (7); X-ray crystallography (4)
Q07979	RSC58_YEAST	Chromatin structure-remodeling complex protein RSC58 (Remodel the structure of chromatin complex subunit 58)	RSC58 YLR033W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	502	57,794		RSC58		YLR033W	PF00439;			Electron microscopy (7)
P25632	RSC6_YEAST	Chromatin structure-remodeling complex protein RSC6 (Remodel the structure of chromatin complex subunit 6)	RSC6 YCR052W YCR52W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	483	54,165		RSC6	YCR52W	YCR052W		SSF47592;		Electron microscopy (7)
P10662	RT01_YEAST	37S ribosomal protein MRP1, mitochondrial (Mitochondrial small ribosomal subunit protein mS43)	MRP1 YDR347W D9651.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	321	36,729		MRP1	D9651.1	YDR347W	PF02777;	SSF54719;	Mitochondrion-specific ribosomal protein mS43 family	Electron microscopy (3)
P32832	RSC7_YEAST	Chromatin structure-remodeling complex subunit RSC7 (Nuclear protein localization protein 6) (Remodel the structure of chromatin complex subunit 7)	NPL6 RSC7 YMR091C YM9582.16C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435	49,651	RSC7	NPL6	YM9582.16C	YMR091C	PF08624;		RSC7/SWP82 family, RSC7 subfamily	Electron microscopy (7)
P43609	RSC8_YEAST	Chromatin structure-remodeling complex protein RSC8 (Remodel the structure of chromatin complex subunit 8) (SWI3 homolog)	RSC8 SWH3 YFR037C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	557	63,168	SWH3	RSC8		YFR037C	PF00249;PF04433;PF16495;PF00569;	SSF46689;		Electron microscopy (7)
Q03124	RSC9_YEAST	Chromatin structure-remodeling complex subunit RSC9 (RSC complex subunit RSC9) (Remodel the structure of chromatin complex subunit 9)	RSC9 YML127W YM4987.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	581	65,218		RSC9	YM4987.08	YML127W			RSC9 family	Electron microscopy (7)
P10663	RT02_YEAST	37S ribosomal protein MRP2, mitochondrial (Mitochondrial small ribosomal subunit protein uS14m)	MRP2 YPR166C P9325.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115	13,538		MRP2	P9325.7	YPR166C	PF00253;		Universal ribosomal protein uS14 family	Electron microscopy (3)
Q02608	RT16_YEAST	37S ribosomal protein S16, mitochondrial (Mitochondrial small ribosomal subunit protein bS16m)	MRPS16 YPL013C LPA4C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	121	13,639		MRPS16	LPA4C	YPL013C	PF00886;	SSF54565;	Bacterial ribosomal protein bS16 family	Electron microscopy (3)
Q05900	RU1C_YEAST	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	YHC1 YLR298C L8003.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	231	27,045		YHC1	L8003.21	YLR298C	PF06220;	SSF57667;	U1 small nuclear ribonucleoprotein C family	Electron microscopy (7)
P32902	RT04_YEAST	37S ribosomal protein MRP4, mitochondrial (Mitochondrial small ribosomal subunit protein uS2m)	MRP4 MRP4A YHL004W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394	44,152	MRP4A	MRP4		YHL004W	PF00318;	SSF52313;	Universal ribosomal protein uS2 family	Electron microscopy (3)
Q03246	RT17_YEAST	37S ribosomal protein S17, mitochondrial (Mitochondrial small ribosomal subunit protein uS17m)	MRPS17 YMR188C YM8010.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237	27,635		MRPS17	YM8010.18C	YMR188C	PF00366;	SSF50249;	Universal ribosomal protein uS17 family	Electron microscopy (3)
P33759	RT05_YEAST	37S ribosomal protein S5, mitochondrial (Mitochondrial small ribosomal subunit protein uS5m)	MRPS5 YBR251W YBR1704	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	307	34,883		MRPS5	YBR1704	YBR251W	PF00333;PF03719;	SSF54211;	Universal ribosomal protein uS5 family	Electron microscopy (3)
P28778	RT06_YEAST	37S ribosomal protein MRP17, mitochondrial (Mitochondrial small ribosomal subunit protein bS6m) (YmS16)	MRP17 YKL003C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	131	15,021		MRP17		YKL003C	PF01250;	SSF54995;	Bacterial ribosomal protein bS6 family	Electron microscopy (3)
Q08963	RU2A_YEAST	U2 small nuclear ribonucleoprotein A' (U2 snRNP A') (Looks exceptionally like U2A protein 1)	LEA1 YPL213W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238	27,193		LEA1		YPL213W			U2 small nuclear ribonucleoprotein A family	Electron microscopy (19)
P36056	RT22_YEAST	Probable S-adenosyl-L-methionine-dependent RNA methyltransferase RSM22, mitochondrial (EC 2.1.1.-)	RSM22 YKL155C YKL610	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	628	72,190		RSM22	YKL610	YKL155C	PF09243;	SSF53335;	Methyltransferase superfamily, Rsm22 family	
P42847	RT18_YEAST	37S ribosomal protein S18, mitochondrial (Mitochondrial small ribosomal subunit protein uS11m) (YmS18)	MRPS18 YNL306W N0397	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	217	24,563		MRPS18	N0397	YNL306W			Universal ribosomal protein uS11 family	Electron microscopy (3)
P53733	RT19_YEAST	37S ribosomal protein S19, mitochondrial (Mitochondrial small ribosomal subunit protein uS19m)	RSM19 YNR037C N3300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	91	10,275		RSM19	N3300	YNR037C	PF00203;	SSF54570;	Universal ribosomal protein uS19 family	Electron microscopy (3)
P47150	RT07_YEAST	37S ribosomal protein S7, mitochondrial (Mitochondrial small ribosomal subunit protein uS7m)	RSM7 YJR113C J2020	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	247	27,816		RSM7	J2020	YJR113C	PF00177;	SSF47973;	Universal ribosomal protein uS7 family	Electron microscopy (3)
P38175	RT21_YEAST	37S ribosomal protein MRP21, mitochondrial (Mitochondrial small ribosomal subunit protein bS21m)	MRP21 MRP50 YBL090W YBL0702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177	20,395	MRP50	MRP21	YBL0702	YBL090W	PF01165;		Bacterial ribosomal protein bS21 family	Electron microscopy (3)
Q03799	RT08_YEAST	37S ribosomal protein S8, mitochondrial (Mitochondrial small ribosomal subunit protein uS8m)	MRPS8 YMR158W YM8520.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155	17,471		MRPS8	YM8520.07	YMR158W	PF00410;	SSF56047;	Universal ribosomal protein uS8 family	Electron microscopy (3)
Q03919	RUB1_YEAST	NEDD8-like protein RUB1 (Related to ubiquitin protein 1) (Ubiquitin-like protein RUB1)	RUB1 YDR139C YD9302.15C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	77	8,693		RUB1	YD9302.15C	YDR139C	PF00240;	SSF54236;		
P38120	RT09_YEAST	37S ribosomal protein S9, mitochondrial (Mitochondrial small ribosomal subunit protein uS9m)	MRPS9 YBR146W YBR1123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	278	31,925		MRPS9	YBR1123	YBR146W	PF00380;	SSF54211;	Universal ribosomal protein uS9 family	Electron microscopy (3)
P53330	RT102_YEAST	Regulator of Ty1 transposition protein 102	RTT102 YGR275W G9378	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157	17,795		RTT102	G9378	YGR275W	PF09510;			Electron microscopy (9); X-ray crystallography (2)
Q05543	RT103_YEAST	Regulator of Ty1 transposition protein 103	RTT103 YDR289C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409	46,488		RTT103		YDR289C	PF04818;	SSF48464;	UPF0400 (RTT103) family	NMR spectroscopy (3); X-ray crystallography (1)
Q01163	RT23_YEAST	37S ribosomal protein S23, mitochondrial (DAP-3) (Mitochondrial small ribosomal subunit protein mS29)	RSM23 YGL129C G2856	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	450	50,867		RSM23	G2856	YGL129C	PF10236;	SSF52540;	Mitochondrion-specific ribosomal protein mS29 family	Electron microscopy (3)
P53064	RTF1_YEAST	RNA polymerase-associated protein RTF1	RTF1 CSL3 YGL244W HRA458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	558	65,869	CSL3	RTF1	HRA458	YGL244W	PF03126;	SSF159042;		X-ray crystallography (2)
P40063	RT105_YEAST	Regulator of Ty1 transposition protein 105	RTT105 YER104W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208	24,413		RTT105		YER104W				
Q03976	RT24_YEAST	37S ribosomal protein S24, mitochondrial (Mitochondrial ribosomal small subunit protein 24) (Mitochondrial small ribosomal subunit protein mS35)	RSM24 YDR175C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	319	37,393		RSM24		YDR175C	PF10213;		Mitochondrion-specific ribosomal protein mS35 family	Electron microscopy (3)
P32607	RTG1_YEAST	Retrograde regulation protein 1	RTG1 YOL067C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	177	19,016		RTG1		YOL067C	PF00010;	SSF47459;		
P32608	RTG2_YEAST	Retrograde regulation protein 2	RTG2 YGL252C NRF588	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	588	65,572		RTG2	NRF588	YGL252C	PF02541;	SSF53067;	GppA/Ppx family	
P38165	RTG3_YEAST	Retrograde regulation protein 3	RTG3 YBL103C YBL0810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	486	54,140		RTG3	YBL0810	YBL103C	PF00010;	SSF47459;		
Q12100	RTK1_YEAST	Probable serine/threonine-protein kinase RTK1 (EC 2.7.11.1) (Ribosome biogenesis and tRNA synthetase-associated kinase 1)	RTK1 YDL025C D2810	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	620	69,615		RTK1	D2810	YDL025C	PF00069;	SSF56112;	Protein kinase superfamily, Ser/Thr protein kinase family	
P40496	RT25_YEAST	37S ribosomal protein S25, mitochondrial (Mitochondrial small ribosomal subunit protein mS23)	RSM25 YIL093C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	264	30,513		RSM25		YIL093C	PF13741;		Mitochondrion-specific ribosomal protein mS23 family	Electron microscopy (3)
Q12234	RUD3_YEAST	GRIP domain-containing protein RUD3 (Golgin-related protein 1) (Relieves USO1-1 transport defect protein 3)	RUD3 GRP1 YOR216C YOR50-6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	484	56,069	GRP1	RUD3	YOR50-6	YOR216C	PF10375;			
P47141	RT26_YEAST	37S ribosomal protein S26, mitochondrial (Mitochondrial small ribosomal subunit protein mS42)	RSM26 YJR101W J1952	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	266	30,224		RSM26	J1952	YJR101W	PF02777;	SSF46609;SSF54719;	Mitochondrion-specific ribosomal protein mS42 family	Electron microscopy (3)
P53305	RT27_YEAST	Mitochondrial 37S ribosomal protein S27 (Mitochondrial small ribosomal subunit protein mS33)	RSM27 YGR215W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	12,393		RSM27		YGR215W	PF08293;		Mitochondrion-specific ribosomal protein mS33 family	Electron microscopy (3)
P21771	RT28_YEAST	37S ribosomal protein S28, mitochondrial (Mitochondrial small ribosomal subunit protein uS15m)	MRPS28 YDR337W D9651.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	286	33,057		MRPS28	D9651.3	YDR337W	PF00312;	SSF47060;	Universal ribosomal protein uS15 family	Electron microscopy (3)
Q04947	RTN1_YEAST	Reticulon-like protein 1	RTN1 YDR233C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	295	32,916		RTN1		YDR233C	PF02453;			
P19955	RT31_YEAST	37S ribosomal protein YMR-31, mitochondrial	YMR31 YFR049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	123	13,689		YMR31		YFR049W	PF10937;			
Q12443	RTN2_YEAST	Reticulon-like protein 2	RTN2 YDL204W D1062	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393	44,359		RTN2	D1062	YDL204W	PF02453;			
P39678	MBP1_YEAST	Transcription factor MBP1 (MBF subunit p120)	MBP1 YDL056W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	833	93,908		MBP1		YDL056W	PF13637;PF04383;	SSF48403;SSF54616;		NMR spectroscopy (1); X-ray crystallography (2)
Q08972	NEW1_YEAST	[NU+] prion formation protein 1	NEW1 YPL226W P1445	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1196	134,331		NEW1	P1445	YPL226W	PF00005;PF00385;	SSF48371;SSF52540;	ABC transporter superfamily, ABCF family, EF3 subfamily	Electron microscopy (1)
P40155	PEX17_YEAST	Peroxisomal membrane protein PEX17 (Peroxin-17)	PEX17 PAS9 YNL214W N1319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	199	23,169	PAS9	PEX17	N1319	YNL214W				
P52867	PMT5_YEAST	Dolichyl-phosphate-mannose--protein mannosyltransferase 5 (EC 2.4.1.109)	PMT5 YDL093W D2399	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	743	84,776		PMT5	D2399	YDL093W	PF02815;PF02366;PF16192;	SSF82109;	Glycosyltransferase 39 family	
P19657	PMA2_YEAST	Plasma membrane ATPase 2 (EC 7.1.2.1) (Proton pump 2)	PMA2 YPL036W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	947	102,172		PMA2		YPL036W	PF00690;	SSF56784;SSF81653;SSF81665;	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIIA subfamily	
Q04004	PLP1_YEAST	Phosducin-like protein 1	PLP1 YDR183W YD9395.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	230	26,623		PLP1	YD9395.17	YDR183W	PF02114;	SSF52833;	Phosducin family	
Q03760	PML39_YEAST	Pre-mRNA leakage protein 39 (39 kDa pre-mRNA leakage protein)	PML39 YML107C YM8339.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	334	39,207		PML39	YM8339.12	YML107C	PF07967;			
P07283	PMM_YEAST	Phosphomannomutase (PMM) (EC 5.4.2.8) (Asparagine-linked glycosylation protein 4)	SEC53 ALG4 YFL045C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254	29,063	ALG4	SEC53		YFL045C	PF03332;	SSF56784;	Eukaryotic PMM family	
P53043	PPT1_YEAST	Serine/threonine-protein phosphatase T (PPT) (EC 3.1.3.16)	PPT1 YGR123C G6347	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	513	57,995		PPT1	G6347	YGR123C	PF00149;PF08321;	SSF48452;SSF56300;	PPP phosphatase family, PP-5 (PP-T) subfamily	X-ray crystallography (1)
P21242	PSA7_YEAST	Probable proteasome subunit alpha type-7 (Macropain subunit C1) (Multicatalytic endopeptidase complex subunit C1) (Proteasome component C1) (Proteinase YSCE subunit 1)	PRE10 PRC1 PRS1 YOR362C O6650	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	288	31,536	PRC1 PRS1	PRE10	O6650	YOR362C	PF00227;PF10584;	SSF56235;	Peptidase T1A family	Electron microscopy (30); X-ray crystallography (285)
P24384	PRP22_YEAST	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22 (EC 3.6.4.13)	PRP22 YER013W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1145	130,011		PRP22		YER013W	PF04408;PF00271;PF07717;PF00575;	SSF50249;SSF52540;	DEAD box helicase family, DEAH subfamily, DDX8/PRP22 sub-subfamily	Electron microscopy (4)
P49960	PRP24_YEAST	U4/U6 snRNA-associated-splicing factor PRP24 (U4/U6 snRNP protein)	PRP24 YMR268C YM8156.10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	444	50,849		PRP24	YM8156.10C	YMR268C	PF05391;PF00076;PF16842;	SSF54928;		NMR spectroscopy (3); X-ray crystallography (5)
P39955	SAP1_YEAST	Protein SAP1 (SIN1-associated protein)	SAP1 YER047C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	897	100,332		SAP1		YER047C	PF00004;PF17862;PF09336;	SSF52540;	AAA ATPase family	
P40479	SDP1_YEAST	Dual-specificity protein phosphatase SDP1 (EC 3.1.3.48) (Stress-inducible MAPK phosphatase)	SDP1 YIL113W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	209	23,886		SDP1		YIL113W	PF00782;	SSF52799;	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	X-ray crystallography (2)
P25365	SED4_YEAST	Putative guanine nucleotide-exchange factor SED4	SED4 YCR067C YCR67C YCR901	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1065	114,079		SED4	YCR67C YCR901	YCR067C	PF00400;	SSF50978;	WD repeat SEC12 family	
P40505	SDS3_YEAST	Transcriptional regulatory protein SDS3 (Suppressor of defective silencing protein 3)	SDS3 YIL084C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327	37,625		SDS3		YIL084C	PF08598;		SDS3 family	
P53078	SDT1_YEAST	Suppressor of disruption of TFIIS	SDT1 SSM1 YGL224C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	280	31,969	SSM1	SDT1		YGL224C	PF13419;	SSF56784;	SSM1 family	X-ray crystallography (3)
P40075	SCS2_YEAST	Vesicle-associated membrane protein-associated protein SCS2 (VAMP-associated protein SCS2) (Choline sensitivity suppressor protein 2) (VAP homolog 1)	SCS2 YER120W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244	26,926		SCS2		YER120W	PF00635;	SSF49354;	VAMP-associated protein (VAP) (TC 9.B.17) family	X-ray crystallography (1)
P32564	SCM4_YEAST	Protein SCM4 (Suppressor of CDC4 mutation 4)	SCM4 YGR049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	187	20,118		SCM4		YGR049W			ATG33 family	
P40482	SEC24_YEAST	Protein transport protein SEC24 (Abnormal nuclear morphology 1)	SEC24 ANU1 YIL109C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	926	103,636	ANU1	SEC24		YIL109C	PF00626;PF08033;PF04815;PF04811;PF04810;	SSF53300;SSF81811;SSF82754;SSF82919;	SEC23/SEC24 family, SEC24 subfamily	Electron microscopy (3); X-ray crystallography (4)
P20840	SAG1_YEAST	Alpha-agglutinin (AG-alpha-1)	SAG1 AGAL1 YJR004C J1418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	650	70,340	AGAL1	SAG1	J1418	YJR004C	PF11766;	SSF49401;		
P52870	SC6B1_YEAST	Protein transport protein SBH1 (Sec61 complex subunit SBH1) (Sec61 complex subunit beta)	SBH1 SEB1 YER087C-B YER087BC	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	82	8,711	SEB1	SBH1	YER087BC	YER087C-B	PF03911;		SEC61-beta family	Electron microscopy (14)
P43321	SMD3_YEAST	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SMD3 YLR147C L9634.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101	11,224		SMD3	L9634.6	YLR147C	PF01423;	SSF50182;	SnRNP core protein family	Electron microscopy (32)
P00445	SODC_YEAST	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1 YJR104C J1968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	154	15,855		SOD1	J1968	YJR104C	PF00080;	SSF49329;	Cu-Zn superoxide dismutase family	X-ray crystallography (12)
P42948	SET4_YEAST	SET domain-containing protein 4	SET4 YJL105W J0819	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560	63,856		SET4	J0819	YJL105W	PF00628;PF00856;	SSF57903;	SET3 family	
P48232	SNAPN_YEAST	Biogenesis of lysosome-related organelles complex 1 subunit SNN1 (BLOC-1 subunit SNN1) (SNAPIN-like protein 1)	SNN1 YNL086W N2254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	11,461		SNN1	N2254	YNL086W			SNAPIN family	
P38343	SLM6_YEAST	Protein SLM6 (Synthetic lethal with MSS4 protein 6)	SLM6 YBR266C YBR1735	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	150	16,042		SLM6	YBR1735	YBR266C				
P33328	SNC2_YEAST	Synaptobrevin homolog 2	SNC2 YOR327C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115	12,957		SNC2		YOR327C	PF00957;		Synaptobrevin family	
P53135	SLD3_YEAST	DNA replication regulator SLD3	SLD3 YGL113W G2980	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	668	77,298		SLD3	G2980	YGL113W	PF08639;PF18523;			X-ray crystallography (1)
P38324	SLX1_YEAST	Structure-specific endonuclease subunit SLX1 (EC 3.1.-.-) (Synthetic lethal of unknown function protein 1)	SLX1 YBR228W YBR1525	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	304	35,857		SLX1	YBR1525	YBR228W	PF01541;	SSF82771;	SLX1 family	
P34252	SLD2_YEAST	DNA replication regulator SLD2 (DNA replication and checkpoint protein 1)	SLD2 DRC1 YKL108W YKL463	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	453	52,272	DRC1	SLD2	YKL463	YKL108W	PF11719;		SLD2 family	
P18888	SNF6_YEAST	Transcription regulatory protein SNF6 (SWI/SNF complex component SNF6)	SNF6 YHL025W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	37,607		SNF6		YHL025W				Electron microscopy (3)
P32828	SLX5_YEAST	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 (EC 2.3.2.27) (Hexose metabolism-related protein HEX3) (RING-type E3 ubiquitin transferase SLX5) (Synthetic lethal of unknown function protein 5)	SLX5 HEX3 YDL013W D2875	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	619	71,071	HEX3	SLX5	D2875	YDL013W				
P47008	SFH5_YEAST	Phosphatidylinositol transfer protein SFH5 (PITP SFH5) (SEC14 homolog 5)	SFH5 YJL145W J0644	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294	34,388		SFH5	J0644	YJL145W	PF00650;	SSF52087;	SFH5 family	
P40072	SLX8_YEAST	E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX8 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SLX8) (Synthetic lethal of unknown function protein 8)	SLX8 YER116C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274	30,764		SLX8		YER116C	PF00097;			
P46950	SNG1_YEAST	Nitrosoguanidine resistance protein SNG1	SNG1 YGR197C G7591	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	547	61,293		SNG1	G7591	YGR197C	PF12051;			
P38128	SMP1_YEAST	Transcription factor SMP1	SMP1 YBR182C YBR1245	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	452	49,414		SMP1	YBR1245	YBR182C	PF00319;	SSF55455;	MEF2 family	
Q12369	SFI1_YEAST	Protein SFI1 (Suppressor of fermentation induced loss of stress resistance protein 1)	SFI1 YLL003W L1373	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	946	112,979		SFI1	L1373	YLL003W	PF08457;PF10638;		SFI1 family	X-ray crystallography (2)
P20134	SFL1_YEAST	Flocculation suppression protein (Protein SFL1)	SFL1 YOR140W YOR3339W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	766	83,345		SFL1	YOR3339W	YOR140W	PF00447;	SSF46785;	HSF family	
P42900	SLS1_YEAST	Sigma-like sequence protein 1, mitochondrial (Protein SLS1)	SLS1 YLR139C L3162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	643	73,257		SLS1	L3162	YLR139C	PF14611;		SLS1 family	
Q04174	SMP3_YEAST	GPI mannosyltransferase 4 (EC 2.4.1.-) (GPI mannosyltransferase IV) (GPI-MT-IV)	SMP3 LAS2 SAP2 YOR149C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	516	59,883	LAS2 SAP2	SMP3		YOR149C	PF03901;		Glycosyltransferase 22 family, PIGZ subfamily	
