,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P46837,3.888358418661394e-07,3.4459292580778394e-07,2.7203439645355755e-07,2.423548320371313e-07,4.144990074293046e-08,2.5534335802356793e-08,2.5625640145925124e-08,1.362034156048678e-08
P0AB77,1.9162723307278639e-07,1.5872159006903986e-07,1.612947306406049e-07,1.685946657649609e-07,2.1596389167303025e-08,8.317011319617691e-09,1.7806938262722782e-08,2.0585408689901728e-08
P0ABT2,7.949739484660351e-06,1.0506951574175522e-05,1.3161168543465478e-05,1.3558699135816465e-05,2.5614060619575653e-06,4.938267239862496e-07,3.448226158387955e-07,4.976042582844642e-07
P02359,6.290210437078551e-05,5.169520419709138e-05,4.092793605404364e-05,3.9227236998531764e-05,4.4471787790145365e-06,4.197650580803819e-06,2.1691806108643134e-06,1.40825780824729e-06
P0A9T0,1.8025983118856575e-05,1.2724876951192897e-05,9.954533002968676e-06,8.822242744482094e-06,1.3213045626121871e-06,2.646774405848122e-07,1.1756303476506008e-06,2.752539736278414e-07
P0A9Q9,1.4822273455251352e-05,1.0300195818690852e-05,8.613620093016186e-06,6.785935297039676e-06,9.960567761928908e-07,8.415259983870426e-07,3.307630115718215e-07,1.9882790420326256e-07
P0A991,6.692069488959345e-06,7.731412189941917e-06,1.0156753262279284e-05,1.2043981435584394e-05,4.945439352340956e-07,1.8323446890162344e-07,2.0008803926690193e-07,2.0113448997425937e-07
P52697,6.070676325402931e-06,6.365571138558337e-06,8.401770297547929e-06,8.627305162191358e-06,1.0144100139748299e-06,6.206431860094377e-07,9.023501299566473e-07,7.281445556889506e-07
P0A7V8,2.919245547713681e-05,2.178244979500113e-05,1.9042407751749027e-05,1.8026457778587928e-05,2.4726009789134876e-06,1.2742733130075662e-06,1.3329685426224322e-06,1.0797848209374169e-06
P0AB24,1.324646504347805e-06,9.94098379906092e-07,7.07770907587132e-07,6.295957049660259e-07,6.38479615095642e-08,7.515383752090054e-08,5.8249545694420976e-08,3.292785536972316e-08
P19926,2.292084962579348e-06,3.3164458556530964e-06,4.504215537739878e-06,5.613675511642682e-06,2.2324907535522852e-07,5.2068199933753624e-08,1.0134484959914723e-07,1.959172753563296e-07
P0A715,6.184164298387786e-06,5.557344094390988e-06,4.927915128676392e-06,4.399267059804448e-06,1.5769618960888856e-07,6.440961805399154e-07,1.1482042249815993e-07,2.3228130075767488e-07
P0AEP3,2.8223156560331746e-06,2.549987650977601e-06,3.1007106427626736e-06,2.7212232771125715e-06,1.7780588633008996e-07,5.1764749314845306e-08,8.837025331873619e-08,3.2382556997639604e-08
P0AEZ3,5.399050780361418e-06,5.574051630187729e-06,6.158088372815931e-06,6.238002633303552e-06,1.2849740857260178e-07,1.4548274754789973e-07,3.547058902741977e-07,8.296543502293726e-08
P08506,1.9330164578895636e-06,2.140653023957446e-06,2.86960177497912e-06,3.4061391067827254e-06,9.336469491606592e-08,4.7308431829459546e-08,1.4721057105642887e-07,7.731935772396786e-08
P0ABJ1,6.334861442843083e-06,4.650960277417787e-06,4.135885779709839e-06,4.857633807352936e-06,7.677852068725818e-07,1.562722653212376e-07,7.452866175037131e-07,3.0311634957882316e-07
P33221,2.6344093401074323e-06,1.9234550585998125e-06,1.8007232614801863e-06,1.414614617434125e-06,2.1970973896495984e-07,2.067714187994798e-07,1.0174086427363052e-07,1.005790992995663e-07
P21165,2.47999127850509e-06,2.57296051269812e-06,2.7757137974420516e-06,2.391936820540383e-06,1.1655959008973922e-07,6.432401281745301e-08,1.85417681669129e-07,1.1816167893469491e-07
P33136,1.8065052748900547e-06,1.535004851325583e-06,1.6273916106425212e-06,1.5674035332836212e-06,1.6746303898230803e-07,3.991012613446516e-08,5.8260619661002247e-08,3.9498569038747244e-08
P07004,1.7320869319491663e-06,1.787706330251291e-06,1.937944151726671e-06,1.9941587810011784e-06,9.976820728027199e-08,2.1631246596040623e-08,1.4127612866087428e-07,4.845805837832863e-08
P06129,7.925553523204564e-07,6.975396195139384e-07,6.307346183259477e-07,6.032527884402506e-07,2.9403803571088933e-08,3.0273219486904935e-08,2.718466204984834e-08,1.0496598518860362e-08
P77735,7.925553523204564e-07,9.857446120077213e-07,1.2590618526124828e-06,1.7623411155743567e-06,1.0152634063225047e-07,4.8695783833181446e-08,7.315149363678525e-08,7.542819974658248e-08
P22256,3.0455706848558384e-06,3.6276237098673983e-06,4.422364480399869e-06,4.077883478189991e-06,2.0709880657019704e-07,9.64947906824728e-08,1.848548352807145e-07,2.3243935825682953e-07
P0A7I4,8.018576451880673e-07,6.014712886826777e-07,5.729574013800592e-07,5.821784552196306e-07,3.672508014961348e-08,3.193812542905017e-08,5.190994056503337e-08,1.2109311868568316e-08
P23830,1.0846473483634415e-06,1.3470450736122465e-06,1.3433202939919037e-06,1.767609698879512e-06,4.81583422673368e-08,1.2244639719135318e-07,1.7167633357216528e-07,1.7216518467086445e-07
P0AE78,7.720903080117121e-07,7.601928787517175e-07,7.462890522177242e-07,5.979842051350957e-07,2.1232483470322085e-08,3.0027618710692837e-08,5.940460855653086e-08,4.9034704821077826e-08
P0A7B5,1.166507525598418e-06,1.1799697156448359e-06,1.1242483464054103e-06,1.0905967441670908e-06,9.868653666562619e-08,1.5811594189640803e-08,1.2805188665557623e-07,4.8858734138685666e-08
P76578,1.2279026585246503e-07,1.399256122977062e-07,1.5647996256178092e-07,2.0547474890104614e-07,7.097277366272482e-09,2.2807874804526108e-09,1.9794715264065282e-08,1.2040820285601303e-08
P18956,3.8511492471909503e-07,4.3648437268985966e-07,4.4536604729122245e-07,4.135837894546697e-07,3.3235418003257894e-08,1.8899773337470927e-08,5.1751534695240053e-08,2.0141530546442413e-08
P77243,1.6930173019052004e-07,3.9534206579038485e-06,5.267356278233485e-06,4.0251976451384414e-06,1.4661529834499031e-08,9.330072752653082e-08,5.535991448423394e-07,2.5117233305663875e-07
P0A8F0,3.0236172736882757e-05,2.0813412718790152e-05,1.6890206420514687e-05,1.542641191749392e-05,7.679987875168221e-07,1.0406706359395075e-06,8.276201146052198e-08,6.108859119327592e-07
P60438,2.2636199464044587e-05,1.811305724564188e-05,1.7306683859332962e-05,1.479154762922274e-05,7.447309623670667e-07,8.567476077188609e-07,1.213198538539241e-06,5.960993694576764e-07
P0A717,1.2788792234391589e-05,1.0128943576774256e-05,8.543805955873237e-06,8.324361622144944e-06,8.184827030010619e-08,1.0442940827654258e-06,4.1010268588191535e-07,3.745962729965224e-07
P09372,9.250200027552369e-06,8.009174972562735e-06,8.136958053212606e-06,7.191616211536613e-06,1.3135284039124362e-07,2.819229590342084e-07,6.590936023102211e-07,2.7759638576531323e-07
P0AEU0,1.3739486565461431e-05,1.557351180453724e-05,1.4978743493221546e-05,1.493116508680935e-05,6.842264309599793e-07,4.3294362816613523e-07,1.112920641546361e-06,5.748498558421599e-07
P15288,5.0288195242305015e-06,5.0811793241838685e-06,4.939952048873451e-06,4.3386783517951645e-06,2.393718093533719e-07,3.048707594510322e-08,1.5560848953951372e-07,2.3645797017283655e-07
P0A9D8,1.0796241102149314e-05,9.109783893173052e-06,8.818247736366205e-06,6.809643921912874e-06,1.856953469569682e-07,4.108512535821047e-07,3.377388883028257e-07,3.2958676582058307e-07
P0A6A3,3.732079898485529e-06,4.2165643467025194e-06,4.882174831927564e-06,5.2475089719344076e-06,1.6682397146230313e-07,1.4041159274519391e-07,4.935878755078767e-07,3.746721405961167e-07
P12758,7.404625122618347e-06,9.786439092941065e-06,1.3216538376371955e-05,1.632733966267543e-05,7.700810127523083e-07,6.087165115809342e-07,6.951899185971649e-07,3.6409967447766207e-07
P0ABD3,9.406478547728233e-06,1.6041322806845993e-05,2.2256265444364072e-05,3.292601136556635e-05,2.0459090841308904e-06,1.5592165768254307e-06,1.482267278594647e-06,1.1622882012044921e-06
P23908,2.4316193555935123e-06,1.6185425303092883e-06,2.0462764335002117e-06,2.5236514031692584e-06,1.1185449035730157e-07,1.0876605803678415e-07,6.38438247252066e-08,1.5545692643522632e-07
P23836,5.0306799828040236e-06,5.845549086884772e-06,5.849943215771193e-06,4.9524683068457264e-06,3.5566907478424444e-07,2.022559984062131e-07,3.3344676329895797e-07,5.170376912346938e-07
P0AC38,1.5237155717146802e-06,1.689549557445438e-06,1.4227639672925002e-06,1.5858435748516633e-06,1.705037724748727e-07,2.7877567697849724e-08,1.004471360908505e-07,1.9188707255705125e-08
P0ABA6,4.558123505129386e-06,3.8072297196823647e-06,3.4016336476891756e-06,2.8318635265208274e-06,3.373011393795745e-07,1.0774460106701093e-07,2.2518814747702338e-07,6.343374299406655e-08
P76177,4.044636938837258e-06,4.241625650397632e-06,4.338106039020449e-06,3.6405910638621243e-06,2.6532818318772413e-07,2.6085997749945434e-07,4.125538843108447e-07,8.955854017100825e-08
P60757,3.6725452241328183e-06,3.4438408161032468e-06,3.637557283551553e-06,2.876646484614645e-06,6.041336893698486e-07,3.4748353834481764e-07,6.693105401734857e-08,1.4498298282457811e-07
P00893,8.409272752320335e-07,8.625265355067561e-07,8.642508701489128e-07,7.481388293320141e-07,4.591462922766903e-08,5.425291908337496e-08,1.4346564444471954e-07,4.092319396446116e-08
P0ACC7,9.339502039081435e-07,6.996280614885311e-07,6.788822991141878e-07,5.505669553887004e-07,1.2440216716056473e-07,4.1627869658567596e-08,4.344846714330803e-08,2.0260863958304176e-08
P15034,1.512552820273547e-06,1.5475355031731386e-06,1.7140574360613538e-06,1.5779406998939307e-06,5.339311455565621e-08,7.521022545421457e-08,2.044870521221195e-07,5.791042368610726e-08
P05042,2.526502742843145e-06,3.4438408161032468e-06,4.075701178724539e-06,5.848127468722081e-06,9.322795121091205e-08,1.608273661120216e-07,2.2008786365112517e-07,1.0234223070263641e-07
P77239,2.442782107034646e-06,2.3474087794421164e-06,1.8247971018743064e-06,1.7017524075650739e-06,5.051673397347647e-07,1.6267542841533865e-07,5.328407537472975e-08,6.381571528369027e-08
P07650,1.9348769164630862e-07,2.422592690527451e-07,2.840713166506176e-07,3.556293730979644e-07,2.8075064057879375e-08,1.804831554442951e-08,1.843622845062508e-08,1.99863707681056e-08
Q46829,5.116261077186044e-07,4.782532121817122e-07,5.15180184434171e-07,4.794410807691076e-07,3.729754325268627e-08,3.156471200399302e-08,6.20792122243176e-08,2.7951415008838967e-08
P62620,6.10230412115281e-07,6.26532592377789e-07,6.259198502471237e-07,5.927156218299406e-07,1.6842359374381755e-08,4.291748257787855e-08,6.353086480008303e-08,6.247222654087575e-08
P18133,8.930201152906551e-07,7.72723530599273e-07,7.366595160600761e-07,6.849158296701537e-07,6.599418651997939e-08,2.8977132397472743e-08,5.407080847880957e-08,6.95874482944876e-08
P32176,2.6046420029310773e-08,3.132662961888945e-08,2.648122443353215e-08,2.8977208178352656e-08,2.607246644934008e-09,3.289296109983392e-09,2.6798999126734536e-09,3.7960142713641975e-10
P28635,3.169291179995065e-05,3.3083009319521854e-05,3.362393287846759e-05,3.790745688059042e-05,1.3057479661579665e-06,2.5176170092156127e-06,3.032878745637777e-06,2.2858196498996026e-06
P45578,9.425083133463455e-06,8.545904560033043e-06,9.376760833509792e-06,8.113618289938741e-06,5.249771305339144e-07,2.512495940649714e-07,2.569232468381683e-07,2.864107256348376e-07
P02358,2.448921620327269e-05,1.8355316514694624e-05,1.7015390390564113e-05,1.5184057085456793e-05,1.0922190426659622e-06,9.342856105979566e-07,9.54563400910647e-07,3.689725871766001e-07
P0A7W1,2.614874525085449e-05,1.8701997882477e-05,1.7424645677264152e-05,1.711499286679611e-05,1.8199526694594723e-06,7.069355199576307e-07,4.6001064587977375e-07,5.442567731641162e-07
P0AEQ3,2.001853425109885e-05,2.5466461438182528e-05,2.477438914958904e-05,2.514167953219979e-05,9.708989111782941e-07,1.7851989468165953e-06,1.2362420185644927e-06,3.4318392561452712e-06
P33570,1.6502267547141893e-06,1.952693246244109e-06,2.83349101438794e-06,3.882945895899256e-06,3.1585340085229584e-07,1.9917471111689914e-08,3.0601702955389756e-07,6.98930261261866e-08
P0AAB6,6.087420452564631e-06,4.868158242775421e-06,4.754583477838727e-06,4.15427793611474e-06,8.40064022453919e-08,3.2227207567173286e-07,1.1315908677256169e-07,2.430252592627122e-07
P04036,2.729292727357064e-06,2.2722248683567817e-06,2.3520142065055374e-06,2.244416487996042e-06,1.5011110000463852e-07,6.271340636664716e-08,1.3947444244577834e-07,5.005048768231175e-08
P09424,1.4232508087444815e-06,1.495324453808323e-06,1.6394285308395815e-06,2.3181766542682125e-06,6.80313886579862e-08,9.136432412768856e-08,1.7656645277142291e-07,1.1799519170225201e-07
P0AB67,6.922766352076098e-06,5.292111963617723e-06,5.313096574982314e-06,4.512541600865281e-06,8.909600295121937e-07,4.4612503853297413e-07,4.808352400358994e-07,1.5929271851054443e-07
P0AGJ9,2.995338303370739e-06,2.4873343917398225e-06,2.6697888997079225e-06,2.4077425704558476e-06,1.1951399830449248e-07,8.282823524493609e-08,7.368617363193868e-08,1.5096545916758166e-07
P23893,3.953474468734671e-06,3.635977477765768e-06,3.4810773209897723e-06,3.034703983769296e-06,1.32046047255738e-07,2.2252182163926508e-07,6.335560724201385e-08,1.8693776540018865e-07
P07001,4.961843015583702e-06,4.0912578282269625e-06,3.560520994290368e-06,2.937235192623928e-06,5.577111549516082e-07,3.1134472072807183e-07,4.3473961340285396e-07,1.627228296713656e-07
Q46857,8.688341538348664e-07,6.787436417426047e-07,8.642508701489128e-07,1.0853281608619355e-06,5.2651349722392904e-08,4.9073165297990335e-08,6.585591630534716e-08,1.1938609769481292e-08
P15640,2.161852862432794e-06,1.491147569859138e-06,1.2662840047307193e-06,1.0062994112846104e-06,6.096425072060479e-08,9.125823127537925e-08,7.141841786681257e-08,5.6352767031938175e-08
P0AE18,2.057667182315551e-06,1.8942168709555154e-06,1.762205116849594e-06,1.6596037411238338e-06,6.728571686171851e-08,6.156204830605425e-08,2.2732446007359765e-08,7.800137583282018e-08
P15877,1.4139485158768704e-07,1.3157184439933567e-07,2.0462764335002112e-07,2.8186920682579397e-07,1.8975189083067598e-08,7.85483911064034e-09,3.010072633678811e-08,1.7194021616373433e-08
P0A7G6,4.333008017733199e-06,4.504769339196304e-06,4.282736206113972e-06,3.993586145307511e-06,9.012656676885053e-08,1.5316215753267432e-07,3.2634449890588464e-07,6.030315079414342e-08
P37666,2.3125500068880922e-06,1.647780717953585e-06,1.5310962490660405e-06,1.0326423278103854e-06,1.0105843530100963e-07,1.5555049977481844e-07,1.4193262228842195e-07,3.9137144224013614e-08
P0A8W8,2.3627823883731914e-06,2.0675575548467038e-06,2.2460893087714087e-06,2.194364946597069e-06,1.0396242508842043e-07,1.902152950458967e-08,1.1791968871049897e-07,7.219460674304357e-08
P76658,1.0716241383487863e-06,1.0922551527119452e-06,1.1314704985236464e-06,1.0984996191248234e-06,6.054676381670642e-08,6.072938649078416e-08,7.20746707559563e-08,1.2742595581847949e-08
P0A7E1,1.8046448163165322e-06,1.0358672193979444e-06,7.390669000994882e-07,6.216928300082932e-07,5.576352482418082e-08,7.769004145484583e-08,7.930187838067508e-08,1.6350521429218112e-08
P39342,3.3116162608695124e-07,3.9471553319800705e-07,4.6221773556710657e-07,6.82281538017576e-07,1.9671000589564906e-08,3.797163429364828e-08,1.765671749866347e-08,2.5312645060452075e-08
P13482,2.0092952594039735e-07,3.195316221126724e-07,4.718472717247546e-07,7.270644961113938e-07,2.147936632302848e-08,1.9715101084351883e-08,2.5762861036171608e-08,7.430599150258446e-08
P04693,2.7888274017097743e-06,2.894580576785385e-06,2.42664311172731e-06,1.6148207830300162e-06,1.0653320674531338e-07,2.40250187873187e-07,3.154636045245502e-08,6.879136535707867e-08
P09323,2.319991841182181e-06,3.389541324763839e-06,3.245153685127394e-06,3.7723056464910002e-06,1.5984743785745229e-07,2.1998123197717313e-07,3.7806040431734144e-07,1.286356225453431e-07
P0A6W9,6.027885778211922e-07,6.933627355647532e-07,7.270299799024279e-07,6.691100797546886e-07,4.038683471401988e-08,6.073857563547238e-08,5.2346158552974834e-08,2.047476844049347e-08
P15042,5.953467435271034e-07,5.346411454957132e-07,5.12772800394759e-07,5.584698303464329e-07,1.1490192150073093e-08,1.7161980770412397e-08,2.3382439698001e-08,1.725671775770478e-08
P37759,1.0827868897899194e-06,7.894310663960141e-07,6.475863066018318e-07,5.611041219990105e-07,1.196479513217861e-07,5.470757290124377e-08,4.086269594657557e-08,3.293681196134191e-08
P0AEI1,9.060433253053103e-07,7.330431330820131e-07,6.331420023653596e-07,6.559386214918009e-07,2.0204766154308425e-08,5.3145627148445954e-08,5.426026960271131e-08,2.630313872182122e-08
P21507,9.87903502540287e-07,9.920099379314992e-07,1.061656361380698e-06,1.1169396606928659e-06,4.2973802360502484e-08,6.110781217658036e-08,1.1646370284346259e-07,2.9933982906568805e-08
P0A749,9.748802925256319e-07,9.063838169732013e-07,8.425844137942049e-07,8.192647039516067e-07,7.662559099251464e-08,1.3659204121786145e-07,2.0474801255199178e-08,6.734355866482209e-08
P0A887,1.492087775964803e-06,1.597658110563362e-06,1.4925781044354483e-06,1.4172489090867027e-06,6.35629392561006e-08,1.239782693797169e-07,1.364216387454e-07,1.0501814416332467e-07
P77488,6.083699535417587e-07,6.307094763269743e-07,6.307346183259477e-07,6.743786630598436e-07,7.1605143531865e-08,3.6328865836433714e-08,6.559640030589855e-08,6.244746419934151e-08
P07604,4.1302180332192795e-07,3.4250448383319133e-07,3.6351498995121397e-07,3.7406941466600703e-07,5.765784374374114e-08,1.5618204462793524e-08,5.387292151076992e-08,2.4464139719156854e-08
P00963,1.95534196077183e-06,1.2092079032891328e-06,8.353622616759686e-07,4.899782473794177e-07,3.265421074488957e-08,9.480189961786802e-08,9.6150196318904e-08,1.597329086456901e-08
P04968,2.660455760136743e-07,2.0466731351007775e-07,1.9018333911354904e-07,1.554232075020733e-07,2.2853314979574625e-08,3.295143747512252e-08,1.3027558729278112e-08,8.284056959860508e-09
P0AA39,1.804644816316532e-07,1.5872159006903986e-07,1.7333165083766498e-07,2.1864620716393364e-07,4.258961766507016e-09,1.150731528000539e-08,4.887952553622151e-09,1.5152182156460605e-08
P62707,1.6692034321641163e-05,1.8209125576473144e-05,1.992591769421324e-05,2.1058527470704644e-05,1.079974620610183e-06,8.103060881530549e-07,2.2516286994460957e-07,2.1269112745411696e-07
P0AF96,3.086500773473326e-05,3.2162006408726504e-05,3.5504099813248376e-05,2.729389581235562e-05,1.0833617714891378e-06,1.0356166063609933e-06,1.4414664524178839e-06,9.743920805010956e-07
P0A7D7,1.284088507445021e-05,1.0032875245942996e-05,8.69065638227737e-06,7.449776793489209e-06,4.5328324312809246e-07,1.3143066572185327e-07,5.544638771892961e-07,5.3638392913122315e-08
P0AE08,9.677547361890417e-05,0.00010681545323251467,0.00011278112747837401,9.543775228123076e-05,1.2580811570457542e-06,1.2924669841134272e-06,9.37211169345288e-06,3.168533375736861e-06
P0A6F1,9.03252637445027e-06,5.601201375857434e-06,4.4729195452275216e-06,3.948803187213694e-06,3.441392548665553e-07,7.785669912441831e-08,1.896517887176469e-07,1.6427021258808963e-07
P0A6L0,1.6483662961406673e-06,1.6686651376995114e-06,1.947573687884319e-06,2.355056737404298e-06,2.3406801405197476e-08,8.309952385743566e-08,4.5962739034069934e-08,1.2411149006120646e-07
P0ACA3,6.329280067122518e-06,5.586582282035286e-06,5.818647223258837e-06,5.661092761389077e-06,1.354465934364219e-07,9.329592410998927e-08,1.2801023891169442e-07,1.822871869167283e-07
P0AE52,9.151595723155692e-06,8.230549821869554e-06,8.120106364936722e-06,6.4935289236035725e-06,4.1182180754200604e-07,3.71197796966317e-07,3.3211235032591194e-07,3.1168938833297147e-07
P0A855,2.4818517370786128e-06,2.3975313868323395e-06,2.209978548180229e-06,2.062650363968193e-06,1.7670784367999719e-07,1.5871657780830084e-07,9.370309044284169e-08,1.0602022870796513e-07
P0A9P4,4.984168518465969e-06,4.1267613417950364e-06,4.008294425621003e-06,3.392967648519838e-06,2.7363085166378167e-07,3.8626486159201533e-07,3.2467184847530125e-07,1.2825417711404987e-07
P25524,5.229749050170899e-06,3.4208679543827278e-06,2.6433076752743914e-06,2.223342154775422e-06,3.8124870575745854e-07,1.156253368581362e-07,3.1191030568237825e-07,1.1250111303163636e-07
P04816,4.34231031060081e-06,4.607102995951342e-06,4.311624814586916e-06,3.1980300662291014e-06,3.3262096979202207e-07,2.695155252631535e-07,1.2115665728989235e-07,6.555961635769658e-08
P31224,7.274393022471794e-07,6.891858516155679e-07,7.31844747981252e-07,7.79750329162944e-07,7.790874927067293e-08,3.1289037663346784e-08,7.867331040798461e-08,1.6686657044087005e-08
P0ACJ8,5.3357951888616635e-06,5.233635588329132e-06,6.386789856560073e-06,7.58675995942324e-06,2.1236464851669426e-07,1.9050433541518034e-07,2.8740554354520317e-07,1.3656167926961835e-07
P0AFG0,5.283702348803042e-06,5.077002440234684e-06,5.428651008874092e-06,4.523078767475592e-06,2.916603696539279e-07,1.6297177833153333e-07,2.822898524614527e-07,2.722893418020306e-07
P07012,2.5451073285783667e-06,2.3453203374675234e-06,2.130534874879632e-06,1.791318323752709e-06,1.305640059560702e-07,1.2664729822324628e-07,9.544796239460752e-08,1.1858527303242934e-07
P00579,1.3711579686858598e-06,1.163262179848095e-06,1.1892477154695347e-06,1.3671973676877297e-06,1.0722455315123425e-07,4.397131039825799e-08,6.195980597596276e-08,7.546929469636267e-08
P0A877,6.744162329017968e-06,6.181788244794184e-06,5.657352492618232e-06,4.802313682648808e-06,6.33951258927689e-08,9.02541083739951e-08,2.3591159894218026e-07,3.111899266356428e-07
P0A9C3,2.171155155300405e-06,2.3181705917978193e-06,2.4097914234514255e-06,2.2049021132073793e-06,1.003073681748787e-07,6.53724106886985e-08,6.217261872504678e-08,9.547226150187952e-08
P0AEB2,1.6688313404494113e-06,1.32616065386632e-06,1.225358476060715e-06,1.230214201753699e-06,1.7188962806628942e-07,8.898537987443004e-08,8.271169713409825e-08,9.460347211485945e-08
P0A6R0,2.7051067659012757e-06,2.8757845990140516e-06,2.9947857450285445e-06,2.889817942877533e-06,3.0486553251707375e-07,1.852005281765049e-07,1.120049868640676e-07,1.4622478790960313e-07
P39099,1.6595290475818006e-06,1.986108317837591e-06,1.9957213686725592e-06,2.1443134051980966e-06,1.3110279475896225e-07,1.122151199578239e-07,1.2153943135215886e-07,1.6940075901064963e-08
P0ABU2,3.261383879384413e-06,2.627260004037529e-06,2.5638640019737947e-06,1.89668998985581e-06,8.936191829513293e-08,1.1060764616997994e-07,1.6229259132494114e-07,7.131554361857846e-08
P29217,1.466041355935492e-06,1.3157184439933567e-06,1.2951726132036635e-06,1.177528368702149e-06,1.7739100406819455e-08,8.249554643838348e-08,1.0361380905629307e-07,1.9252588828280133e-07
P37329,2.474409902784523e-06,1.9006910410767523e-05,2.217682177106347e-05,2.1271905094563428e-05,2.7780199978561846e-06,1.0662876740440582e-06,1.1931130112832145e-06,4.6372753106148255e-07
P0ABH0,1.1218565198338852e-06,1.0818129428389822e-06,1.0809154336959941e-06,1.0589852443361607e-06,3.42166238549335e-08,1.741718837970762e-08,3.5670209311967805e-08,9.022554281744088e-08
P27248,7.534857222764902e-07,4.1768839491852605e-07,4.0925528670004224e-07,3.556293730979644e-07,3.142035461892965e-08,2.6940901472244927e-08,2.8729721126342965e-08,2.1408888260497453e-08
P0A6Z1,6.772069207620802e-07,5.346411454957132e-07,4.1647743881827835e-07,3.6089795640311945e-07,4.875889829486977e-09,2.539545441104638e-08,1.2827505115602974e-08,1.4868995803808521e-08
P30871,6.213931635564141e-07,6.20267266454011e-07,6.114755460106514e-07,5.716412886093205e-07,2.311582568429861e-08,3.411469965497062e-08,5.399329071274053e-08,4.813219650090478e-08
P04335,3.1627795749877363e-07,2.902934344683755e-07,3.346263814782699e-07,3.029435400464141e-07,1.306227964469935e-08,2.8448756577900802e-08,4.7717721998801285e-08,2.1599874405309326e-08
P0AGC3,1.0976705583780968e-07,1.1904119255177989e-07,1.3240612216766077e-07,1.738632490701159e-07,1.203046931982394e-08,1.4677779041634463e-08,1.2128400790557725e-08,1.1266338539743512e-08
P0A9P6,8.74415529555433e-07,6.0355973065727e-07,4.501808153700466e-07,3.1348070665672417e-07,7.275137205901203e-08,7.906632471610238e-09,3.110749434207021e-08,2.6833948489815593e-08
P00888,2.2902245040058255e-06,1.4159636587738033e-06,1.1049892740901144e-06,9.325392450124398e-07,3.3551788983685346e-07,7.235574296334134e-08,8.265319770194055e-08,8.383527812661836e-08
P77718,4.018590518807947e-07,2.735858986716346e-07,2.816639326112056e-07,1.9757187394331355e-07,7.94877204620212e-08,1.87132754691398e-08,4.4362069386264874e-08,2.509162799080082e-09
P0A9C0,5.3953298632143735e-08,3.5503513568074715e-08,4.814768078824027e-08,2.6342916525775144e-08,4.893564185935437e-09,6.930285848488183e-09,1.1603591069965904e-09,1.6675066160815662e-09
P63389,1.4325531016120925e-07,1.0442209872963151e-07,1.0833228177354062e-07,1.0010308279794553e-07,2.3293313432212623e-08,5.283758195719353e-09,1.661817202406113e-08,7.577803367804478e-09
P06993,3.66510338983873e-07,4.093346270201555e-07,3.803666782270981e-07,2.8186920682579397e-07,3.584471115262278e-08,2.4601011083911345e-08,3.818881449400065e-08,2.5565537059099517e-08
P00448,4.377286931783027e-05,4.3126326775337814e-05,4.171274325089196e-05,4.1432139111739136e-05,2.2849437783907402e-06,4.2565684527258415e-06,4.959645172531054e-06,3.078407936002218e-06
P0AG55,2.8894782105373257e-05,2.164461262467802e-05,1.9381848901306122e-05,1.8350475651854962e-05,1.9359504010600082e-07,3.6579395335705847e-07,1.304398431057902e-06,1.2863683431950329e-06
P0A8M6,2.8526411307815864e-05,2.4136123900367028e-05,2.537382777540262e-05,2.602153294416068e-05,1.4776681057448618e-06,7.651151276416347e-07,1.4260091209776272e-06,1.3401089466242753e-06
P0AFK9,5.149749331509444e-06,5.0352336007428305e-06,4.9110634404005075e-06,3.809185729627085e-06,3.3885350601332145e-07,4.577027343075233e-07,3.531054613647965e-07,2.5216809530131295e-07
P30125,1.0148801518563589e-05,1.2917013612855416e-05,1.5152075144059213e-05,1.8192418152700313e-05,2.537200379640898e-07,7.104357487070479e-08,3.181935780252435e-07,1.4190086159106244e-07
P64451,2.855803910356573e-06,4.074550292430221e-06,5.091617243356408e-06,6.317031382880877e-06,6.634032483758322e-07,6.005887131042146e-07,2.876763742496371e-07,5.236819016408247e-07
P30859,4.738587986761038e-06,5.045675810615795e-06,5.1758756847358295e-06,5.023594181465319e-06,2.5540989248641996e-07,2.4471527681486597e-07,1.0092957585234867e-07,2.2103814398447411e-07
P0AAI5,3.516266703956954e-06,3.3916297667384307e-06,3.367930271137407e-06,3.0900241084734235e-06,1.7897797523140897e-07,1.9230540777406905e-07,1.788370973973963e-07,2.3206081054635415e-07
P06999,1.4734831902295806e-06,1.355398841510617e-06,1.3842458226619078e-06,1.2196770351433889e-06,7.647377757291526e-08,7.21072183683648e-08,6.589010115870682e-08,2.3173863667724393e-08
P76372,2.478130819931568e-06,2.1698912116017425e-06,2.0559059696578596e-06,2.110067613714589e-06,9.56558496493585e-08,8.223887691970604e-08,1.0156175490109827e-07,8.229263693486895e-08
P06988,3.1665004921347813e-06,2.9864720236674607e-06,3.57496529852684e-06,2.8608407346991803e-06,9.214516432112212e-08,1.3707906588633644e-07,1.8840067123236442e-07,4.033785435925844e-08
P63224,8.020436910454194e-06,8.60020405137245e-06,9.304539312327433e-06,7.889703499469654e-06,1.363474274777213e-08,5.607333041494836e-07,4.066083679487089e-07,5.73581444411444e-07
