Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )
P0ABT2	DPS_ECOLI	DNA protection during starvation protein (EC 1.16.-.-)	dps pexB vtm b0812 JW0797	Escherichia coli (strain K12)	167	"18,695"	pexB vtm	dps		b0812 JW0797
P08555	DSDX_ECOLI	D-serine transporter DsdX	dsdX orf445 yfdA yfdD b2365 JW2362	Escherichia coli (strain K12)	445	"47,163"	orf445 yfdA yfdD	dsdX		b2365 JW2362
P0A6E6	ATPE_ECOLI	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC papG uncC b3731 JW3709	Escherichia coli (strain K12)	139	"15,068"	papG uncC	atpC		b3731 JW3709
P75989	BLUR_ECOLI	HTH-type transcriptional repressor BluR	bluR ycgE b1162 JW1149	Escherichia coli (strain K12)	243	"28,265"	ycgE	bluR		b1162 JW1149
P13000	BIOD1_ECOLI	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	225	"24,140"		bioD1		b0778 JW0761
Q47083	CBL_ECOLI	HTH-type transcriptional regulator cbl	cbl b1987 JW1966	Escherichia coli (strain K12)	316	"35,856"		cbl		b1987 JW1966
P0A9P6	DEAD_ECOLI	ATP-dependent RNA helicase DeaD (EC 3.6.4.13) (Cold-shock DEAD box protein A) (Translation factor W2)	deaD csdA mssB rhlD b3162 JW5531	Escherichia coli (strain K12)	629	"70,546"	csdA mssB rhlD	deaD		b3162 JW5531
P75925	C56I_ECOLI	Cytochrome b561 homolog 2	yceJ b1057 JW1044	Escherichia coli (strain K12)	188	"20,736"		yceJ		b1057 JW1044
P0AEA2	CSGG_ECOLI	Curli production assembly/transport component CsgG	csgG b1037 JW1020	Escherichia coli (strain K12)	277	"30,557"		csgG		b1037 JW1020
P23845	CYSN_ECOLI	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)	cysN b2751 JW2721	Escherichia coli (strain K12)	475	"52,558"		cysN		b2751 JW2721
P0ABF4	EUTM_ECOLI	Bacterial microcompartment shell protein EutM (Bacterial microcompartment protein homohexamer) (BMC-H) (Ethanolamine utilization protein EutM)	eutM cchA yffZ b2457 JW2441	Escherichia coli (strain K12)	97	"9,866"	cchA yffZ	eutM		b2457 JW2441
P63746	EUTS_ECOLI	Bacterial microcompartment shell protein EutS (Ethanolamine utilization protein EutS)	eutS ypfE b2462 JW2446	Escherichia coli (strain K12)	111	"11,650"	ypfE	eutS		b2462 JW2446
P36547	EUTR_ECOLI	HTH-type DNA-binding transcriptional activator EutR (Ethanolamine operon regulatory protein)	eutR yfeG b2437 JW2430	Escherichia coli (strain K12)	350	"40,160"	yfeG	eutR		b2437 JW2430
P65643	EUTT_ECOLI	Corrinoid adenosyltransferase EutT (ATP:co(I)rrinoid adenosyltransferase) (ACAT) (Cob(II)alamin adenosyltransferase EutT) (Ethanolamine utilization cobalamin adenosyltransferase) (Ethanolamine utilization corrinoid adenosyltransferase) (EutT adenosyltransferase)	eutT ypfB b2459 JW2443	Escherichia coli (strain K12)	267	"30,172"	ypfB	eutT		b2459 JW2443
P09030	EX3_ECOLI	Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI)	xthA xth b1749 JW1738	Escherichia coli (strain K12)	268	"30,969"	xth	xthA		b1749 JW1738
P75717	EXOD_ECOLI	Putative uncharacterized protein ExoD	exoD ybcC b0539 JW0526	Escherichia coli (strain K12)	87	"10,509"	ybcC	exoD		b0539 JW0526
P15031	FECE_ECOLI	Fe(3+) dicitrate transport ATP-binding protein FecE (Iron(III) dicitrate transport ATP-binding protein FecE)	fecE b4287 JW4247	Escherichia coli (strain K12)	255	"28,191"		fecE		b4287 JW4247
P80668	FEAB_ECOLI	Phenylacetaldehyde dehydrogenase (PAD) (EC 1.2.1.39)	feaB maoB padA ydbG b1385 JW1380	Escherichia coli (strain K12)	499	"53,699"	maoB padA ydbG	feaB		b1385 JW1380
P32055	FCL_ECOLI	"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)"	fcl wcaG yefB b2052 JW2037	Escherichia coli (strain K12)	321	"36,141"	wcaG yefB	fcl		b2052 JW2037
P21151	FADA_ECOLI	3-ketoacyl-CoA thiolase FadA (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadA oldA b3845 JW5578	Escherichia coli (strain K12)	387	"40,876"	oldA	fadA		b3845 JW5578
P0AC30	FTSX_ECOLI	Cell division protein FtsX	ftsX ftsS b3462 JW3427	Escherichia coli (strain K12)	352	"38,544"	ftsS	ftsX		b3462 JW3427
P17169	GLMS_ECOLI	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS b3729 JW3707	Escherichia coli (strain K12)	609	"66,894"		glmS		b3729 JW3707
P0A9D2	GSTA_ECOLI	Glutathione S-transferase GstA (EC 2.5.1.18) (GST B1-1)	gstA gst b1635 JW1627	Escherichia coli (strain K12)	201	"22,868"	gst	gstA		b1635 JW1627
P0CE63	INH16_ECOLI	Transposase InsH for insertion sequence element IS5-16	JW5935	Escherichia coli (strain K12)	326	"37,851"				JW5935
P37651	GUN_ECOLI	"Endoglucanase (EC 3.2.1.4) (Carboxymethylcellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)"	bcsZ bcsC yhjM b3531 JW3499	Escherichia coli (strain K12)	368	"41,700"	bcsC yhjM	bcsZ		b3531 JW3499
Q46915	GUDX_ECOLI	Glucarate dehydratase-related protein (GDH-RP) (GlucDRP) (EC 4.2.1.-)	gudX ygcY b2788 JW2759	Escherichia coli (strain K12)	446	"48,850"	ygcY	gudX		b2788 JW2759
P37326	INTS_ECOLI	Prophage integrase IntS (Putative prophage CPS-53 integrase)	intS intC yfdB b2349 JW2345	Escherichia coli (strain K12)	385	"44,061"	intC yfdB	intS		b2349 JW2345
P04079	GUAA_ECOLI	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	guaA b2507 JW2491	Escherichia coli (strain K12)	525	"58,679"		guaA		b2507 JW2491
P25552	GPPA_ECOLI	"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase (EC 3.6.1.40) (Guanosine pentaphosphate phosphohydrolase) (pppGpp-5'-phosphohydrolase)"	gppA gpp b3779 JW5603	Escherichia coli (strain K12)	494	"54,871"	gpp	gppA		b3779 JW5603
P09126	HEM4_ECOLI	Uroporphyrinogen-III synthase (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	hemD b3804 JW3776	Escherichia coli (strain K12)	246	"27,798"		hemD		b3804 JW3776
P21179	CATE_ECOLI	Catalase HPII (EC 1.11.1.6) (Hydroxyperoxidase II)	katE b1732 JW1721	Escherichia coli (strain K12)	753	"84,163"		katE		b1732 JW1721
P63264	CBPM_ECOLI	Chaperone modulatory protein CbpM	cbpM yccD b0999 JW0984	Escherichia coli (strain K12)	101	"11,512"	yccD	cbpM		b0999 JW0984
P0ABN9	DCUB_ECOLI	Anaerobic C4-dicarboxylate transporter DcuB	dcuB genF b4123 JW4084	Escherichia coli (strain K12)	446	"47,935"	genF	dcuB		b4123 JW4084
P0A6F1	CARA_ECOLI	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA b0032 JW0030	Escherichia coli (strain K12)	382	"41,431"	pyrA	carA		b0032 JW0030
P17410	CHBR_ECOLI	HTH-type transcriptional regulator ChbR (Chb operon repressor)	chbR celD b1735 JW1724	Escherichia coli (strain K12)	280	"32,968"	celD	chbR		b1735 JW1724
P17411	CHBF_ECOLI	6-phospho-beta-glucosidase (EC 3.2.1.86) (Cellobiose-6-phosphate hydrolase) (Phospho-chitobiase)	chbF celF ydjD b1734 JW1723	Escherichia coli (strain K12)	450	"50,513"	celF ydjD	chbF		b1734 JW1723
P0AE95	CSGE_ECOLI	Curli production assembly/transport component CsgE	csgE b1039 JW1022	Escherichia coli (strain K12)	129	"14,879"		csgE		b1039 JW1022
P17583	CYNX_ECOLI	Cyanate transport protein CynX	cynX b0341 JW0332	Escherichia coli (strain K12)	384	"41,361"		cynX		b0341 JW0332
P29680	DCUP_ECOLI	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	hemE b3997 JW3961	Escherichia coli (strain K12)	354	"39,248"		hemE		b3997 JW3961
P04949	FLIC_ECOLI	Flagellin	fliC flaF hag b1923 JW1908	Escherichia coli (strain K12)	498	"51,295"	flaF hag	fliC		b1923 JW1908
P0A8J2	DNAT_ECOLI	Primosomal protein 1 (Primosomal protein I)	dnaT b4362 JW4326	Escherichia coli (strain K12)	179	"19,455"		dnaT		b4362 JW4326
P15723	DGTP_ECOLI	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)	dgt b0160 JW0156	Escherichia coli (strain K12)	505	"59,383"		dgt		b0160 JW0156
P0A6C1	END4_ECOLI	Endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV)	nfo b2159 JW2146	Escherichia coli (strain K12)	285	"31,480"		nfo		b2159 JW2146
P75857	ELFC_ECOLI	Probable outer membrane usher protein ElfC	elfC ycbS b0940 JW0923	Escherichia coli (strain K12)	866	"95,242"	ycbS	elfC		b0940 JW0923
P45756	GSPA_ECOLI	Putative general secretion pathway protein A	gspA yheD b3323 JW3285	Escherichia coli (strain K12)	489	"55,298"	yheD	gspA		b3323 JW3285
P03825	GSPB_ECOLI	Putative general secretion pathway protein B	gspB pinO pioO pno b3322 JW3284	Escherichia coli (strain K12)	139	"15,876"	pinO pioO pno	gspB		b3322 JW3284
P45757	GSPC_ECOLI	Putative type II secretion system protein C (T2SS protein C) (Putative general secretion pathway protein C)	gspC yheE b3324 JW3286	Escherichia coli (strain K12)	271	"30,038"	yheE	gspC		b3324 JW3286
P0A6R0	FABH_ECOLI	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III) (EcFabH)	fabH b1091 JW1077	Escherichia coli (strain K12)	317	"33,515"		fabH		b1091 JW1077
P08190	FIMG_ECOLI	Protein FimG	fimG b4319 JW4282	Escherichia coli (strain K12)	167	"17,317"		fimG		b4319 JW4282
P0AEM6	FLIA_ECOLI	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-27) (Sigma-28)	fliA flaD rpoF b1922 JW1907	Escherichia coli (strain K12)	239	"27,521"	flaD rpoF	fliA		b1922 JW1907
P13024	FDHE_ECOLI	Protein FdhE	fdhE b3891 JW3862	Escherichia coli (strain K12)	309	"34,747"		fdhE		b3891 JW3862
P32177	FDHD_ECOLI	Sulfur carrier protein FdhD (Sulfurtransferase FdhD)	fdhD b3895 JW3866	Escherichia coli (strain K12)	277	"30,560"		fdhD		b3895 JW3866
P26608	FLIS_ECOLI	Flagellar secretion chaperone FliS	fliS b1925 JW1910	Escherichia coli (strain K12)	136	"14,950"		fliS		b1925 JW1910
P28861	FENR_ECOLI	Flavodoxin/ferredoxin--NADP reductase (EC 1.18.1.2) (EC 1.19.1.1) (Ferredoxin (flavodoxin):NADP(+) oxidoreductase) (Ferredoxin--NADP reductase) (FNR) (Flavodoxin--NADP reductase) (FLDR) (Methyl viologen resistance protein A) (dA1)	fpr mvrA b3924 JW3895	Escherichia coli (strain K12)	248	"27,751"	mvrA	fpr		b3924 JW3895
P04128	FIMA1_ECOLI	"Type-1 fimbrial protein, A chain (Type-1A pilin)"	fimA pilA b4314 JW4277	Escherichia coli (strain K12)	182	"18,111"	pilA	fimA		b4314 JW4277
P21345	GLTP_ECOLI	Proton/glutamate-aspartate symporter (Glutamate-aspartate carrier protein) (Proton-glutamate-aspartate transport protein)	gltP b4077 JW4038	Escherichia coli (strain K12)	437	"47,159"		gltP		b4077 JW4038
P77454	GLSA1_ECOLI	Glutaminase 1 (EC 3.5.1.2)	glsA1 ybaS b0485 JW0474	Escherichia coli (strain K12)	310	"32,903"	ybaS	glsA1		b0485 JW0474
P30126	LEUD_ECOLI	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuD b0071 JW0070	Escherichia coli (strain K12)	201	"22,487"		leuD		b0071 JW0070
P0AD89	LPTN_ECOLI	Tryptophanase operon leader peptide	tnaC tnaL b3707 JW3685	Escherichia coli (strain K12)	24	"2,894"	tnaL	tnaC		b3707 JW3685
P0A9M0	LON_ECOLI	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	lon capR deg lopA muc b0439 JW0429	Escherichia coli (strain K12)	784	"87,438"	capR deg lopA muc	lon		b0439 JW0429
P60720	LIPB_ECOLI	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB b0630 JW5089	Escherichia coli (strain K12)	213	"23,883"		lipB		b0630 JW5089
P08201	NIRB_ECOLI	Nitrite reductase (NADH) large subunit (EC 1.7.1.15)	nirB b3365 JW3328	Escherichia coli (strain K12)	847	"93,121"		nirB		b3365 JW3328
P0AF01	MODB_ECOLI	Molybdenum transport system permease protein ModB	modB chlJ b0764 JW0747	Escherichia coli (strain K12)	229	"24,939"	chlJ	modB		b0764 JW0747
P0A734	MINE_ECOLI	Cell division topological specificity factor	minE b1174 JW1163	Escherichia coli (strain K12)	88	"10,235"		minE		b1174 JW1163
P0AF10	MTLR_ECOLI	Mannitol operon repressor (Mannitol repressor protein)	mtlR b3601 JW3575	Escherichia coli (strain K12)	195	"21,990"		mtlR		b3601 JW3575
P60293	MUKF_ECOLI	Chromosome partition protein MukF (Protein KicB)	mukF kicB b0922 JW0905	Escherichia coli (strain K12)	440	"50,579"	kicB	mukF		b0922 JW0905
P0A744	MSRA_ECOLI	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA pms b4219 JW4178	Escherichia coli (strain K12)	212	"23,315"	pms	msrA		b4219 JW4178
P33594	NIKE_ECOLI	Nickel import ATP-binding protein NikE (EC 7.2.2.11)	nikE b3480 JW3445	Escherichia coli (strain K12)	268	"29,722"		nikE		b3480 JW3445
P0A8G6	NQOR_ECOLI	NAD(P)H dehydrogenase (quinone) (EC 1.6.5.2) (Flavoprotein WrbA) (NAD(P)H:quinone oxidoreductase) (NQO)	wrbA b1004 JW0989	Escherichia coli (strain K12)	198	"20,846"		wrbA		b1004 JW0989
P28903	NRDD_ECOLI	Anaerobic ribonucleoside-triphosphate reductase (EC 1.1.98.6) (Class III ribonucleoside-triphosphate reductase)	nrdD b4238 JW4197	Escherichia coli (strain K12)	712	"80,023"		nrdD		b4238 JW4197
P08371	PPDB_ECOLI	Prepilin peptidase-dependent protein B	ppdB ygdC b2825 JW5451	Escherichia coli (strain K12)	187	"20,520"	ygdC	ppdB		b2825 JW5451
P08372	PPDC_ECOLI	Prepilin peptidase-dependent protein C	ppdC ygdA b2823 JW2791	Escherichia coli (strain K12)	107	"12,004"	ygdA	ppdC		b2823 JW2791
P27298	OPDA_ECOLI	Oligopeptidase A (EC 3.4.24.70)	prlC opdA b3498 JW3465	Escherichia coli (strain K12)	680	"77,167"	opdA	prlC		b3498 JW3465
P37057	OGRK_ECOLI	Prophage late control protein OgrK (Prophage P2 OGR protein)	ogrK b2082 JW2067	Escherichia coli (strain K12)	72	"8,430"		ogrK		b2082 JW2067
P18133	PNCB_ECOLI	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	pncB b0931 JW0914	Escherichia coli (strain K12)	400	"45,897"		pncB		b0931 JW0914
P76611	PINH_ECOLI	Putative protein PinH (Putative DNA-invertase from prophage CP4-44)	pinH b2648 JW5423	Escherichia coli (strain K12)	47	"5,438"		pinH		b2648 JW5423
P43671	PQIB_ECOLI	Intermembrane transport protein PqiB (Paraquat-inducible protein B)	pqiB pqi5B b0951 JW0934	Escherichia coli (strain K12)	546	"60,520"	pqi5B	pqiB		b0951 JW0934
P07013	PRIB_ECOLI	Primosomal replication protein N	priB b4201 JW4159	Escherichia coli (strain K12)	104	"11,442"		priB		b4201 JW4159
P12998	BIOF_ECOLI	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF b0776 JW0759	Escherichia coli (strain K12)	384	"41,594"		bioF		b0776 JW0759
P03004	DNAA_ECOLI	Chromosomal replication initiator protein DnaA	dnaA b3702 JW3679	Escherichia coli (strain K12)	467	"52,551"		dnaA		b3702 JW3679
P0AEW4	CPDA_ECOLI	"3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA (3',5'-cyclic AMP phosphodiesterase) (cAMP phosphodiesterase) (EC 3.1.4.53)"	cpdA icc b3032 JW3000	Escherichia coli (strain K12)	275	"30,938"	icc	cpdA		b3032 JW3000
P0AAK4	HYDN_ECOLI	Electron transport protein HydN	hydN b2713 JW2683	Escherichia coli (strain K12)	175	"19,026"		hydN		b2713 JW2683
P0A6B7	ISCS_ECOLI	Cysteine desulfurase IscS (EC 2.8.1.7) (NifS protein homolog) (ThiI transpersulfidase) (TusA transpersulfidase)	iscS nuvC yfhO yzzO b2530 JW2514	Escherichia coli (strain K12)	404	"45,090"	nuvC yfhO yzzO	iscS		b2530 JW2514
P03023	LACI_ECOLI	Lactose operon repressor	lacI b0345 JW0336	Escherichia coli (strain K12)	360	"38,590"		lacI		b0345 JW0336
P76114	MCBR_ECOLI	HTH-type transcriptional regulator McbR	mcbR yncC b1450 JW1445	Escherichia coli (strain K12)	221	"25,151"	yncC	mcbR		b1450 JW1445
P28635	METQ_ECOLI	D-methionine-binding lipoprotein MetQ	metQ yaeC b0197 JW0193	Escherichia coli (strain K12)	271	"29,432"	yaeC	metQ		b0197 JW0193
P31547	METI_ECOLI	D-methionine transport system permease protein MetI	metI yaeE b0198 JW0194	Escherichia coli (strain K12)	217	"23,256"	yaeE	metI		b0198 JW0194
P0C0S1	MSCS_ECOLI	Small-conductance mechanosensitive channel	mscS yggB b2924 JW2891	Escherichia coli (strain K12)	286	"30,896"	yggB	mscS		b2924 JW2891
P76270	MSRC_ECOLI	Free methionine-R-sulfoxide reductase (fRMsr) (EC 1.8.4.14)	msrC yebR b1832 JW1821	Escherichia coli (strain K12)	165	"18,122"	yebR	msrC		b1832 JW1821
P24202	MRR_ECOLI	Type IV methyl-directed restriction enzyme EcoKMrr (EcoKMrr) (Mrr restriction system protein)	mrr b4351 JW4314	Escherichia coli (strain K12)	304	"33,520"		mrr		b4351 JW4314
P76082	PAAF_ECOLI	"2,3-dehydroadipyl-CoA hydratase (EC 4.2.1.17) (Enoyl-CoA hydratase)"	paaF ydbR b1393 JW1388	Escherichia coli (strain K12)	255	"27,237"	ydbR	paaF		b1393 JW1388
P77467	PAAG_ECOLI	"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)"	paaG ydbT b1394 JW1389	Escherichia coli (strain K12)	262	"28,405"	ydbT	paaG		b1394 JW1389
P76083	PAAH_ECOLI	3-hydroxyadipyl-CoA dehydrogenase (EC 1.1.1.-)	paaH ydbU b1395 JW1390	Escherichia coli (strain K12)	475	"51,733"	ydbU	paaH		b1395 JW1390
P76084	PAAI_ECOLI	Acyl-coenzyme A thioesterase PaaI (EC 3.1.2.-) (Phenylacetic acid degradation protein PaaI)	paaI ydbV b1396 JW1391	Escherichia coli (strain K12)	140	"14,851"	ydbV	paaI		b1396 JW1391
P0C7L2	PAAJ_ECOLI	"3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase (EC 2.3.1.174) (EC 2.3.1.223)"	paaJ paaE ydbW b1397 JW1392	Escherichia coli (strain K12)	401	"42,277"	paaE ydbW	paaJ		b1397 JW1392
P76085	PAAK_ECOLI	Phenylacetate-coenzyme A ligase (EC 6.2.1.30) (Phenylacetyl-CoA ligase) (PA-CoA ligase)	paaK b1398 JW5218	Escherichia coli (strain K12)	437	"48,953"		paaK		b1398 JW5218
P28305	PABC_ECOLI	Aminodeoxychorismate lyase (EC 4.1.3.38) (4-amino-4-deoxychorismate lyase) (ADC lyase) (ADCL)	pabC b1096 JW1082	Escherichia coli (strain K12)	269	"29,715"		pabC		b1096 JW1082
P76242	NIMT_ECOLI	2-nitroimidazole transporter	nimT yeaN b1791 JW1780	Escherichia coli (strain K12)	393	"41,208"	yeaN	nimT		b1791 JW1780
P31061	NOHA_ECOLI	Prophage DNA-packing protein NohA (Prophage Qin DNA-packaging protein Nu1 homolog)	nohA nohQ b1548 JW1541	Escherichia coli (strain K12)	189	"21,404"	nohQ	nohA		b1548 JW1541
P0A9I8	NIRD_ECOLI	Nitrite reductase (NADH) small subunit (EC 1.7.1.15)	nirD b3366 JW3329	Escherichia coli (strain K12)	108	"12,284"		nirD		b3366 JW3329
P0AFH6	OPPC_ECOLI	Oligopeptide transport system permease protein OppC	oppC b1245 JW1237	Escherichia coli (strain K12)	302	"33,022"		oppC		b1245 JW1237
P76045	OMPG_ECOLI	Outer membrane porin G (Outer membrane protein G)	ompG b1319 JW1312	Escherichia coli (strain K12)	301	"34,913"		ompG		b1319 JW1312
P75920	OPGC_ECOLI	Glucans biosynthesis protein C (EC 2.1.-.-)	mdoC opgC ymdD b1047 JW1034	Escherichia coli (strain K12)	385	"44,690"	opgC ymdD	mdoC		b1047 JW1034
P0A780	NUSB_ECOLI	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)	nusB groNB ssyB b0416 JW0406	Escherichia coli (strain K12)	139	"15,689"	groNB ssyB	nusB		b0416 JW0406
Q6BF16	DGOA_ECOLI	2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21) (2-oxo-3-deoxygalactonate 6-phosphate aldolase) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (6-phospho-2-keto-3-deoxygalactonate aldolase) (KDPGal)	dgoA yidU b4477 JW5628	Escherichia coli (strain K12)	205	"21,391"	yidU	dgoA		b4477 JW5628
P33013	DACD_ECOLI	D-alanyl-D-alanine carboxypeptidase DacD (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6b) (PBP-6b)	dacD phsE yeeC b2010 JW5329	Escherichia coli (strain K12)	388	"43,346"	phsE yeeC	dacD		b2010 JW5329
P18775	DMSA_ECOLI	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)	dmsA b0894 JW5118	Escherichia coli (strain K12)	814	"90,399"		dmsA		b0894 JW5118
P69908	DCEA_ECOLI	Glutamate decarboxylase alpha (GAD-alpha) (EC 4.1.1.15)	gadA gadS b3517 JW3485	Escherichia coli (strain K12)	466	"52,685"	gadS	gadA		b3517 JW3485
P52101	GLRK_ECOLI	Sensor histidine kinase GlrK (EC 2.7.13.3)	glrK yfhK b2556 JW5407	Escherichia coli (strain K12)	475	"53,330"	yfhK	glrK		b2556 JW5407
P0A9C0	GLPA_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (G-3-P dehydrogenase) (EC 1.1.5.3)	glpA b2241 JW2235	Escherichia coli (strain K12)	542	"58,958"		glpA		b2241 JW2235
P0AEQ6	GLNP_ECOLI	Glutamine transport system permease protein GlnP	glnP b0810 JW0795	Escherichia coli (strain K12)	219	"24,364"		glnP		b0810 JW0795
P0AET8	HDHA_ECOLI	7alpha-hydroxysteroid dehydrogenase (7alpha-HSDH) (EC 1.1.1.159) (NAD-dependent 7alpha-hydroxysteroid dehydrogenase)	hdhA hsdH b1619 JW1611	Escherichia coli (strain K12)	255	"26,779"	hsdH	hdhA		b1619 JW1611
P06983	HEM3_ECOLI	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	hemC popE b3805 JW5932	Escherichia coli (strain K12)	313	"33,852"	popE	hemC		b3805 JW5932
P30178	HCXB_ECOLI	Hydroxycarboxylate dehydrogenase B (EC 1.1.1.-) (2-oxoglutarate reductase) (Hydroxyphenylpyruvate reductase) (EC 1.1.1.237) (Phenylpyruvate reductase)	hcxB ybiC b0801 JW0786	Escherichia coli (strain K12)	361	"38,897"	ybiC	hcxB		b0801 JW0786
P67910	HLDD_ECOLI	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD htrM rfaD waaD b3619 JW3594	Escherichia coli (strain K12)	310	"34,893"	htrM rfaD waaD	hldD		b3619 JW3594
P64634	HOFN_ECOLI	DNA utilization protein HofN	hofN yrfC b3394 JW3357	Escherichia coli (strain K12)	179	"20,796"	yrfC	hofN		b3394 JW3357
P00935	METB_ECOLI	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	metB b3939 JW3910	Escherichia coli (strain K12)	386	"41,550"		metB		b3939 JW3910
P06721	METC_ECOLI	Cystathionine beta-lyase MetC (CBL) (CL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine desulfhydrase MetC) (CD) (EC 4.4.1.28) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)	metC b3008 JW2975	Escherichia coli (strain K12)	395	"43,212"		metC		b3008 JW2975
P23200	MGLC_ECOLI	Galactoside transport system permease protein MglC	mglC b2148 JW2135	Escherichia coli (strain K12)	336	"35,550"		mglC		b2148 JW2135
P0AEZ9	MOAB_ECOLI	Molybdenum cofactor biosynthesis protein B	moaB chlA2 b0782 JW0765	Escherichia coli (strain K12)	170	"18,665"	chlA2	moaB		b0782 JW0765
P31678	OTSB_ECOLI	Trehalose-6-phosphate phosphatase (TPP) (EC 3.1.3.12) (Osmoregulatory trehalose synthesis protein B) (Trehalose 6-phosphate phosphatase) (Trehalose-phosphatase)	otsB b1897 JW1886	Escherichia coli (strain K12)	266	"29,175"		otsB		b1897 JW1886
P22188	MURE_ECOLI	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)"	murE b0085 JW0083	Escherichia coli (strain K12)	495	"53,344"		murE		b0085 JW0083
P0ABH4	MRED_ECOLI	Rod shape-determining protein MreD	mreD b3249 JW3218	Escherichia coli (strain K12)	162	"18,788"		mreD		b3249 JW3218
