Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )
O74856	CAF1_SCHPO	Poly(A) ribonuclease pop2 (EC 3.1.13.4) (CCR4-associated factor 1)	caf1 pop2 SPCC18.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	335	"37,533"	pop2	caf1	SPCC18.06c	
P78827	ILV5_SCHPO	"Probable ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)"	ilv5 SPBC56F2.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	404	"45,189"		ilv5	SPBC56F2.12	
O94691	JMJ3_SCHPO	Lid2 complex component jmj3 (Lid2C component jmj3)	jmj3 ecm5 SPBC83.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	752	"84,930"	ecm5	jmj3	SPBC83.07	
O94360	MOB1_SCHPO	Maintenance of ploidy protein mob1	mob1 SPBC428.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	210	"24,744"		mob1	SPBC428.13c	
O94545	KA113_SCHPO	Importin beta-like protein kap113 (Karyopherin-113)	kap113 SPCC1322.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	983	"112,935"		kap113	SPCC1322.06	
O59740	MOD5P_SCHPO	Cell polarity protein mod5 (Tea1-anchoring protein mod5)	mod5 SPBC530.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	522	"56,542"		mod5	SPBC530.04	
O13943	AVL9_SCHPO	Late secretory pathway protein avl9	avl9 SPAC23H3.14	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	469	"53,116"		avl9	SPAC23H3.14	
Q9P3T9	BSD2_SCHPO	Probable metal homeostasis protein bsd1	bsd1 bsd2 SPAC328.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	277	"30,564"	bsd2	bsd1	SPAC328.07c	
O60158	BQT4_SCHPO	Bouquet formation protein 4	bqt4 SPBC19C7.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	432	"47,827"		bqt4	SPBC19C7.10	
O74874	CCR4_SCHPO	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4 (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase) (Glucose-repressible alcohol dehydrogenase transcriptional effector)	ccr4 SPCC31H12.08c SPCC5E4.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	690	"76,456"		ccr4	SPCC31H12.08c SPCC5E4.02c	
Q8NKC1	COMT2_SCHPO	Probable catechol O-methyltransferase 2 (EC 2.1.1.6)	SPBPB21E7.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	281	"32,123"			SPBPB21E7.04c	
P27584	GPA1_SCHPO	Guanine nucleotide-binding protein alpha-1 subunit (GP1-alpha)	gpa1 SPBC24C6.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	407	"46,263"		gpa1	SPBC24C6.06	
P78965	GSHR_SCHPO	Glutathione reductase (GR) (GRase) (EC 1.8.1.7)	pgr1 pi039 SPBC17A3.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	464	"49,999"		pgr1	pi039 SPBC17A3.07	
P78974	HEM2_SCHPO	Delta-aminolevulinic acid dehydratase (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hem2 SPAC1805.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	329	"36,121"		hem2	SPAC1805.06c	
P42881	GPT_SCHPO	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (G1PT) (GPT) (N-acetylglucosamine-1-phosphate transferase)	gpt2 gpt SPBC15D4.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	446	"49,855"	gpt	gpt2	SPBC15D4.04	
O94301	HFI1_SCHPO	Transcriptional coactivator hfi1	hfi1 SPBC887.18c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	339	"37,946"		hfi1	SPBC887.18c	
P50519	HSP9_SCHPO	Heat shock protein hsp9	hsp9 scf1 SPAP8A3.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	68	"7,503"	scf1	hsp9	SPAP8A3.04c	
Q9HDV4	LID2_SCHPO	Lid2 complex component lid2 (Lid2C component lid2)	lid2 SPBP19A11.06 SPBP4H10.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1513	"172,259"		lid2	SPBP19A11.06 SPBP4H10.01	
O13642	LIPA_SCHPO	"Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)"	lip5 pi050 SPBC8D2.15	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	370	"41,690"		lip5	pi050 SPBC8D2.15	
O43000	LIZ1_SCHPO	Pantothenate transporter liz1	liz1 SPBC2G2.01c SPBC4B4.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	514	"57,964"		liz1	SPBC2G2.01c SPBC4B4.13c	
P87173	LSM1_SCHPO	U6 snRNA-associated Sm-like protein LSm1	lsm1 SPBC3D6.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	140	"16,172"		lsm1	SPBC3D6.08c	
O14368	HSP16_SCHPO	Heat shock protein 16 (16 kDa heat shock protein)	hsp16 SPBC3E7.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	143	"15,968"		hsp16	SPBC3E7.02c	
Q9HDY9	MAM3_SCHPO	M cell-type agglutination protein mam3 (Adhesin mam3)	mam3 SPAP11E10.02c SPAPB1A10.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1082	"109,143"		mam3	SPAP11E10.02c SPAPB1A10.01c	
Q10474	LYS5_SCHPO	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (AASD-PPT) (EC 2.7.8.7)	lys7 SPAC17C9.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	258	"29,320"		lys7	SPAC17C9.02c	
O74788	IML1_SCHPO	Vacuolar membrane-associated protein iml1	iml1 SPBC26H8.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1496	"169,995"		iml1	SPBC26H8.04c	
P87110	ITR2_SCHPO	Myo-inositol transporter 2	itr2 SPAC20G8.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	557	"61,137"		itr2	SPAC20G8.03	
O42871	ING1_SCHPO	Chromatin modification-related protein png1 (ING1 homolog 1)	png1 SPAC3G9.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	283	"31,276"		png1	SPAC3G9.08	
O74490	IST1_SCHPO	Vacuolar protein sorting-associated protein ist1	ist1 SPCC1442.17c SPCC285.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	271	"30,808"		ist1	SPCC1442.17c SPCC285.02c	
Q9US60	KLP3_SCHPO	Kinesin-like protein 3 (Kinesin-related protein 1)	klp3 krp1 SPAC1834.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	554	"61,938"	krp1	klp3	SPAC1834.07	
O14343	KLP5_SCHPO	Kinesin-like protein 5	klp5 SPBC2F12.13	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	883	"99,059"		klp5	SPBC2F12.13	
Q9P7D7	LCF2_SCHPO	Long-chain-fatty-acid--CoA ligase 2 (EC 6.2.1.3) (Fatty acid activator 2) (Long-chain acyl-CoA synthetase 2)	lcf2 SPBP4H10.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	689	"75,791"		lcf2	SPBP4H10.11c	
Q9Y7Z9	COQ6_SCHPO	"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-)"	coq6 SPBC146.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	479	"53,575"		coq6	SPBC146.12	
Q09747	DBP5_SCHPO	ATP-dependent RNA helicase dbp5 (EC 3.6.4.13)	dbp5 SPBC12C2.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	503	"56,305"		dbp5	SPBC12C2.06	
Q9UTK7	DSC2_SCHPO	DSC E3 ubiquitin ligase complex subunit 2 (EC 2.3.2.27) (Defective for SREBP cleavage protein 2) (RING-type E3 ubiquitin transferase DSC2) (UBA domain-containing protein 14)	dsc2 ucp14 SPAC1486.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	372	"42,239"	ucp14	dsc2	SPAC1486.02c	
Q9UUG3	DPH4_SCHPO	Diphthamide biosynthesis protein 4	dph4 SPAC926.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	139	"16,097"		dph4	SPAC926.05c	
O13836	DXO_SCHPO	Decapping nuclease din1 (EC 3.6.1.-) (Dhp1-interacting protein 1) (NAD-capped RNA hydrolase Rai1) (DeNADding enzyme Rai1) (spRai1) (EC 3.6.1.-)	din1 rai1 SPAC19D5.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	352	"40,751"	rai1	din1	SPAC19D5.06c	
Q9UT48	EIF3H_SCHPO	Eukaryotic translation initiation factor 3 subunit H (eIF3h)	eif3h SPAC821.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	357	"39,781"		eif3h	SPAC821.05	
O94384	ELY5_SCHPO	Uncharacterized protein ely5	ely5 SPBC29A10.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	298	"35,117"		ely5	SPBC29A10.06c	
O94513	EIF3E_SCHPO	Eukaryotic translation initiation factor 3 subunit E (eIF3e)	int6 eif3e yin6 SPBC646.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	501	"57,114"	eif3e yin6	int6	SPBC646.09c	
Q10488	ETR1_SCHPO	"Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase)"	etr1 SPAC26F1.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	372	"41,230"		etr1	SPAC26F1.04c	
Q9USJ7	ETT1_SCHPO	Negative regulator of ofd1	nro1 SPCC4B3.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	393	"44,450"		nro1	SPCC4B3.07	
Q9URT9	GSK31_SCHPO	Protein kinase gsk31 (EC 2.7.11.1)	gsk31 pi064 SPBC8D2.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	381	"43,381"		gsk31	pi064 SPBC8D2.01	
P87111	ETFD_SCHPO	"Probable electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)"	SPAC20G8.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	632	"69,472"			SPAC20G8.04c	
O13666	ERG3B_SCHPO	"Delta(7)-sterol 5(6)-desaturase erg32 (EC 1.14.19.20) (C-5 sterol desaturase erg32) (Ergosterol Delta(5,6) desaturase erg32) (Ergosterol biosynthetic protein 32) (Sterol-C5-desaturase erg32)"	erg32 pi075 SPBC27B12.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	329	"39,063"		erg32	pi075 SPBC27B12.03c	
O94270	ERD2_SCHPO	ER lumen protein-retaining receptor	erd2 SPBP8B7.22	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	212	"24,725"		erd2	SPBP8B7.22	
Q9UU94	EPL1_SCHPO	Enhancer of polycomb-like protein 1	epl1 SPCC830.05c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	557	"64,628"		epl1	SPCC830.05c	
Q9P7H1	FLP1_SCHPO	Tyrosine-protein phosphatase CDC14 homolog (EC 3.1.3.48) (CDC fourteen-like phosphatase 1)	clp1 flp1 SPAC1782.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	537	"60,253"	flp1	clp1	SPAC1782.09c	
O43029	FAP1_SCHPO	L-pipecolate oxidase (EC 1.5.3.7) (L-pipecolic acid oxidase)	fap1 SPBC354.15	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	412	"46,320"		fap1	SPBC354.15	
O14276	FYV7_SCHPO	rRNA-processing protein fyv7	fyv7 SPAC8C9.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	144	"17,221"		fyv7	SPAC8C9.07	
O94260	G3BP_SCHPO	Putative G3BP-like protein	nxt3 SPBP8B7.11	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	434	"47,972"		nxt3	SPBP8B7.11	
O13692	GAS5_SCHPO	"1,3-beta-glucanosyltransferase gas5"	gas5 SPAC11E3.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	510	"53,693"		gas5	SPAC11E3.13c	
Q10076	HSR1_SCHPO	Hydrogen peroxide stress regulator 1	hsr1 SPAC3H1.11	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	582	"64,126"		hsr1	SPAC3H1.11	
O13917	HPRT_SCHPO	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	hpt1 SPAC23C11.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	206	"23,572"		hpt1	SPAC23C11.13c	
Q04665	GPA2_SCHPO	Guanine nucleotide-binding protein alpha-2 subunit (GP2-alpha)	gpa2 SPAC23H3.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	354	"40,523"		gpa2	SPAC23H3.13c	
O74790	GLRX4_SCHPO	Monothiol glutaredoxin-4	grx4 SPBC26H8.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	244	"27,099"		grx4	SPBC26H8.06	
O13823	IMP4_SCHPO	U3 small nucleolar ribonucleoprotein protein imp4 (U3 snoRNP protein imp4)	imp4 SPAC19A8.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	289	"33,395"		imp4	SPAC19A8.07c	
Q9USW2	INP2_SCHPO	Inheritance of peroxisomes protein 2	inp2 SPBC21B10.06c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	470	"54,913"		inp2	SPBC21B10.06c	
P36590	KTHY_SCHPO	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	tmp1 tmp SPCC70.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	210	"24,250"	tmp	tmp1	SPCC70.07c	
Q10162	BUD23_SCHPO	18S rRNA (guanine-N(7))-methyltransferase bud23 (EC 2.1.1.-) (Bud site selection protein 23 homolog)	bud23 SPAC26A3.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	268	"30,083"		bud23	SPAC26A3.06	
Q9UT30	BRR6_SCHPO	Nucleus export protein brr6	brr6 brl1 SPAC8F11.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	297	"33,574"	brl1	brr6	SPAC8F11.06	
P24865	CG21_SCHPO	G2/mitotic-specific cyclin cig1	cig1 SPCC4E9.02 SPCC645.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	415	"47,808"		cig1	SPCC4E9.02 SPCC645.01	
Q09736	CP51_SCHPO	Lanosterol 14-alpha demethylase erg11 (EC 1.14.14.154) (Cytochrome P450 51) (Ergosterol biosynthetic protein 11) (Sterol 14-alpha demethylase)	erg11 cyp51 SPAC13A11.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	495	"56,331"	cyp51	erg11	SPAC13A11.02c	
O94453	COQ4_SCHPO	"Ubiquinone biosynthesis protein coq4, mitochondrial (Coenzyme Q biosynthesis protein 4)"	coq4 SPAC1687.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	272	"31,100"		coq4	SPAC1687.12c	
Q10252	COQ2_SCHPO	"4-hydroxybenzoate polyprenyltransferase, mitochondrial (4-HB polyprenyltransferase) (EC 2.5.1.39) (4-hydroxybenzoate decaprenyltransferase) (Para-hydroxybenzoate--polyprenyltransferase) (PHB:PPT) (PHB:polyprenyltransferase) (p-hydroxybenzoate polyprenyl diphosphate transferase)"	ppt1 coq2 SPAC56F8.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	360	"39,698"	coq2	ppt1	SPAC56F8.04c	
O94633	DPM3_SCHPO	Dolichol-phosphate mannosyltransferase subunit 3 (DPM synthase complex subunit 3) (Dolichol-phosphate mannose synthase subunit 3) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 3) (Mannose-P-dolichol synthase subunit 3) (MPD synthase subunit 3)	dpm3 SPBC1677.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	90	"10,530"		dpm3	SPBC1677.02	
O74946	DPOA2_SCHPO	DNA polymerase alpha subunit B	spb70 pol12 SPCC553.09c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	574	"64,185"	pol12	spb70	SPCC553.09c	
Q9USX9	ELOC_SCHPO	Elongin-C	elc1 SPBC1861.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	97	"11,268"		elc1	SPBC1861.07	
O74191	FKBP4_SCHPO	FK506-binding protein 39 kDa (EC 5.2.1.8) (Histone proline isomerase) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)	fkbp39 SPBC1347.02	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	361	"39,302"		fkbp39	SPBC1347.02	
Q06975	GAR1_SCHPO	H/ACA ribonucleoprotein complex subunit gar1 (snoRNP protein GAR1)	gar1 SPBC20F10.01 SPBC25H2.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	194	"20,131"		gar1	SPBC20F10.01 SPBC25H2.01c	
O36032	GLRX1_SCHPO	Glutaredoxin-1	grx1 SPAC4F10.20	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	101	"11,261"		grx1	SPAC4F10.20	
P10651	H33_SCHPO	Histone H3.3	hht3 SPBC1105.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	136	"15,397"		hht3	SPBC1105.11c	
Q9UU96	GRC3_SCHPO	Polynucleotide 5'-hydroxyl-kinase grc3 (EC 2.7.1.-)	grc3 SPCC830.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	736	"83,251"		grc3	SPCC830.03	
O14139	HRP3_SCHPO	Chromodomain helicase hrp3 (EC 3.6.4.-) (ATP-dependent helicase hrp3)	hrp3 SPAC3G6.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1388	"159,379"		hrp3	SPAC3G6.01	
P56329	IF2B_SCHPO	Probable eukaryotic translation initiation factor 2 subunit beta (eIF-2-beta)	tif212 SPAC32A11.04c SPAC6B12.17c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	321	"35,961"		tif212	SPAC32A11.04c SPAC6B12.17c	
Q09811	HUS2_SCHPO	ATP-dependent DNA helicase hus2/rqh1 (EC 3.6.4.12)	rqh1 hus2 rad12 rec9 SPAC2G11.12	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1328	"149,646"	hus2 rad12 rec9	rqh1	SPAC2G11.12	
Q10323	IMT3_SCHPO	Inositol phosphoceramide mannosyltransferase 3 (EC 2.4.-.-) (IPC mannosyltransferase 3)	SPAC17G8.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	356	"42,197"			SPAC17G8.11c	
O42936	LAS1_SCHPO	Pre-rRNA-processing protein las1	las1 SPBC16C6.12c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	470	"54,307"		las1	SPBC16C6.12c	
O94257	LCMT1_SCHPO	Leucine carboxyl methyltransferase 1 (EC 2.1.1.233) (Protein phosphatase methyltransferase 1) ([Phosphatase 2A protein]-leucine-carboxy methyltransferase 1)	ppm1 SPBP8B7.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	310	"35,855"		ppm1	SPBP8B7.08c	
P07657	COX1_SCHPO	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	cox1 SPMIT.01	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	537	"59,412"		cox1	SPMIT.01	
O42908	CYM1_SCHPO	Mitochondrial presequence protease (EC 3.4.24.-)	cym1 SPBC119.17	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	882	"98,971"		cym1	SPBC119.17	
P0CT54	EF1A2_SCHPO	Elongation factor 1-alpha-B (EF-1-alpha-B)	tef102 ef1a-b tef1b SPAC23A1.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	460	"49,675"	ef1a-b tef1b	tef102	SPAC23A1.10	
O13665	FAR11_SCHPO	Factor arrest protein 11	far11 pi074 SPBC27B12.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	817	"95,093"		far11	pi074 SPBC27B12.04c	
O94552	FUMH_SCHPO	"Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)"	fum1 SPCC18.18c SPCC290.01c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	520	"56,322"		fum1	SPCC18.18c SPCC290.01c	
Q9Y7Y7	GAS4_SCHPO	"1,3-beta-glucanosyltransferase gas4 (EC 2.4.1.-)"	gas4 SPBC342.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	456	"50,763"		gas4	SPBC342.03	
Q9HDU5	GAL7_SCHPO	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	gal7 SPBPB2B2.10c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	369	"42,822"		gal7	SPBPB2B2.10c	
O13793	FSF1_SCHPO	Sideroflexin fsf1 (Fungal sideroflexin-1)	fsf1 SPAC17G6.15c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	322	"35,447"		fsf1	SPAC17G6.15c	
O14222	FSV1_SCHPO	Syntaxin-like protein fsv1	fsv1 SPAC6F12.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	247	"28,266"		fsv1	SPAC6F12.03c	
O13776	FT105_SCHPO	Ubp5-interacting protein ftp105 (Down-regulated in multiple cancers 1 homolog 3) (Hid-1 family protein ftp105)	ftp105 SPAC17A5.16	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	925	"104,836"		ftp105	SPAC17A5.16	
P78917	G6PI_SCHPO	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	pgi1 SPBC1604.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	550	"60,884"		pgi1	SPBC1604.05	
Q9P7W2	FTHC_SCHPO	"Probable 5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2) (5,10-methenyl-tetrahydrofolate synthetase) (MTHFS) (Methenyl-THF synthetase)"	SPBC1703.08c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	204	"23,485"			SPBC1703.08c	
Q09681	GMH2_SCHPO	"Probable alpha-1,2-galactosyltransferase gmh2 (EC 2.4.1.-)"	gmh2 SPAC5H10.13c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	346	"39,108"		gmh2	SPAC5H10.13c	
P87041	GMS1_SCHPO	UDP-galactose transporter (Golgi UDP-Gal transporter)	gms1 SPCC1795.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	353	"39,101"		gms1	SPCC1795.03	
Q09835	GOS1_SCHPO	Protein transport protein gos1 (Golgi SNAP receptor complex member 1) (Golgi SNARE protein 1)	gos1 SPAC4G8.10	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	182	"21,067"		gos1	SPAC4G8.10	
Q09712	GPI18_SCHPO	GPI mannosyltransferase 2 (EC 2.4.1.-) (GPI mannosyltransferase II) (GPI-MT-II) (Glycosylphosphatidylinositol-anchor biosynthesis protein 18)	gpi18 SPAC18B11.05	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	464	"53,608"		gpi18	SPAC18B11.05	
O94303	HIS5_SCHPO	Imidazole glycerol phosphate synthase hisHF (IGP synthase) (IGPS) (ImGP synthase) (EC 4.3.2.10) [Includes: Glutaminase (EC 3.5.1.2); Cyclase]	his4 SPBC418.01c SPBC887.20c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	541	"59,400"		his4	SPBC418.01c SPBC887.20c	
P41887	HSP90_SCHPO	Heat shock protein 90 homolog	swo1 hsp90 SPAC926.04c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	704	"80,596"	hsp90	swo1	SPAC926.04c	
O14349	ISN1_SCHPO	IMP-specific 5'-nucleotidase 1 (EC 3.1.3.99)	isn1 SPBC30D10.03c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	405	"45,806"		isn1	SPBC30D10.03c	
P54069	BEM46_SCHPO	Protein bem46	bem46 pi020 SPBC32H8.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	299	"33,133"		bem46	pi020 SPBC32H8.03	
Q9UTI3	ARD1_SCHPO	N-terminal acetyltransferase A complex catalytic subunit ard1 (NatA complex subunit ARD1) (EC 2.3.1.255)	ard1 SPAC15E1.08	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	177	"20,305"		ard1	SPAC15E1.08	
Q01663	AP1_SCHPO	AP-1-like transcription factor (Caffeine resistance protein 3)	pap1 caf3 SPAC1783.07c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	552	"61,532"	caf3	pap1	SPAC1783.07c	
Q9P7F3	AMT3_SCHPO	Ammonium transporter 3 (Ammonium transporter mep3)	amt3 mep3 SPAC2E1P3.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	517	"56,468"	mep3	amt3	SPAC2E1P3.02c	
O74485	CUE3_SCHPO	CUE domain-containing protein 3	slh1 SPCC1906.02c	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	581	"65,858"		slh1	SPCC1906.02c	
O14460	EF2_SCHPO	Elongation factor 2 (EF-2)	eft201 eft2 eft2-1 SPAC513.01c SPAPYUK71.04c; eft202 SPCP31B10.07	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	842	"93,231"	eft2 eft2-1; 	eft201; eft202	SPAC513.01c SPAPYUK71.04c; SPCP31B10.07	; 
