DBID	Systematic_name	Organism	Standard_name	Gene_name	Abundance_median	Abundance_SD	Molecular_weight
S000001724	YKR016W	S. cerevisiae	MIC60	MItochondrial contact site and Cristae organizing system	9782	1688	61079.8
S000001725	YKR017C	S. cerevisiae	HEL1	Histone E3 Ligase	1027	657	63553.8
S000001726	YKR018C	S. cerevisiae			5866	1916	81722.1
S000001727	YKR019C	S. cerevisiae	IRS4	Increased rDNA Silencing	606	584	68910.1
S000001728	YKR020W	S. cerevisiae	VPS51	Vacuolar Protein Sorting	1696	802	18901.1
S000001729	YKR021W	S. cerevisiae	ALY1	Arrestin-Like Yeast protein	1667	541	102518.2
S000001730	YKR022C	S. cerevisiae	NTR2	NineTeen complex Related protein	1443	292	36639.8
S000001731	YKR023W	S. cerevisiae	RQT4	Ribosome-Quality control Trigger factor	1871	902	60795.8
S000001732	YKR024C	S. cerevisiae	DBP7	Dead Box Protein	2691	1231	83331.5
S000001733	YKR025W	S. cerevisiae	RPC37	RNA Polymerase C	4264	844	32109.3
S000001734	YKR026C	S. cerevisiae	GCN3	General Control Nonderepressible	4129	1186	34015.4
S000001735	YKR027W	S. cerevisiae	BCH2	Bud7 and Chs6 Homolog	1287	1067	88030.4
S000001736	YKR028W	S. cerevisiae	SAP190	Sit4 Associated Protein	4320	1526	116959.3
S000001737	YKR029C	S. cerevisiae	SET3	SET domain-containing	1614	707	85495.3
S000001738	YKR030W	S. cerevisiae	GMH1	Gea1-6 Membrane-associated High-copy suppressor	1904	495	32000.6
S000001739	YKR031C	S. cerevisiae	SPO14	SPOrulation	1781	753	195204.3
S000001740	YKR032W	S. cerevisiae					12415.8
S000001741	YKR033C	S. cerevisiae					15668.5
S000001742	YKR034W	S. cerevisiae	DAL80	Degradation of Allantoin			30172.9
S000001743	YKR035C	S. cerevisiae	OPI8	OverProducer of Inositol			23236.1
S000001744	YKR036C	S. cerevisiae	CAF4	CCR4 Associated Factor	1771	152	72807.9
S000001745	YKR037C	S. cerevisiae	SPC34	Spindle Pole Component	2093	754	34080.2
S000001746	YKR038C	S. cerevisiae	KAE1	Kinase-Associated Endopeptidase	3573	897	42748
S000001747	YKR039W	S. cerevisiae	GAP1	General Amino acid Permease	3634	2280	65661
S000001748	YKR040C	S. cerevisiae					19240.3
S000001749	YKR041W	S. cerevisiae			117	100	29210.1
S000001750	YKR042W	S. cerevisiae	UTH1	yoUTH	5125	2068	36942.6
S000001751	YKR043C	S. cerevisiae	SHB17	"SedoHeptulose 1,7-Bisphosphatase"	8525	4430	31014.3
S000001752	YKR044W	S. cerevisiae	UIP5	Ulp1 Interacting Protein	1500	317	50977.5
S000001753	YKR045C	S. cerevisiae			1880	759	20236.7
S000001754	YKR046C	S. cerevisiae	PLN1	PeriLipiN	6304	3921	31247.6
S000001755	YKR047W	S. cerevisiae					12347.2
S000001756	YKR048C	S. cerevisiae	NAP1	Nucleosome Assembly Protein	12358	4247	47827.6
S000001757	YKR049C	S. cerevisiae	FMP46	Found in Mitochondrial Proteome	2775	1333	15656.3
S000001758	YKR050W	S. cerevisiae	TRK2	TRansport of potassium (K)			101120.8
S000001759	YKR051W	S. cerevisiae	HFL1	Has Fused Lysosomes	377		48764.2
S000001760	YKR052C	S. cerevisiae	MRS4	Mitochondrial RNA Splicing	1340	884	33309.9
S000001761	YKR053C	S. cerevisiae	YSR3	Yeast Sphingolipid Resistance			46489.5
S000001762	YKR054C	S. cerevisiae	DYN1	DYNein	1163	953	471292.3
S000001763	YKR055W	S. cerevisiae	RHO4	Ras HOmolog	1583	451	32183.9
S000001764	YKR056W	S. cerevisiae	TRM2	tRNA Methyltransferase	2427	1449	72866.2
S000001765	YKR057W	S. cerevisiae	RPS21A	Ribosomal Protein of the Small subunit	66467	37960	9745
S000001766	YKR058W	S. cerevisiae	GLG1	Glycogenin-Like Gene	1487	1380	69655.1
S000001767	YKR059W	S. cerevisiae	TIF1	Translation Initiation Factor	52628	8788	44684.5
S000001768	YKR060W	S. cerevisiae	UTP30	U Three Protein	3156	1034	31632.3
S000001769	YKR061W	S. cerevisiae	KTR2	Kre Two Related	400	222	50643.7
S000001770	YKR062W	S. cerevisiae	TFA2	"Transcription Factor a, subunit 2"	3969	2011	37001.9
S000001771	YKR063C	S. cerevisiae	LAS1	Lethal in the Absence of SSD1-v	1261	289	59353
S000001772	YKR064W	S. cerevisiae	OAF3	Oleate Activated transcription Factor	326	190	101820.2
S000001773	YKR065C	S. cerevisiae	PAM17	Presequence translocase-Associated Motor	4005	954	21977.4
S000001774	YKR066C	S. cerevisiae	CCP1	Cytochrome c Peroxidase	7620	5129	40348.3
S000001775	YKR067W	S. cerevisiae	GPT2	Glycerol-3-Phosphate acylTransferase	3692	815	83674.9
S000001776	YKR068C	S. cerevisiae	BET3	Blocked Early in Transport	3778	1579	22122.7
S000001777	YKR069W	S. cerevisiae	MET1	METhionine requiring	1861	1857	66120.8
S000001778	YKR070W	S. cerevisiae			4089	1426	39410.4
S000001779	YKR071C	S. cerevisiae	DRE2	Derepressed for Ribosomal protein S14 Expression	4295	988	38533.9
S000001780	YKR072C	S. cerevisiae	SIS2	SIt4 Suppressor	4255	932	62438.6
S000001781	YKR073C	S. cerevisiae					11976.3
S000001782	YKR074W	S. cerevisiae	AIM29	Altered Inheritance rate of Mitochondria	4893	2792	18432.9
S000001783	YKR075C	S. cerevisiae			1928	33	36101.6
S000001784	YKR076W	S. cerevisiae	ECM4	ExtraCellular Mutant	2335	1480	43270
S000001785	YKR077W	S. cerevisiae	MSA2	Mbf and Sbf Associated	1436	419	39879.6
S000001786	YKR078W	S. cerevisiae			1556	286	68273.1
S000001787	YKR079C	S. cerevisiae	TRZ1	tRNase Z	2667	562	96790.7
S000001788	YKR080W	S. cerevisiae	MTD1	Methylene Tetrahydrafolate Dehydrogenase	12619	5142	36239
S000001789	YKR081C	S. cerevisiae	RPF2	Ribosome Production Factor	7127	2860	39606.2
S000001790	YKR082W	S. cerevisiae	NUP133	NUclear Pore	5120	872	133274.2
S000001791	YKR083C	S. cerevisiae	DAD2	Duo1 And Dam1 interacting	2144	1364	15053.6
S000001792	YKR084C	S. cerevisiae	HBS1	Hsp70 subfamily B Suppressor	3580	1248	68709.1
S000001793	YKR085C	S. cerevisiae	MRPL20	"Mitochondrial Ribosomal Protein, Large subunit"	3181	2099	22413.3
S000001794	YKR086W	S. cerevisiae	PRP16	Pre-mRNA Processing	810	172	121660.8
S000001795	YKR087C	S. cerevisiae	OMA1	Overlapping activity with M-AAA protease	1921	662	39338.8
S000001796	YKR088C	S. cerevisiae	TVP38	Tlg2-Vesicle Protein	3979	790	38307.7
S000001797	YKR089C	S. cerevisiae	TGL4	TriacylGlycerol Lipase	2303	715	102720.8
S000001798	YKR090W	S. cerevisiae	PXL1	PaXillin-Like protein	2203	913	79409.4
S000001799	YKR091W	S. cerevisiae	SRL3	Suppressor of rad53 Lethality	1187	583	27468.1
S000001800	YKR092C	S. cerevisiae	SRP40	Serine Rich Protein	9434	2787	40971.7
S000001801	YKR093W	S. cerevisiae	PTR2	Peptide TRansport	2551	393	68030.9
S000001802	YKR094C	S. cerevisiae	RPL40B	Ribosomal Protein of the Large subunit	13325	12484	14568.3
S000001803	YKR095W	S. cerevisiae	MLP1	Myosin-Like Protein	3413	1354	218385.3
S000001804	YKR096W	S. cerevisiae	ESL2	EST/SMG-like	643	468	137458.6
S000001805	YKR097W	S. cerevisiae	PCK1	Phosphoenolpyruvate CarboxyKinase	1395	946	60973.8
S000001806	YKR098C	S. cerevisiae	UBP11	UBiquitin-specific Protease	220	209	82712
S000001807	YKR099W	S. cerevisiae	BAS1	BASal	1754	711	89607.4
S000001808	YKR100C	S. cerevisiae	SKG1	Suppressor of lethality of Kex2 Gas1 double null mutant	1989	1113	39824
S000001809	YKR101W	S. cerevisiae	SIR1	Silent Information Regulator	281	207	76953.3
S000001810	YKR102W	S. cerevisiae	FLO10	FLOcculation			122092.4
S000001811	YKR103W	S. cerevisiae	NFT1	New Full-length MRP-type Transporter	1599	769	138019.9
S000001812	YKR104W	S. cerevisiae			3244	2995	34653.9
S000001813	YKR105C	S. cerevisiae	VBA5	Vacuolar Basic Amino acid transporter			63366
S000001814	YKR106W	S. cerevisiae	GEX2	Glutathione EXchanger			68968.9
S000001817	YAL065C	S. cerevisiae					12916.3
S000001821	YAR030C	S. cerevisiae					13300.1
S000001826	YFL068W	S. cerevisiae					18601.2
S000001827	YFL067W	S. cerevisiae					16473.5
S000001828	YFL066C	S. cerevisiae			994	359	43829.2
S000001829	YFL065C	S. cerevisiae			1272		11791.1
S000001830	YFL064C	S. cerevisiae			1259		20431.6
S000001831	YFL063W	S. cerevisiae					17481.6
S000001832	YFL062W	S. cerevisiae	COS4	COnserved Sequence	224	147	45321.5
S000001833	YFL061W	S. cerevisiae	DDI2	DNA Damage Inducible	1146		25147.7
S000001834	YFL060C	S. cerevisiae	SNO3	SNZ proximal Open reading frame	195	176	25132.2
S000001835	YFL059W	S. cerevisiae	SNZ3	SNooZe	1163	766	32011.4
S000001836	YFL058W	S. cerevisiae	THI5	THIamine metabolism	1193		38595.1
S000001839	YFL055W	S. cerevisiae	AGP3	high-Affinity Glutamine Permease			61052.2
S000001840	YFL054C	S. cerevisiae	AQY3	AQuaporin from Yeast	182	155	70512.2
S000001841	YFL053W	S. cerevisiae	DAK2	DihydroxyAcetone Kinase	246		62123.1
S000001842	YFL052W	S. cerevisiae	ZNF1	ZiNc Finger protein			53239.1
S000001843	YFL051C	S. cerevisiae					18103.4
S000001844	YFL050C	S. cerevisiae	ALR2	ALuminum Resistance	1558	573	96677.1
S000001845	YFL049W	S. cerevisiae	SWP82	SWi/snf-associated Protein	2501	537	70282.5
S000001846	YFL048C	S. cerevisiae	EMP47		6864	2726	50327.9
S000001847	YFL047W	S. cerevisiae	RGD2	RhoGAP domain	2859	673	82192.2
S000001848	YFL046W	S. cerevisiae	FMP32	Found in Mitochondrial Proteome	1023	602	24018.8
S000001849	YFL045C	S. cerevisiae	SEC53	SECretory	33587	11932	29054.1
S000001850	YFL044C	S. cerevisiae	OTU1	Ovarian TUmor	2682	881	33499.2
S000001852	YFL042C	S. cerevisiae	LAM5	Lipid transfer protein Anchored at Membrane contact site	1032	458	76315.8
S000001853	YFL041W	S. cerevisiae	FET5	FErrous Transport	4041	691	70842.5
S000001854	YFL040W	S. cerevisiae					60618.6
S000001855	YFL039C	S. cerevisiae	ACT1	ACTin	59660	31382	41679
S000001856	YFL038C	S. cerevisiae	YPT1	Yeast Protein Two	17705	8871	23210.5
S000001857	YFL037W	S. cerevisiae	TUB2	TUBulin	18960	6746	50892.1
S000001858	YFL036W	S. cerevisiae	RPO41	RNA POlymerase	3689	3503	153064.9
S000001859	YFL034C-B	S. cerevisiae	MOB2	Mps One Binder	2203	768	33285.2
S000001860	YFL034W	S. cerevisiae	MIL1	Medium adaptin-Interacting Ligand	1520	440	119470.7
S000001861	YFL033C	S. cerevisiae	RIM15	Regulator of IME2	1302	613	196508.3
S000001862	YFL032W	S. cerevisiae					12389.3
S000001863	YFL031W	S. cerevisiae	HAC1	Homologous to Atf/Creb1	5374	3596	26894
S000001864	YFL030W	S. cerevisiae	AGX1	Alanine:Glyoxylate aminotrans(X)ferase	1909	875	41909.6
S000001865	YFL029C	S. cerevisiae	CAK1	Cdk-Activating Kinase	3296	2059	42178.8
S000001866	YFL028C	S. cerevisiae	CAF16	CCR4 Associated Factor	4946	1868	33087.3
S000001867	YFL027C	S. cerevisiae	GYP8	Gtpase-activating protein for Ypt Proteins	580	115	57626.4
S000001868	YFL026W	S. cerevisiae	STE2	STErile	4771	2485	47848
S000001869	YFL025C	S. cerevisiae	BST1	Bypass of Sec Thirteen	434	280	117747
S000001870	YFL024C	S. cerevisiae	EPL1	Enhancer of Polycomb Like	1393	328	96748.2
S000001871	YFL023W	S. cerevisiae	BUD27	BUD site selection	2709	1209	91351.3
S000001872	YFL022C	S. cerevisiae	FRS2	phenylalanyl (F)-tRNA Synthetase	27994	5349	57498.9
S000001873	YFL021W	S. cerevisiae	GAT1		3025	1357	56334.5
S000001874	YFL020C	S. cerevisiae	PAU5	seriPAUperin family			12840.5
S000001875	YFL019C	S. cerevisiae					13752.9
S000001876	YFL018C	S. cerevisiae	LPD1	LiPoamide Dehydrogenase	23937	9390	54012.7
S000001877	YFL017C	S. cerevisiae	GNA1	GlucosamiNe-6-phosphate Acetyltransferase	4091	3142	18130
S000001878	YFL016C	S. cerevisiae	MDJ1	Mitochondrial DnaJ	5987	1296	55579.8
S000001879	YFL015C	S. cerevisiae					19311.8
S000001880	YFL014W	S. cerevisiae	HSP12	Heat Shock Protein	32928	24044	11688.8
S000001881	YFL013C	S. cerevisiae	IES1	Ino Eighty Subunit	2723	674	78728.4
S000001882	YFL012W	S. cerevisiae			1186		17185.8
S000001883	YFL011W	S. cerevisiae	HXT10	HeXose Transporter	2622		60675.6
S000001884	YFL010C	S. cerevisiae	WWM1	WW domain containing protein interacting with Metacaspase	5813	1191	22642.4
S000001885	YFL009W	S. cerevisiae	CDC4	Cell Division Cycle	1191	425	86086.9
S000001886	YFL008W	S. cerevisiae	SMC1	Stability of MiniChromosomes	3618	1091	141270.5
S000001887	YFL007W	S. cerevisiae	BLM10	BLeoMycin resistance	2995	1162	245943.3
S000001889	YFL005W	S. cerevisiae	SEC4	SECretory	19002	7367	23506
S000001890	YFL004W	S. cerevisiae	VTC2	Vacuolar Transporter Chaperone	5824	3726	95436.5
S000001891	YFL003C	S. cerevisiae	MSH4	MutS Homolog	952	339	99225.5
S000001894	YFL002C	S. cerevisiae	SPB4	Suppressor of PAB1	2950	526	69436.1
S000001895	YFL001W	S. cerevisiae	DEG1	DEpressed Growth rate	2973	574	50907.5
S000001897	YFR001W	S. cerevisiae	LOC1	LOCalization of mRNA	3874	881	23622
S000001898	YFR002W	S. cerevisiae	NIC96	Nucleoporin-Interacting Component of 96 kDa	4862	1233	96169.7
S000001899	YFR003C	S. cerevisiae	YPI1	Yeast Phosphatase Inhibitor	1527	447	18183.1
S000001900	YFR004W	S. cerevisiae	RPN11	Regulatory Particle Non-ATPase	16400	4500	34392.7
S000001901	YFR005C	S. cerevisiae	SAD1	SnRNP Assembly Defective	1383	839	52164.1
S000001902	YFR006W	S. cerevisiae			3600	1761	61741.1
S000001903	YFR007W	S. cerevisiae	YFH7		1437	1382	39881.9
S000001904	YFR008W	S. cerevisiae	FAR7	Factor ARrest	1516	791	25910.7
S000001905	YFR009W	S. cerevisiae	GCN20	General Control Nonderepressible	13923	2477	85015.3
S000001906	YFR010W	S. cerevisiae	UBP6	UBiquitin-specific Protease	9653	5741	57110.3
S000001907	YFR011C	S. cerevisiae	MIC19	MItochondrial contact site and Cristae organizing system	4663	1069	18853.4
S000001908	YFR012W	S. cerevisiae	DCV1	Demands Cdc28 kinase activity for Viability	1166		22441.9
S000001909	YFR013W	S. cerevisiae	IOC3	Iswi One Complex	2190	245	90898.6
S000001910	YFR014C	S. cerevisiae	CMK1	CalModulin dependent protein Kinase	3461	1019	50289.6
S000001911	YFR015C	S. cerevisiae	GSY1	Glycogen SYnthase	4748	1358	80492.9
S000001912	YFR016C	S. cerevisiae	AIP5	Actin Interacting Protein	3459	2332	137537.2
S000001913	YFR017C	S. cerevisiae	IGD1	Inhibitor of Glycogen Debranching	2483	1874	21782.3
S000001914	YFR018C	S. cerevisiae			2119	426	41011.5
S000001915	YFR019W	S. cerevisiae	FAB1	Forms Aploid and Binucleate cells	652	524	257439.9
S000001916	YFR020W	S. cerevisiae	CSS2	Condition Specific Secretion	1180		25704.8
S000001917	YFR021W	S. cerevisiae	ATG18	AuTophaGy related	1929	876	55089.7
S000001918	YFR022W	S. cerevisiae	ROG3	Revertant Of Glycogen synthase kinase mutation	678	424	79715.9
S000001919	YFR023W	S. cerevisiae	PES4	Polymerase Epsilon Suppressor	1190	1003	70869.3
S000001921	YFR025C	S. cerevisiae	HIS2	HIStidine requiring	3257	806	38568.1
S000001922	YFR026C	S. cerevisiae	ULI1	Upr-L-Inducible gene	1016	295	18808.5
S000001923	YFR027W	S. cerevisiae	ECO1	Establishment of COhesion	210	144	31867.1
S000001924	YFR028C	S. cerevisiae	CDC14	Cell Division Cycle	3030	681	61909.4
S000001925	YFR029W	S. cerevisiae	PTR3	Peptide TRansport	371	211	76287.2
S000001926	YFR030W	S. cerevisiae	MET10	METhionine requiring	5327	3417	114799
S000001927	YFR031C	S. cerevisiae	SMC2	Structural Maintenance of Chromosomes	1833	941	133927.6
S000001928	YFR032C	S. cerevisiae	RRT5	Regulator of rDNA Transcription			31863.2
S000001929	YFR033C	S. cerevisiae	QCR6	ubiQuinol-cytochrome C oxidoReductase	5867	2915	17210.9
S000001930	YFR034C	S. cerevisiae	PHO4	PHOsphate metabolism	2560	1461	34089.3
S000001931	YFR035C	S. cerevisiae					12463
S000001932	YFR036W	S. cerevisiae	CDC26	Cell Division Cycle	2537	1305	14067
S000001933	YFR037C	S. cerevisiae	RSC8	Remodel the Structure of Chromatin	7401	3157	63146.6
S000001934	YFR038W	S. cerevisiae	IRC5	Increased Recombination Centers	1444	446	96956.5
S000001935	YFR039C	S. cerevisiae	OSW7	Outer Spore Wall	1501	232	59320.9
S000001936	YFR040W	S. cerevisiae	SAP155	Sit4 Associated Protein	3506	683	114925.8
S000001937	YFR041C	S. cerevisiae	ERJ5	Endoplasmic Reticulum located J-protein	2657	863	34215.9
S000001938	YFR042W	S. cerevisiae	KEG1	Kre6-binding ER protein responsible for Glucan synthesis	1699	20	23567.4
S000001939	YFR043C	S. cerevisiae	IRC6	Increased Recombination Centers	778	219	27861.7
S000001940	YFR044C	S. cerevisiae	DUG1	Deficient in Utilization of Glutathione	23259	13706	52860.7
S000001941	YFR045W	S. cerevisiae	MRX20	Mitochondrial oRganization of gene eXpression (MIOREX)	710	490	34408.5
S000001942	YFR046C	S. cerevisiae	CNN1	Co-purified with NNf1p	1283	247	41285.2
S000001943	YFR047C	S. cerevisiae	BNA6	Biosynthesis of Nicotinic Acid	3771	1437	32358.3
S000001944	YFR048W	S. cerevisiae	RMD8	Required for Meiotic nuclear Division	1106	544	75913.1
S000001945	YFR049W	S. cerevisiae	YMR31	Yeast Mitochondrial Ribosomal protein	3626	1307	13695.2
S000001946	YFR050C	S. cerevisiae	PRE4	PRoteinase yscE	15446	9160	29440.7
S000001947	YFR051C	S. cerevisiae	RET2	RETrieval from ER	10752	1705	60604.2
S000001948	YFR052W	S. cerevisiae	RPN12	Regulatory Particle Non-ATPase	15018	2387	31905.3
S000001949	YFR053C	S. cerevisiae	HXK1	HeXoKinase	40800	31783	53724.8
S000001950	YFR054C	S. cerevisiae					20456.1
S000001951	YFR056C	S. cerevisiae					14005.8
S000001952	YFR055W	S. cerevisiae	IRC7	Increased Recombination Centers	1875	735	36964.7
S000001953	YFR057W	S. cerevisiae			1352		17508.1
S000001954	YER044C-A	S. cerevisiae	MEI4	MEIosis-specific			48238.1
S000001955	YFL010W-A	S. cerevisiae	AUA1	Amino acid Uptake Activation			11736.8
S000001956	YKL096W-A	S. cerevisiae	CWP2	Cell Wall Protein	52209	26696	8906
S000001957	YHR079C-A	S. cerevisiae	SAE3	Sporulation in the Absence of spo Eleven	1249		10827.5
S000002100	YHR039C-A	S. cerevisiae	VMA10		29531	8013	12715.8
S000002101	YKL006C-A	S. cerevisiae	SFT1	Suppressor of sed Five Ts	2420	1037	10964.7
S000002103	YEL017C-A	S. cerevisiae	PMP2	Plasma Membrane Proteolipid	61354	11289	4853.1
S000002104	YFR031C-A	S. cerevisiae	RPL2A	Ribosomal Protein of the Large subunit	51078	4807	27437.1
S000002127	YER019C-A	S. cerevisiae	SBH2	Sec61 beta homolog 2	4776	2327	9613.3
S000002128	YER087C-B	S. cerevisiae	SBH1	Sec61 beta homolog 1	9810	5798	8719.3
S000002129	YAR002C-A	S. cerevisiae	ERP1	Emp24p/Erv25p Related Protein	9253	1734	24723.7
S000002133	YCR079W	S. cerevisiae	PTC6	Phosphatase Two C	1350	214	49419.5
S000002134	YAL034C	S. cerevisiae	FUN19	Function Unknown Now	1365	495	47096
S000002135	YER056C-A	S. cerevisiae	RPL34A	Ribosomal Protein of the Large subunit	48965	12937	13664.5
S000002136	YAL004W	S. cerevisiae					23732.7
S000002137	YAL034C-B	S. cerevisiae					13270.1
S000002138	YAL042C-A	S. cerevisiae					13710
S000002139	YAL056C-A	S. cerevisiae					12978.6
S000002140	YAL064C-A	S. cerevisiae	TDA8	Topoisomerase I Damage Affected	1340		13878.6
S000002141	YAL064W-B	S. cerevisiae			1219		13256.3
S000002142	YAL068C	S. cerevisiae	PAU8	seriPAUperin			12846.7
S000002143	YAL069W	S. cerevisiae					11334.2
S000002144	YAR066W	S. cerevisiae					20584.6
S000002145	YAR075W	S. cerevisiae					17010.7
S000002150	YBL109W	S. cerevisiae					12882.9
S000002151	YBL111C	S. cerevisiae			1211	932	76258.4
S000002152	YBL112C	S. cerevisiae					11980.5
S000002153	YBL113C	S. cerevisiae			881	472	86974.6
S000002156	YBR084C-A	S. cerevisiae	RPL19A	Ribosomal Protein of the Large subunit	45283	17604	21736.8
S000002157	YBR089C-A	S. cerevisiae	NHP6B	Non-Histone Protein	7847	2432	11485.2
S000002158	YBR162W-A	S. cerevisiae	YSY6		2079	921	7374.9
S000002159	YDL001W	S. cerevisiae	RMD1	Required for Meiotic nuclear Division	1782	600	49917
S000002160	YDL002C	S. cerevisiae	NHP10	Non-Histone Protein	3015	1292	23858.3
S000002161	YDL003W	S. cerevisiae	MCD1	Mitotic Chromosome Determinant	2134	682	63248.5
S000002162	YDL004W	S. cerevisiae	ATP16	ATP synthase	11900	7967	17019.6
S000002163	YDL005C	S. cerevisiae	MED2	MEDiator complex	2969	812	47687.1
S000002164	YDL006W	S. cerevisiae	PTC1	Phosphatase type Two C	1520	690	31534.8
S000002165	YDL007W	S. cerevisiae	RPT2	"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase"	15168	4423	48822.7
S000002166	YDL008W	S. cerevisiae	APC11	Anaphase Promoting Complex	2709	1185	18851.3
S000002167	YDL009C	S. cerevisiae					12733.3
S000002168	YDL010W	S. cerevisiae	GRX6	GlutaRedoXin	2453	734	25781.5
S000002169	YDL011C	S. cerevisiae					11613.8
S000002170	YDL012C	S. cerevisiae			2988	1941	12173.4
S000002171	YDL013W	S. cerevisiae	SLX5	Synthetic Lethal of unknown [X] function	312	305	71067.2
S000002172	YDL014W	S. cerevisiae	NOP1	NucleOlar Protein	24153	8996	34487
S000002173	YDL015C	S. cerevisiae	TSC13	Temperature-sensitive Suppressors of Csg2 mutants	7707	2894	36783.1
S000002174	YDL016C	S. cerevisiae					11383.4
S000002175	YDL017W	S. cerevisiae	CDC7	Cell Division Cycle	1562	677	58308.8
S000002176	YDL018C	S. cerevisiae	ERP3	Emp24p/Erv25p Related Protein	3442	1208	26509.3
S000002177	YDL019C	S. cerevisiae	OSH2	OxySterol binding protein Homolog	2981	1673	145786.5
S000002178	YDL020C	S. cerevisiae	RPN4	Regulatory Particle Non-ATPase	1487		60129.3
S000002179	YDL021W	S. cerevisiae	GPM2	Glycerate PhosphoMutase	4285	2265	36070.4
S000002180	YDL022W	S. cerevisiae	GPD1	Glycerol-3-Phosphate Dehydrogenase	26223	15467	42854.2
S000002181	YDL023C	S. cerevisiae					11428.3
S000002182	YDL024C	S. cerevisiae	DIA3	Digs Into Agar			53065.8
S000002183	YDL025C	S. cerevisiae	RTK1	Ribosome biogenesis and TRNA synthetase-associated Kinase	3256	1709	69620.1
S000002184	YDL026W	S. cerevisiae					11392.6
S000002185	YDL027C	S. cerevisiae	MRX9	Mitochondrial oRganization of gene eXpression (MIOREX)	1348	1082	48343
S000002186	YDL028C	S. cerevisiae	MPS1	MonoPolar Spindle	536	526	86783.9
S000002187	YDL029W	S. cerevisiae	ARP2	Actin-Related Protein	16063	4809	44065.9
S000002188	YDL030W	S. cerevisiae	PRP9	Pre-mRNA Processing	1355	639	63023.1
S000002189	YDL031W	S. cerevisiae	DBP10	Dead Box Protein	5504	2466	112966.8
S000002190	YDL032W	S. cerevisiae					11526
S000002191	YDL033C	S. cerevisiae	SLM3	Synthetic Lethal with Mss4	1170	372	47054.8
S000002192	YDL034W	S. cerevisiae					12924.3
S000002193	YDL035C	S. cerevisiae	GPR1	G-Protein coupled Receptor	1153	59	110707.6
S000002194	YDL036C	S. cerevisiae	PUS9	PseudoUridine Synthase	1727	875	53411.6
S000002195	YDL037C	S. cerevisiae	BSC1	Bypass of Stop Codon			34788.2
S000002197	YDL039C	S. cerevisiae	PRM7	Pheromone-Regulated Membrane protein			70091.9
S000002198	YDL040C	S. cerevisiae	NAT1	N-terminal AcetylTransferase	8398	4076	98920.2
S000002199	YDL041W	S. cerevisiae					11965.1
S000002200	YDL042C	S. cerevisiae	SIR2	Silent Information Regulator	2711	557	63270.6
S000002201	YDL043C	S. cerevisiae	PRP11	Pre-mRNA Processing	2349	1005	29923.2
S000002202	YDL044C	S. cerevisiae	MTF2	Mitochondrial Transcription Factor	1992	1139	51189.8
S000002203	YDL045C	S. cerevisiae	FAD1	FAD synthetase	1855	992	35535.4
S000002204	YDL046W	S. cerevisiae	NPC2	Niemann Pick type C homolog	2840	1092	19048.9
S000002205	YDL047W	S. cerevisiae	SIT4	Suppressor of Initiation of Transcription	4289	1727	35525.8
S000002206	YDL048C	S. cerevisiae	STP4	protein with similarity to Stp1p	1537	914	54382.7
S000002207	YDL049C	S. cerevisiae	KNH1	Kre9(Nine) Homolog			29759.3
S000002208	YDL050C	S. cerevisiae					14095.4
S000002209	YDL051W	S. cerevisiae	LHP1	La-Homologous Protein	8346	1749	32107.5
S000002210	YDL052C	S. cerevisiae	SLC1	SphingoLipid Compensation	8692	3369	33904.4
S000002211	YDL053C	S. cerevisiae	PBP4	Pbp1p Binding Protein	4469	1201	19901.7
S000002212	YDL054C	S. cerevisiae	MCH1	MonoCarboxylate transporter Homolog	1575	1563	53576.2
S000002213	YDL055C	S. cerevisiae	PSA1		104294	58655	39562.2
S000002214	YDL056W	S. cerevisiae	MBP1	MluI-box Binding Protein	1394	964	93924.2
S000002215	YDL057W	S. cerevisiae			1184	353	36687.2
S000002216	YDL058W	S. cerevisiae	USO1	yUSOu - transport in Japanese	3460	1165	206349.3
S000002217	YDL059C	S. cerevisiae	RAD59	RADiation sensitive	1140	598	26634.3
S000002218	YDL060W	S. cerevisiae	TSR1	Twenty S rRNA accumulation	4912	1381	90727.3
S000002219	YDL061C	S. cerevisiae	RPS29B	Ribosomal Protein of the Small subunit	31924	12802	6735.9
S000002220	YDL062W	S. cerevisiae					15987.9
S000002221	YDL063C	S. cerevisiae	SYO1	SYnchronized impOrt or SYmpOrtin	3014	553	70145.9
S000002222	YDL064W	S. cerevisiae	UBC9	UBiquitin-Conjugating	5656	2991	17917.6
S000002223	YDL065C	S. cerevisiae	PEX19	PEroXisome related	4831	1777	38659.2
S000002224	YDL066W	S. cerevisiae	IDP1	"Isocitrate Dehydrogenase, NADP-specific"	23120	6863	48196.9
S000002225	YDL067C	S. cerevisiae	COX9	Cytochrome c OXidase	6217	3110	6967.3
S000002226	YDL068W	S. cerevisiae					12171.8
S000002227	YDL069C	S. cerevisiae	CBS1	Cytochrome B Synthesis	556	182	26602.6
S000002228	YDL070W	S. cerevisiae	BDF2	BromoDomain Factor	2374	886	72500.8
S000002229	YDL071C	S. cerevisiae					13604.1
S000002230	YDL072C	S. cerevisiae	YET3	Yeast Endoplasmic reticulum Transmembrane protein	8579	2493	22903
S000002231	YDL073W	S. cerevisiae	AHK1	Associated with HKr1	368	205	113896.6
S000002232	YDL074C	S. cerevisiae	BRE1	BREfeldin A sensitivity	3447	1123	80685.1
